Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae 342 - ortholog count (reference : comparison)	Klebsiella pneumoniae 342 - ortholuge status	Klebsiella pneumoniae 342 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae KCTC 2242 - ortholog count (reference : comparison)	Klebsiella pneumoniae KCTC 2242 - ortholuge status	Klebsiella pneumoniae KCTC 2242 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog NCBI RefSeq accession
397671794	RVBD_0014c	WP_003400356.1	serine/threonine-protein kinase pknB	0	N/A		0	N/A		0	N/A		0	N/A		8 to 1	RBB	WP_014599017.1	0	N/A		0	N/A	
397671795	RVBD_0015c	WP_003400358.1	serine/threonine protein kinase	0	N/A		0	N/A		0	N/A		0	N/A		8 to 1	RBB	WP_014599017.1	0	N/A		0	N/A	
397671796	RVBD_0016c	WP_003899775.1	penicillin-binding protein A	2 to 1	RBB	WP_002894617.1;WP_002905759.1	1 to 2	RBB	WP_012541633.1;WP_008805636.1	1 to 2	RBB	WP_002894617.1;WP_002905759.1	1 to 1	RBB	NP_415168.1	1 to 2	RBB	WP_002894617.1;WP_004898397.1	1 to 2	RBB	WP_002894617.1;WP_002905759.1	1 to 2	RBB	YP_005225806;YP_005227071
397671797	RVBD_0017c	WP_003400364.1	cell division protein FtsW	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671798	RVBD_0018c	WP_003912367.1	PP2C-family Ser/Thr phosphatase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671799	RVBD_0019c	WP_003400373.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671800	RVBD_0020c	WP_003912368.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671801	RVBD_0021c	WP_003899778.1	nitronate monooxygenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671802	RVBD_0022c	WP_003400388.1	transcriptional regulator whib-like whiB5	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671803	RVBD_0023	WP_003400391.1	transcriptional regulator	1 to 1	RBB	WP_002907473.1	1 to 1	RBB	WP_008804673.1	1 to 1	RBB	WP_002907473.1	1 to 1	RBB	NP_415951.1	1 to 1	RBB	WP_002907473.1	1 to 1	RBB	WP_002907473.1	1 to 1	RBB	YP_005227212
397671804	RVBD_0024	WP_003400393.1	secreted protein	1 to 3	RBB	WP_004151204.1	3 to 1	RBB	WP_012541517.1	3 to 1	RBB	WP_004151204.1	0	N/A		3 to 1	RBB	WP_004898621.1	3 to 1	RBB	WP_004151204.1	3 to 1	RBB	YP_005227274
397671805	RVBD_0025	WP_003400395.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671806	RVBD_0026	WP_003901770.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671807	RVBD_0027	WP_003400401.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671808	RVBD_0028	WP_003400405.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671809	RVBD_0029	WP_003400411.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671810	RVBD_0030	WP_003400413.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671811	RVBD_0031	WP_003900791.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671812	RVBD_0032	WP_003905217.1	8-amino-7-oxononanoate synthase	2 to 1	RBB	WP_002922462.1;WP_014907917.1	1 to 2	RBB	WP_008806850.1;WP_012542399.1	1 to 2	RBB	WP_012068476.1;WP_002922462.1	1 to 2	RBB	NP_415297.1;NP_418074.1	1 to 2	RBB	WP_004183475.1;WP_002922462.1	1 to 2	RBB	WP_012737681.1;WP_002922462.1	1 to 2	RBB	YP_005225928;YP_005229421
397671813	RVBD_0033	WP_003400418.1	acyl carrier protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671814	RVBD_0034	WP_003400421.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671815	RVBD_0035	WP_003400425.1	fatty-acid-CoA ligase FadD34	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671816	RVBD_0036c	WP_003400427.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671817	RVBD_0037c	WP_003912503.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671818	RVBD_0038	WP_003901777.1	transcriptional regulator	1 to 1	RBB	WP_014906937.1	1 to 1	RBB	WP_012540566.1	1 to 1	RBB	WP_002916603.1	1 to 1	RBB	NP_417423.4	1 to 1	RBB	WP_002916603.1	1 to 1	RBB	WP_002916603.1	1 to 1	RBB	YP_005228750
397671819	RVBD_0039c	WP_003907179.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671820	RVBD_0040c	WP_003900793.1	secreted proline rich protein mtc28	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671821	RVBD_0041	WP_003900794.1	leucyl-tRNA synthetase	1 to 1	SSD	WP_041168982.1	1 to 1	SSD	WP_032729647.1	1 to 1	SSD	WP_004147581.1	1 to 1	RBB	NP_415175.1	1 to 1	RBB	WP_014599096.1	1 to 1	SSD	WP_041168982.1	1 to 1	SSD	YP_005225813
397671822	RVBD_0042c	WP_003912416.1	MarR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671823	RVBD_0043c	WP_003899786.1	GntR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671824	RVBD_0044c	WP_003400486.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671825	RVBD_0045c	WP_003400489.1	hydrolase	1 to 2	RBB	WP_004174021.1	0	N/A		2 to 1	RBB	WP_004174021.1	0	N/A		2 to 1	RBB	WP_004181461.1	2 to 1	RBB	WP_004174021.1	2 to 1	RBB	YP_005229234
397671826	RVBD_0046c	WP_003902822.1	inositol-3-phosphate synthase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671827	RVBD_0047c	WP_003899787.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671828	RVBD_0048c	WP_003907183.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671829	RVBD_0049	WP_003400504.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671830	RVBD_0050	WP_003400507.1	peptidoglycan glycosyltransferase	1 to 1	RBB	WP_002889208.1	1 to 1	SSD	WP_012542817.1	1 to 1	RBB	WP_011977673.1	1 to 1	RBB	NP_414691.1	1 to 1	RBB	WP_004213431.1	1 to 1	SSD	WP_002889208.1	1 to 1	RBB	YP_005225197
397671831	RVBD_0051	WP_003400514.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
561108323	RVBD_0052	WP_003912418.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671833	RVBD_0053	WP_003400520.1	30S ribosomal protein S6	1 to 1	RBB	WP_002885691.1	1 to 1	SSD	WP_008807174.1	1 to 1	RBB	WP_002885691.1	1 to 1	RBB	NP_418621.5	1 to 1	RBB	WP_004222085.1	1 to 1	SSD	WP_002885691.1	1 to 1	RBB	YP_005224741
397671834	RVBD_0054	WP_003400534.1	single-stranded DNA-binding protein	1 to 1	RBB	WP_004151744.1	1 to 1	SSD	WP_008807292.1	1 to 1	RBB	WP_004151744.1	1 to 1	RBB	NP_418483.1	1 to 1	RBB	WP_004151744.1	1 to 1	SSD	WP_004151744.1	1 to 1	RBB	YP_005224583
397671835	RVBD_0055	WP_003400540.1	30S ribosomal protein S18 1	1 to 2	RBB	WP_000135199.1	2 to 1	SSD	WP_000135199.1	2 to 1	RBB	WP_000135199.1	2 to 1	RBB	NP_418623.1	2 to 1	RBB	WP_000135199.1	2 to 1	SSD	WP_000135199.1	2 to 1	RBB	YP_005224742
397671836	RVBD_0056	WP_003400543.1	50S ribosomal protein L9	1 to 1	RBB	WP_002886682.1	1 to 1	SSD	WP_008807173.1	1 to 1	RBB	WP_002886682.1	1 to 1	RBB	NP_418624.1	1 to 1	RBB	WP_002886682.1	1 to 1	SSD	WP_002886682.1	1 to 1	RBB	YP_005224743
397671837	RVBD_0057	WP_003900797.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671838	RVBD_0058	WP_003916208.1	replicative DNA helicase	1 to 1	RBB	WP_002884942.1	1 to 1	SSD	WP_008807299.1	1 to 1	RBB	WP_002884942.1	1 to 1	RBB	NP_418476.1	1 to 1	RBB	WP_002884942.1	1 to 1	SSD	WP_002884942.1	1 to 3	RBB	YP_005224576;YP_005225549;YP_005228830
397671839	RVBD_0059	WP_003400548.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_012543060.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671840	RVBD_0060	WP_003400551.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_012543059.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671841	RVBD_0061Ac	YP_006513375	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671842	RVBD_0062	WP_015456091.1	endoglucanase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671843	RVBD_0063	WP_003901784.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671844	RVBD_0064	WP_009937016.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671845	RVBD_0064A	WP_003400577.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671846	RVBD_0065	WP_003400580.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671847	RVBD_0066c	WP_003899797.1	isocitrate dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671848	RVBD_0067c	WP_003400591.1	TetR family transcriptional regulator	1 to 1	RBB	WP_004179582.1	1 to 2	RBB	WP_012541808.1;WP_012541965.1	1 to 1	RBB	WP_015958267.1	0	N/A		1 to 1	RBB	WP_004224398.1	1 to 1	RBB	WP_004179582.1	1 to 1	RBB	YP_005226633
397671849	RVBD_0068	WP_003912371.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671850	RVBD_0069c	WP_003400600.1	L-serine dehydratase	2 to 1	RBB	WP_004151445.1;WP_014907009.1	1 to 2	RBB	WP_012540721.1;WP_004151445.1	1 to 2	RBB	WP_004151445.1;WP_002915259.1	1 to 3	RBB	NP_416328.1;NP_417277.1;YP_026204.1	1 to 2	RBB	WP_004151445.1;WP_002915259.1	1 to 2	RBB	WP_004151445.1;WP_014907009.1	1 to 2	RBB	YP_005227643;YP_005228517
397671851	RVBD_0070c	WP_003899799.1	serine hydroxymethyltransferase 2	1 to 2	RBB	WP_002914027.1	2 to 1	RBB	WP_008803781.1	2 to 1	RBB	WP_002914027.1	2 to 1	RBB	NP_417046.1	2 to 1	RBB	WP_002914027.1	2 to 1	RBB	WP_002914027.1	2 to 1	RBB	YP_005228247
397671852	RVBD_0071	WP_003913073.1	RNA-directed DNA polymerase	4 to 1	RBB	WP_004152765.1	0	N/A		1 to 1	RBB	WP_004152765.1	0	N/A		0	N/A		0	N/A		1 to 5	RBB	YP_005226014;YP_005226364;YP_005226594;YP_005227828;YP_005228311
397671853	RVBD_0072	WP_003400616.1	ABC transporter permease	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671854	RVBD_0073	WP_003899801.1	ABC transporter ATP-binding protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671855	RVBD_0074	WP_003400620.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671856	RVBD_0075	WP_003400622.1	cystathionine beta-lyase	1 to 2	RBB	WP_014907668.1	2 to 1	RBB	WP_012541902.1	2 to 1	RBB	WP_015958354.1	2 to 1	RBB	NP_416139.1	2 to 1	RBB	WP_014599144.1	2 to 1	RBB	WP_015874749.1	2 to 1	RBB	YP_005226715
397671857	RVBD_0076c	WP_003400629.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671858	RVBD_0077c	WP_003900801.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671859	RVBD_0078	WP_003899803.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671860	RVBD_0078A	WP_003400645.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671861	RVBD_0078Bc	YP_006513395	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671862	RVBD_0079	WP_003400655.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671863	RVBD_0080	WP_003899804.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671864	RVBD_0081	WP_003400657.1	ArsR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671865	RVBD_0082	WP_003400658.1	oxidoreductase	1 to 1	RBB	WP_002914891.1	1 to 1	RBB	WP_002914891.1	1 to 1	RBB	WP_002914891.1	1 to 2	RBB	NP_416984.1;NP_417199.1	1 to 1	RBB	WP_002914891.1	1 to 1	RBB	WP_002914891.1	1 to 1	RBB	YP_005228429
397671866	RVBD_0083	WP_003907280.1	oxidoreductase	1 to 1	RBB	WP_014907036.1	1 to 1	RBB	WP_012540765.1	1 to 1	RBB	WP_015958874.1	1 to 2	RBB	NP_416977.1;NP_417203.1	1 to 1	RBB	WP_004900095.1	1 to 1	RBB	WP_014907036.1	1 to 1	RBB	YP_005228433
397671867	RVBD_0084	WP_003900802.1	formate hydrogenlyase hycD	1 to 1	RBB	WP_004149485.1	1 to 1	RBB	WP_012540766.1	1 to 1	RBB	WP_015958873.1	1 to 2	RBB	NP_416978.4;NP_417202.1	1 to 1	RBB	WP_004149485.1	1 to 1	RBB	WP_004149485.1	1 to 1	RBB	YP_005228432
397671868	RVBD_0085	WP_003400661.1	hydrogenase-4 component E	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_416980.1	0	N/A		0	N/A		0	N/A	
397671869	RVBD_0086	WP_003400662.1	hydrogenase-4 component F	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_416981.1	0	N/A		0	N/A		0	N/A	
397671870	RVBD_0087	WP_003400663.1	oxidoreductase	1 to 1	RBB	WP_014907037.1	1 to 1	RBB	WP_004151044.1	1 to 1	RBB	WP_004151044.1	1 to 2	RBB	NP_416982.1;NP_417201.1	1 to 1	RBB	WP_004151044.1	1 to 1	RBB	WP_014907037.1	1 to 1	RBB	YP_005228431
397671871	RVBD_0088	WP_003899806.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671872	RVBD_0089	WP_003400665.1	methyltransferase	1 to 1	RBB	WP_004179091.1	1 to 1	RBB	WP_012542398.1	1 to 1	RBB	WP_004142100.1	1 to 1	RBB	NP_415298.1	1 to 1	RBB	WP_004142100.1	1 to 1	RBB	WP_004179091.1	1 to 1	RBB	YP_005225929
397671873	RVBD_0090	WP_003899807.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671874	RVBD_0090A	YP_006513408	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671875	RVBD_0091	WP_003913086.1	MTA/SAH nucleosidase	1 to 1	RBB	WP_002889282.1	1 to 1	RBB	WP_008807361.1	1 to 1	RBB	WP_002889282.1	1 to 1	RBB	NP_414701.1	1 to 1	RBB	WP_002889282.1	1 to 1	RBB	WP_002889282.1	1 to 1	RBB	YP_005225208
397671876	RVBD_0092	WP_003899808.1	cation-transporting P-type ATPase A	1 to 3	RBB	WP_004178775.1	3 to 1	RBB	WP_012542658.1	3 to 1	RBB	WP_041937710.1	3 to 1	RBB	NP_415017.1	3 to 1	RBB	WP_004223093.1	3 to 1	RBB	WP_004178775.1	3 to 1	RBB	YP_005225512
397671877	RVBD_0093c	WP_003912510.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671878	RVBD_0094c	WP_023641254.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671879	RVBD_0095c	YP_006513413	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671880	RVBD_0096	WP_003400781.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671881	RVBD_0097	WP_003400786.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671882	RVBD_0098	WP_003899810.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671883	RVBD_0099	WP_003916215.1	long chain fatty acid CoA ligase FadD10	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671884	RVBD_0100	WP_003899811.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671885	RVBD_0101	WP_003400794.1	amino acid adenylation domain-containing protein	1 to 1	RBB	WP_014907257.1	2 to 1	RBB	WP_012542492.1	2 to 1	RBB	WP_041937591.1	2 to 1	RBB	NP_415118.1	2 to 1	RBB	WP_014599078.1	2 to 1	RBB	WP_012737619.1	2 to 1	RBB	YP_005225740
397671886	RVBD_0102	WP_003900808.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671887	RVBD_0103c	WP_009935939.1	cation-transporting P-type ATPase B	1 to 3	RBB	WP_004178775.1	3 to 1	RBB	WP_012542658.1	3 to 1	RBB	WP_041937710.1	3 to 1	RBB	NP_415017.1	3 to 1	RBB	WP_004223093.1	3 to 1	RBB	WP_004178775.1	3 to 1	RBB	YP_005225512
397671888	RVBD_0104	WP_003899813.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671889	RVBD_0105c	WP_003400802.1	50S ribosomal protein L28	1 to 2	RBB	WP_000091955.1	2 to 1	RBB	WP_002436699.1	2 to 1	RBB	WP_000091955.1	2 to 1	RBB	NP_418094.1	2 to 1	RBB	WP_000091955.1	2 to 1	RBB	WP_000091955.1	2 to 1	RBB	YP_005229440
397671890	RVBD_0106	WP_003400804.1	hypothetical protein	2 to 1	Borderline-SSD	WP_041168943.1;WP_000005768.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671891	RVBD_0107c	WP_010886065.1	HAD ATPase, P-type, family IC	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671892	RVBD_0108c	WP_003899816.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671893	RVBD_0109	WP_003909149.1	triacylglycerol lipase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671894	RVBD_0110	WP_003899818.1	hypothetical protein	1 to 1	RBB	WP_004151408.1	1 to 1	RBB	WP_008806994.1	1 to 1	RBB	WP_004151408.1	0	N/A		1 to 1	RBB	WP_004151408.1	1 to 1	RBB	WP_004151408.1	1 to 1	RBB	YP_005229242
397671895	RVBD_0111	WP_003918015.1	transmembrane acyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
