Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae KCTC 2242 - ortholog count (reference : comparison)	Klebsiella pneumoniae KCTC 2242 - ortholuge status	Klebsiella pneumoniae KCTC 2242 - ortholog NCBI RefSeq accession	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae 342 - ortholog count (reference : comparison)	Klebsiella pneumoniae 342 - ortholuge status	Klebsiella pneumoniae 342 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog NCBI RefSeq accession
16128016	b0022	NP_414563.1	IS1 repressor TnpA	1 to 6	RBB	YP_005224388	0	N/A		0	N/A		1 to 6	RBB	WP_012737108.1	1 to 6	RBB	WP_012737108.1	0	N/A		0	N/A	
16128017	b0023	NP_414564.1	30S ribosomal subunit protein S20	1 to 1	SSD	YP_005225029	1 to 1	SSD	WP_002887965.1	1 to 1	RBB	WP_003899314.1	1 to 1	SSD	WP_002887965.1	1 to 1	SSD	WP_002887965.1	1 to 1	SSD	WP_002887965.1	1 to 1	SSD	WP_002887965.1
16128018	b0024	NP_414565.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128019	b0025	NP_414566.1	bifunctional riboflavin kinase/FAD synthetase	1 to 1	SSD	YP_005225030	1 to 1	SSD	WP_002887969.1	1 to 1	RBB	WP_003911989.1	1 to 1	SSD	WP_002887969.1	1 to 1	SSD	WP_002887969.1	1 to 1	SSD	WP_008807494.1	1 to 1	SSD	WP_002887969.1
16128020	b0026	NP_414567.1	isoleucyl-tRNA synthetase	1 to 1	SSD	YP_005225031	1 to 1	SSD	WP_014599037.1	1 to 1	RBB	WP_003407714.1	1 to 1	SSD	WP_004212580.1	1 to 1	SSD	WP_004212580.1	1 to 1	SSD	WP_012542904.1	1 to 1	SSD	WP_002887972.1
16128021	b0027	NP_414568.1	prolipoprotein signal peptidase (signal peptidase II)	1 to 1	SSD	YP_005225032	1 to 1	SSD	WP_002887973.1	0	N/A		1 to 1	SSD	WP_002887973.1	1 to 1	SSD	WP_002887973.1	1 to 1	SSD	WP_008807492.1	1 to 1	SSD	WP_002887973.1
16128022	b0028	NP_414569.1	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	1 to 1	SSD	YP_005225033	1 to 1	SSD	WP_002887976.1	0	N/A		1 to 1	SSD	WP_002887976.1	1 to 1	SSD	WP_002887976.1	1 to 1	SSD	WP_002887976.1	1 to 1	SSD	WP_002887976.1
16128023	b0029	NP_414570.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein	1 to 1	SSD	YP_005225034	1 to 1	SSD	WP_002887979.1	1 to 1	RBB	WP_003405853.1	1 to 1	SSD	WP_014908021.1	1 to 1	SSD	WP_014908021.1	1 to 1	SSD	WP_002887979.1	1 to 1	SSD	WP_002887979.1
16128024	b0030	NP_414571.1	ribonucleoside hydrolase 3	1 to 1	RBB	YP_005225035	1 to 1	RBB	WP_004222613.1	1 to 3	RBB	WP_003417946.1	1 to 1	RBB	WP_002887981.1	1 to 1	RBB	WP_002887981.1	1 to 1	RBB	WP_012542903.1	1 to 1	RBB	WP_002887981.1
16128025	b0031	NP_414572.1	dihydrodipicolinate reductase	1 to 1	SSD	YP_005225049	1 to 1	SSD	WP_004151369.1	1 to 1	RBB	WP_003414099.1	1 to 1	SSD	WP_004177440.1	1 to 1	SSD	WP_004177440.1	1 to 1	SSD	WP_008807487.1	1 to 1	SSD	WP_004151369.1
16128026	b0032	NP_414573.1	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	1 to 1	SSD	YP_005225052	1 to 1	SSD	WP_004212571.1	1 to 1	RBB	WP_003407208.1	1 to 1	SSD	WP_004177433.1	1 to 1	SSD	WP_004177433.1	1 to 1	SSD	WP_012542883.1	1 to 1	SSD	WP_004177433.1
16128027	b0033	NP_414574.1	carbamoyl-phosphate synthase large subunit	1 to 1	SSD	YP_005225053	1 to 1	SSD	WP_002888056.1	1 to 1	RBB	WP_003898855.1	1 to 1	SSD	WP_002888056.1	1 to 1	SSD	WP_002888056.1	1 to 1	SSD	WP_008807485.1	1 to 1	SSD	WP_002888056.1
90111079	b0034	NP_414576.4	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111080	b0035	NP_414577.2	stimulator of CaiD and CaiB enzyme activities	0	N/A		0	N/A		1 to 2	RBB	WP_003419208.1	0	N/A		0	N/A		0	N/A		0	N/A	
221800779	b0036	NP_414578.2	carnitinyl-CoA dehydratase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
221800780	b0037	NP_414579.4	probable crotonobetaine/carnitine-CoA ligase	0	N/A		0	N/A		1 to 1	RBB	WP_003416081.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128032	b0038	NP_414580.1	crotonobetainyl CoA:carnitine CoA transferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128033	b0039	NP_414581.1	crotonobetaine reductase subunit II, FAD-binding	0	N/A		0	N/A		2 to 1	RBB	WP_003417122.1;WP_003401972.1	1 to 2	RBB	WP_000337350.1	0	N/A		0	N/A		0	N/A	
16128034	b0040	NP_414582.1	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111081	b0041	NP_414583.2	predicted electron transfer flavoprotein subunit, required for anaerobic carnitine reduction	0	N/A		0	N/A		1 to 2	RBB	WP_003415921.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128036	b0042	NP_414584.1	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	0	N/A		0	N/A		1 to 2	RBB	WP_003899889.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128037	b0043	NP_414585.1	predicted oxidoreductase with FAD/NAD(P)-binding domain	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128038	b0044	NP_414586.1	predicted 4Fe-4S ferredoxin-type protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128039	b0045	NP_414587.1	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128040	b0046	NP_414588.1	flavoprotein subunit for the KefC potassium efflux system	1 to 1	SSD	YP_005225055	1 to 1	SSD	WP_002888068.1	0	N/A		1 to 1	SSD	WP_002888068.1	1 to 1	SSD	WP_002888068.1	1 to 1	SSD	WP_012542878.1	1 to 1	SSD	WP_002888068.1
16128041	b0047	NP_414589.1	potassium:proton antiporter	1 to 1	SSD	YP_005225056	1 to 1	SSD	WP_004222636.1	0	N/A		1 to 1	SSD	WP_004145992.1	1 to 1	SSD	WP_004145992.1	1 to 1	SSD	WP_012542877.1	1 to 1	SSD	WP_004145992.1
16128042	b0048	NP_414590.1	dihydrofolate reductase	1 to 1	SSD	YP_005225057	1 to 1	SSD	WP_002888320.1	1 to 1	RBB	WP_003900566.1	1 to 1	SSD	WP_002888320.1	1 to 1	SSD	WP_002888320.1	1 to 1	SSD	WP_008807476.1	1 to 1	SSD	WP_002888320.1
16128043	b0049	NP_414591.1	diadenosine tetraphosphatase	1 to 1	SSD	YP_005225058	1 to 1	SSD	WP_002888321.1	0	N/A		1 to 1	SSD	WP_004177431.1	1 to 1	SSD	WP_004177431.1	1 to 1	SSD	WP_008807475.1	1 to 1	SSD	WP_002888321.1
16128044	b0050	NP_414592.1	protein associated with Co2+ and Mg2+ efflux	1 to 1	SSD	YP_005225059	1 to 1	Borderline-SSD	WP_004182901.1	0	N/A		1 to 1	SSD	WP_002888323.1	1 to 1	SSD	WP_002888323.1	1 to 1	Borderline-SSD	WP_004204274.1	1 to 1	SSD	WP_004182901.1
16128045	b0051	NP_414593.1	16S rRNA dimethyladenosine transferase, SAM-dependent	1 to 1	SSD	YP_005225060	1 to 1	SSD	WP_002888324.1	1 to 1	RBB	WP_003405191.1	1 to 1	SSD	WP_002888324.1	1 to 1	SSD	WP_002888324.1	1 to 1	SSD	WP_008807474.1	1 to 1	SSD	WP_002888324.1
16128046	b0052	NP_414594.1	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	1 to 1	SSD	YP_005225061	1 to 1	SSD	WP_002888327.1	0	N/A		1 to 1	Borderline-SSD	WP_012737386.1	1 to 1	SSD	WP_012737386.1	1 to 1	Borderline-SSD	WP_012542876.1	1 to 1	Borderline-SSD	WP_004182903.1
16128047	b0053	NP_414595.1	peptidyl-prolyl cis-trans isomerase (PPIase)	1 to 1	SSD	YP_005225062	1 to 1	SSD	WP_002888329.1	0	N/A		1 to 1	SSD	WP_002888329.1	1 to 1	SSD	WP_002888329.1	1 to 1	SSD	WP_008807472.1	1 to 1	SSD	WP_002888329.1
16128048	b0054	NP_414596.1	LPS assembly OM complex LptDE, beta-barrel component	1 to 1	SSD	YP_005225063	1 to 1	SSD	WP_004147026.1	0	N/A		1 to 1	SSD	WP_012737387.1	1 to 1	SSD	WP_012737387.1	1 to 1	SSD	WP_008807471.1	1 to 1	SSD	WP_004147026.1
16128049	b0055	NP_414597.1	DnaJ-like protein, membrane anchored	1 to 1	SSD	YP_005225064	1 to 1	SSD	WP_002888332.1	0	N/A		1 to 1	SSD	WP_012737388.1	1 to 1	SSD	WP_012737388.1	1 to 1	SSD	WP_008807470.1	1 to 1	SSD	WP_002888332.1
16128052	b0058	NP_414600.1	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	1 to 1	SSD	YP_005225070	1 to 1	SSD	WP_002888348.1	0	N/A		1 to 1	SSD	WP_004145980.1	1 to 1	SSD	WP_004145980.1	1 to 1	SSD	WP_008807465.1	1 to 1	SSD	WP_004145980.1
16128053	b0059	NP_414601.1	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	1 to 1	SSD	YP_005225071	1 to 1	SSD	WP_014599039.1	0	N/A		1 to 1	SSD	WP_004178574.1	1 to 1	SSD	WP_004178574.1	1 to 1	SSD	WP_012542873.1	1 to 1	SSD	WP_004177426.1
16128054	b0060	NP_414602.1	DNA polymerase II	1 to 1	SSD	YP_005225072	1 to 1	SSD	WP_014599040.1	0	N/A		1 to 1	SSD	WP_012737391.1	1 to 1	SSD	WP_012737391.1	1 to 1	SSD	WP_012542872.1	1 to 1	SSD	WP_011977643.1
16128055	b0061	NP_414603.1	L-ribulose-5-phosphate 4-epimerase	1 to 1	SSD	YP_005225073	1 to 1	SSD	WP_002888353.1	0	N/A		1 to 1	SSD	WP_002888353.1	1 to 1	SSD	WP_002888353.1	1 to 1	SSD	WP_012542871.1	1 to 1	SSD	WP_011977644.1
16128056	b0062	NP_414604.1	L-arabinose isomerase	1 to 1	SSD	YP_005225074	1 to 1	SSD	WP_004177424.1	0	N/A		1 to 1	SSD	WP_004177424.1	1 to 1	SSD	WP_004177424.1	1 to 1	SSD	WP_012542870.1	1 to 1	SSD	WP_011977645.1
16128057	b0063	NP_414605.1	L-ribulokinase	1 to 1	SSD	YP_005225075	1 to 1	SSD	WP_004177423.1	0	N/A		1 to 1	SSD	WP_012737392.1	1 to 1	SSD	WP_012737392.1	1 to 1	SSD	WP_012542869.1	1 to 1	SSD	WP_011977646.1
16128058	b0064	NP_414606.1	DNA-binding transcriptional dual regulator	1 to 1	SSD	YP_005225077	1 to 1	SSD	WP_004145972.1	0	N/A		1 to 1	SSD	WP_004145972.1	1 to 1	SSD	WP_004145972.1	1 to 1	SSD	WP_004204301.1	1 to 1	SSD	WP_004145972.1
16128059	b0065	NP_414607.1	inner membrane protein, SNARE_assoc family	1 to 1	SSD	YP_005225078	1 to 1	SSD	WP_002888373.1	0	N/A		1 to 1	SSD	WP_002888373.1	1 to 1	SSD	WP_002888373.1	1 to 1	SSD	WP_008807458.1	1 to 1	SSD	WP_002888373.1
16128060	b0066	NP_414608.1	thiamin transporter subunit	1 to 1	SSD	YP_005225079	1 to 1	SSD	WP_004178579.1	0	N/A		1 to 1	SSD	WP_004145970.1	1 to 1	SSD	WP_004145970.1	1 to 1	SSD	WP_012542868.1	1 to 1	SSD	WP_011977647.1
16128061	b0067	NP_414609.1	fused thiamin transporter subunits of ABC superfamily: membrane components	1 to 1	SSD	YP_005225080	1 to 1	SSD	WP_004147039.1	0	N/A		1 to 1	SSD	WP_012737393.1	1 to 1	SSD	WP_012737393.1	1 to 1	SSD	WP_008807456.1	1 to 1	SSD	WP_004147039.1
16128062	b0068	NP_414610.1	thiamin transporter subunit	1 to 1	SSD	YP_005225081	1 to 1	SSD	WP_004147041.1	0	N/A		1 to 1	SSD	WP_012737394.1	1 to 1	SSD	WP_012737394.1	1 to 1	SSD	WP_012542867.1	1 to 1	SSD	WP_011977648.1
16128063	b0069	NP_414611.1	transcriptional DNA-binding transcriptional activator of sgrS sRNA	1 to 1	SSD	YP_005225082	1 to 1	SSD	WP_004211715.1	0	N/A		1 to 1	SSD	WP_004147044.1	1 to 1	SSD	WP_004147044.1	1 to 1	SSD	WP_008807454.1	1 to 1	SSD	WP_004145968.1
49175994	b0070	YP_025293.1	broad specificity sugar efflux system	1 to 1	SSD	YP_005225085	1 to 1	SSD	WP_004222652.1	0	N/A		1 to 1	SSD	WP_004147046.1	1 to 1	SSD	WP_004147046.1	1 to 1	SSD	WP_012542865.1	1 to 1	SSD	WP_004222652.1
16128065	b0071	NP_414613.1	3-isopropylmalate dehydratase small subunit	1 to 1	SSD	YP_005225092	1 to 1	SSD	WP_002888481.1	1 to 1	RBB	WP_003415110.1	1 to 1	SSD	WP_002888481.1	1 to 1	SSD	WP_002888481.1	1 to 1	SSD	WP_008807446.1	1 to 1	SSD	WP_011977651.1
16128066	b0072	NP_414614.1	3-isopropylmalate dehydratase large subunit	1 to 1	SSD	YP_005225093	1 to 1	SSD	WP_004177417.1	1 to 1	RBB	WP_003899570.1	1 to 1	SSD	WP_004177417.1	1 to 1	SSD	WP_004177417.1	1 to 1	SSD	WP_008807445.1	1 to 1	SSD	WP_004177417.1
90111082	b0073	NP_414615.4	3-isopropylmalate dehydrogenase, NAD(+)-dependent	1 to 1	SSD	YP_005225094	1 to 1	SSD	WP_002888487.1	0	N/A		1 to 1	SSD	WP_002888487.1	1 to 1	SSD	WP_002888487.1	1 to 1	SSD	WP_008807444.1	1 to 1	SSD	WP_002888487.1
16128068	b0074	NP_414616.1	2-isopropylmalate synthase	1 to 1	SSD	YP_005225095	1 to 1	SSD	WP_004178594.1	1 to 1	RBB	WP_003902547.1	1 to 1	SSD	WP_004178594.1	1 to 1	SSD	WP_004178594.1	1 to 1	SSD	WP_008807443.1	1 to 1	SSD	WP_004178594.1
16128069	b0075	NP_414617.1	leu operon leader peptide	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111083	b0076	NP_414618.4	DNA-binding transcriptional activator	1 to 1	SSD	YP_005225097	1 to 1	SSD	WP_004147057.1	0	N/A		1 to 1	SSD	WP_004147057.1	1 to 1	SSD	WP_004147057.1	1 to 1	SSD	WP_012542859.1	1 to 1	SSD	WP_004147057.1
90111084	b0077	YP_025294.2	acetolactate synthase III, large subunit	1 to 1	SSD	YP_005225098	1 to 1	SSD	WP_002888534.1	1 to 1	RBB	WP_003415168.1	1 to 1	SSD	WP_002888534.1	1 to 1	SSD	WP_002888534.1	1 to 1	SSD	WP_008807441.1	1 to 1	SSD	WP_002888534.1
16128071	b0078	NP_414620.1	acetolactate synthase III, thiamin-dependent, small subunit	1 to 1	SSD	YP_005225099	1 to 1	SSD	WP_002888536.1	1 to 1	RBB	WP_003415167.1	1 to 1	SSD	WP_002888536.1	1 to 1	SSD	WP_002888536.1	1 to 1	SSD	WP_002888536.1	1 to 1	SSD	WP_002888536.1
16128073	b0080	NP_414622.1	DNA-binding transcriptional dual regulator	1 to 1	SSD	YP_005225100	1 to 1	SSD	WP_004145952.1	0	N/A		1 to 1	SSD	WP_004145952.1	1 to 1	SSD	WP_004145952.1	1 to 1	SSD	WP_004145952.1	1 to 1	SSD	WP_004145952.1
16128074	b0081	NP_414623.1	conserved protein, MraZ family	1 to 1	SSD	YP_005225101	1 to 1	SSD	WP_002888541.1	1 to 1	RBB	WP_003411225.1	1 to 1	SSD	WP_002888541.1	1 to 1	SSD	WP_002888541.1	1 to 1	SSD	WP_012542858.1	1 to 1	SSD	WP_011977652.1
16128075	b0082	NP_414624.1	16S rRNA m(4)C1402 methyltranserfase, SAM-dependent	1 to 1	SSD	YP_005225102	1 to 1	SSD	WP_002888547.1	1 to 1	RBB	WP_031647337.1	1 to 1	SSD	WP_002888547.1	1 to 1	SSD	WP_002888547.1	1 to 1	SSD	WP_008807438.1	1 to 1	SSD	WP_002888547.1
16128076	b0083	NP_414625.1	membrane bound cell division protein at septum containing leucine zipper motif	1 to 1	SSD	YP_005225103	1 to 1	SSD	WP_002888550.1	0	N/A		1 to 1	SSD	WP_002888550.1	1 to 1	SSD	WP_002888550.1	1 to 1	SSD	WP_002888550.1	1 to 1	SSD	WP_002888550.1
16128077	b0084	NP_414626.1	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	1 to 1	SSD	YP_005225104	1 to 1	SSD	WP_002888559.1	1 to 1	RBB	WP_003411214.1	1 to 1	SSD	WP_002888559.1	1 to 1	SSD	WP_002888559.1	1 to 1	SSD	WP_008807437.1	1 to 1	SSD	WP_002888559.1
16128078	b0085	NP_414627.1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase	1 to 1	SSD	YP_005225105	1 to 1	SSD	WP_004182923.1	1 to 1	RBB	WP_003911778.1	1 to 1	SSD	WP_004182923.1	1 to 1	SSD	WP_004182923.1	1 to 1	SSD	WP_012542857.1	1 to 1	SSD	WP_004147071.1
16128079	b0086	NP_414628.1	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase	1 to 1	SSD	YP_005225106	1 to 1	SSD	WP_004222665.1	1 to 1	RBB	WP_003411187.1	1 to 1	SSD	WP_004177411.1	1 to 1	SSD	WP_004177411.1	1 to 1	SSD	WP_012542856.1	1 to 1	SSD	WP_004177411.1
16128080	b0087	NP_414629.1	phospho-N-acetylmuramoyl-pentapeptide transferase	1 to 1	SSD	YP_005225107	1 to 1	SSD	WP_002888562.1	1 to 1	RBB	WP_003411171.1	1 to 1	SSD	WP_002888562.1	1 to 1	SSD	WP_002888562.1	1 to 1	SSD	WP_008807434.1	1 to 1	SSD	WP_002888562.1
16128081	b0088	NP_414630.1	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	1 to 1	SSD	YP_005225108	1 to 1	SSD	WP_004147075.1	1 to 1	RBB	WP_009934975.1	1 to 1	SSD	WP_012737400.1	1 to 1	SSD	WP_012737400.1	1 to 1	Borderline-SSD	WP_012542855.1	1 to 1	SSD	WP_004151364.1
16128082	b0089	NP_414631.1	integral membrane protein involved in stabilizing FstZ ring during cell division	1 to 1	SSD	YP_005225109	1 to 1	SSD	WP_002888565.1	1 to 2	RBB	WP_003411165.1	1 to 1	SSD	WP_002888565.1	1 to 1	SSD	WP_002888565.1	1 to 1	SSD	WP_004204337.1	1 to 1	SSD	WP_002888565.1
16128083	b0090	NP_414632.1	N-acetylglucosaminyl transferase	1 to 1	SSD	YP_005225110	1 to 1	SSD	WP_002888566.1	1 to 1	RBB	WP_003899190.1	1 to 1	SSD	WP_002888566.1	1 to 1	SSD	WP_002888566.1	1 to 1	SSD	WP_008807432.1	1 to 1	SSD	WP_002888566.1
