Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Lactobacillus rhamnosus GG NC_013198 - ortholog count (reference : comparison)	Lactobacillus rhamnosus GG NC_013198 - ortholuge status	Lactobacillus rhamnosus GG NC_013198 - ortholog NCBI RefSeq accession	Bacteroides vulgatus ATCC 8482 - ortholog count (reference : comparison)	Bacteroides vulgatus ATCC 8482 - ortholuge status	Bacteroides vulgatus ATCC 8482 - ortholog NCBI RefSeq accession	Eubacterium eligens ATCC 27750 - ortholog count (reference : comparison)	Eubacterium eligens ATCC 27750 - ortholuge status	Eubacterium eligens ATCC 27750 - ortholog NCBI RefSeq accession	Eubacterium rectale ATCC 33656 - ortholog count (reference : comparison)	Eubacterium rectale ATCC 33656 - ortholuge status	Eubacterium rectale ATCC 33656 - ortholog NCBI RefSeq accession
397671860	RVBD_0078A	WP_003400645.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671861	RVBD_0078Bc	YP_006513395	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671862	RVBD_0079	WP_003400655.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671863	RVBD_0080	WP_003899804.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671864	RVBD_0081	WP_003400657.1	ArsR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397671865	RVBD_0082	WP_003400658.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397671866	RVBD_0083	WP_003907280.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397671867	RVBD_0084	WP_003900802.1	formate hydrogenlyase hycD	0	N/A		0	N/A		0	N/A		0	N/A	
397671868	RVBD_0085	WP_003400661.1	hydrogenase-4 component E	0	N/A		0	N/A		0	N/A		0	N/A	
397671869	RVBD_0086	WP_003400662.1	hydrogenase-4 component F	0	N/A		0	N/A		0	N/A		0	N/A	
397671870	RVBD_0087	WP_003400663.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397671871	RVBD_0088	WP_003899806.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671872	RVBD_0089	WP_003400665.1	methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397671873	RVBD_0090	WP_003899807.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671874	RVBD_0090A	YP_006513408	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671875	RVBD_0091	WP_003913086.1	MTA/SAH nucleosidase	1 to 1	RBB	WP_032953768.1	1 to 1	RBB	WP_005844442.1	1 to 1	RBB	WP_012738330.1	1 to 1	RBB	WP_012743421.1
397671876	RVBD_0092	WP_003899808.1	cation-transporting P-type ATPase A	3 to 1	RBB	WP_014569756.1	3 to 1	RBB	WP_032939147.1	0	N/A		2 to 1	RBB	WP_012741521.1
397671877	RVBD_0093c	WP_003912510.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671878	RVBD_0094c	WP_023641254.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671879	RVBD_0095c	YP_006513413	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671880	RVBD_0096	WP_003400781.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671881	RVBD_0097	WP_003400786.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397671882	RVBD_0098	WP_003899810.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671883	RVBD_0099	WP_003916215.1	long chain fatty acid CoA ligase FadD10	0	N/A		0	N/A		0	N/A		0	N/A	
397671884	RVBD_0100	WP_003899811.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671885	RVBD_0101	WP_003400794.1	amino acid adenylation domain-containing protein	3 to 1	RBB	WP_014569307.1	0	N/A		4 to 1	RBB	WP_012738389.1	4 to 1	RBB	WP_012743482.1
397671886	RVBD_0102	WP_003900808.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671887	RVBD_0103c	WP_009935939.1	cation-transporting P-type ATPase B	3 to 1	RBB	WP_014569756.1	3 to 1	RBB	WP_032939147.1	0	N/A		0	N/A	
397671888	RVBD_0104	WP_003899813.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671889	RVBD_0105c	WP_003400802.1	50S ribosomal protein L28	0	N/A		2 to 1	RBB	WP_005841284.1	0	N/A		0	N/A	
397671890	RVBD_0106	WP_003400804.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671891	RVBD_0107c	WP_010886065.1	HAD ATPase, P-type, family IC	0	N/A		0	N/A		0	N/A		0	N/A	
397671892	RVBD_0108c	WP_003899816.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671893	RVBD_0109	WP_003909149.1	triacylglycerol lipase	0	N/A		0	N/A		0	N/A		0	N/A	
397671894	RVBD_0110	WP_003899818.1	hypothetical protein	1 to 1	SSD	WP_005684418.1	1 to 1	RBB	WP_005850228.1	0	N/A		1 to 1	SSD	WP_012740980.1
397671895	RVBD_0111	WP_003918015.1	transmembrane acyltransferase	1 to 1	RBB	WP_029943882.1	0	N/A		0	N/A		0	N/A	
397671896	RVBD_0112	WP_003400829.1	GDP-mannose 4,6-dehydratase	0	N/A		0	N/A		0	N/A		0	N/A	
397671897	RVBD_0113	WP_003400839.1	phosphoheptose isomerase	0	N/A		0	N/A		0	N/A		0	N/A	
397671898	RVBD_0114	WP_003400840.1	D,D-heptose 1,7-bisphosphate phosphatase	0	N/A		0	N/A		0	N/A		0	N/A	
397671899	RVBD_0115	WP_003899819.1	D-alpha-D-heptose-7-phosphate kinase hddA	0	N/A		0	N/A		0	N/A		0	N/A	
397671900	RVBD_0115A	YP_006513434	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671901	RVBD_0116c	WP_003400856.1	hypothetical protein	2 to 1	RBB	WP_005686622.1	0	N/A		0	N/A		0	N/A	
397671902	RVBD_0117	WP_003400857.1	oxidative stress response regulatory protein oxyS	1 to 2	RBB	WP_014569545.1;WP_005686517.1	0	N/A		1 to 2	RBB	WP_012738909.1;WP_012739714.1	1 to 1	RBB	WP_012743602.1
397671903	RVBD_0118c	WP_003900812.1	oxalyl-CoA decarboxylase	0	N/A		0	N/A		0	N/A		0	N/A	
397671904	RVBD_0119	WP_003899822.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671905	RVBD_0120c	WP_003916609.1	elongation factor G-like protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671906	RVBD_0121c	WP_003400864.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671907	RVBD_0122	WP_003400865.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671908	RVBD_0123	WP_003400878.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671909	RVBD_0124	WP_010886067.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671910	RVBD_0125	WP_003400885.1	serine protease pepA	0	N/A		0	N/A		0	N/A		0	N/A	
397671911	RVBD_0126	WP_003400893.1	trehalose synthase	0	N/A		2 to 1	RBB	WP_011965162.1	2 to 2	RBB	WP_012739427.1;WP_041688811.1	0	N/A	
397671912	RVBD_0127	WP_003916610.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671913	RVBD_0128	WP_003899825.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671914	RVBD_0129c	WP_003400908.1	antigen 85-C	0	N/A		0	N/A		0	N/A		0	N/A	
397671915	RVBD_0130	WP_003400912.1	acyl dehydratase	0	N/A		1 to 1	RBB	WP_005842132.1	0	N/A		0	N/A	
397671916	RVBD_0131c	WP_023637326.1	acyl-CoA dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A	
397671917	RVBD_0132c	WP_003899826.1	G6PDH family F420-dependent oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397671918	RVBD_0133	WP_003400924.1	acetyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397671919	RVBD_0134	WP_003899827.1	epoxide hydrolase EphF	2 to 1	RBB	WP_005685009.1	0	N/A		0	N/A		0	N/A	
397671920	RVBD_0135c	WP_003400935.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397671921	RVBD_0136	WP_003400938.1	cytochrome P450 138 cyp138	0	N/A		0	N/A		0	N/A		0	N/A	
397671922	RVBD_0137c	WP_003400942.1	peptide methionine sulfoxide reductase MsrA	1 to 2	SSD	WP_014569537.1;WP_014569637.1	1 to 1	RBB	WP_005848903.1	0	N/A		0	N/A	
397671923	RVBD_0138	WP_003400945.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671924	RVBD_0139	WP_003400947.1	dihydroflavonol-4-reductase	0	N/A		0	N/A		0	N/A		0	N/A	
397671925	RVBD_0140	WP_003400949.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671926	RVBD_0141c	WP_003400951.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671927	RVBD_0142	WP_003917890.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671928	RVBD_0143c	WP_003911116.1	CIC family chloride channel protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671929	RVBD_0144	WP_003911117.1	TetR family transcriptional regulator	2 to 1	RBB	WP_005711219.1	0	N/A		0	N/A		0	N/A	
397671930	RVBD_0145	WP_003899829.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671931	RVBD_0146	WP_003899831.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671932	RVBD_0147	WP_003913557.1	aldehyde dehydrogenase	0	N/A		0	N/A		1 to 1	RBB	WP_041687921.1	0	N/A	
397671933	RVBD_0148	WP_003400979.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397671934	RVBD_0149	WP_003400985.1	NADPH2:quinone reductase	0	N/A		0	N/A		0	N/A		0	N/A	
397671935	RVBD_0150c	WP_003400989.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671936	RVBD_0151c	WP_023637327.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671937	RVBD_0152c	WP_003401003.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671938	RVBD_0153c	WP_003401010.1	protein-tyrosine phosphatase	1 to 2	RBB	WP_032953396.1;WP_014570187.1	0	N/A		0	N/A		0	N/A	
397671939	RVBD_0154c	WP_003899834.1	acyl-CoA dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A	
397671940	RVBD_0155	WP_003401026.1	NAD(P)(+) transhydrogenase (AB-specific), alpha subunit	0	N/A		0	N/A		0	N/A		0	N/A	
397671941	RVBD_0156	WP_003401030.1	NAD(P) transhydrogenase subunit alpha	0	N/A		0	N/A		0	N/A		0	N/A	
397671942	RVBD_0157	WP_023637328.1	NAD(P) transhydrogenase subunit beta	0	N/A		0	N/A		0	N/A		0	N/A	
397671943	RVBD_0157A	WP_003401037.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671944	RVBD_0158	WP_003401044.1	TetR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397671945	RVBD_0159c	WP_003911094.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671946	RVBD_0160c	WP_003900817.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671947	RVBD_0161	WP_003401056.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397671948	RVBD_0162c	WP_003901814.1	alcohol dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A	
397671949	RVBD_0163	WP_003401060.1	acyl-CoA thioester hydrolase	0	N/A		1 to 1	RBB	WP_041174405.1	0	N/A		0	N/A	
397671950	RVBD_0164	WP_003917895.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
561108324	RVBD_0165c	WP_003899836.1	GntR family transcriptional regulator	1 to 1	RBB	WP_014568908.1	0	N/A		1 to 1	RBB	WP_012738434.1	1 to 3	RBB	WP_012741863.1;WP_012742808.1;WP_012743838.1
397671952	RVBD_0166	WP_003899837.1	fatty-acyl-CoA synthase	3 to 1	RBB	WP_014570113.1	0	N/A		2 to 1	RBB	WP_041688300.1	0	N/A	
397671953	RVBD_0167	WP_003401074.1	ABC transporter permease	0	N/A		0	N/A		0	N/A		0	N/A	
397671954	RVBD_0168	WP_003401077.1	ABC transporter permease	0	N/A		0	N/A		0	N/A		0	N/A	
397671955	RVBD_0169	WP_003899838.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671956	RVBD_0170	WP_003899839.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671957	RVBD_0171	WP_003901818.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671958	RVBD_0172	WP_003401084.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671959	RVBD_0173	WP_023637330.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671960	RVBD_0174	WP_003911095.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671961	RVBD_0175	WP_003899842.1	MCE-associated membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671962	RVBD_0176	WP_003899843.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671963	RVBD_0177	WP_003401099.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671964	RVBD_0178	WP_003899844.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671965	RVBD_0179c	WP_003899845.1	lipoprotein LprO	0	N/A		0	N/A		0	N/A		0	N/A	
397671966	RVBD_0180c	WP_003899846.1	YhgE/Pip domain-containing protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671967	RVBD_0181c	WP_003401107.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_005847365.1	0	N/A		0	N/A	
397671968	RVBD_0182c	WP_031647048.1	RNA polymerase sigma-70 factor	0	N/A		0	N/A		0	N/A		2 to 1	RBB	WP_041254686.1
397671969	RVBD_0183	WP_003401112.1	hypothetical protein	0	N/A		0	N/A		1 to 1	RBB	WP_012739688.1	1 to 1	RBB	WP_012743558.1
397671970	RVBD_0184	WP_003401116.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671971	RVBD_0185	WP_003401120.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
