Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128025	b0031	NP_414572.1	dihydrodipicolinate reductase	170532	Mycobacterium tuberculosis H37Rv	397674684	RVBD_2773c	WP_003414099.1	dihydrodipicolinate reductase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128026	b0032	NP_414573.1	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	170532	Mycobacterium tuberculosis H37Rv	397673228	RVBD_1383	WP_003407208.1	carbamoyl-phosphate synthase small subunit				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128027	b0033	NP_414574.1	carbamoyl-phosphate synthase large subunit	170532	Mycobacterium tuberculosis H37Rv	397673229	RVBD_1384	WP_003898855.1	carbamoyl-phosphate synthase large subunit				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111080	b0035	NP_414577.2	stimulator of CaiD and CaiB enzyme activities	170532	Mycobacterium tuberculosis H37Rv	397675478	RVBD_3525c	WP_003419208.1	siderophore-binding protein	1	b1400[predicted hexapeptide repeat acetyltransferase]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	221800780	b0037	NP_414579.4	probable crotonobetaine/carnitine-CoA ligase	170532	Mycobacterium tuberculosis H37Rv	397675015	RVBD_3089	WP_003416081.1	o-succinylbenzoate--CoA ligase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128033	b0039	NP_414581.1	crotonobetaine reductase subunit II, FAD-binding	170532	Mycobacterium tuberculosis H37Rv	397675216	RVBD_3274c	WP_003417122.1	acyl-CoA dehydrogenase fadE25	1		RVBD_0400c[glutaryl-CoA dehydrogenase]	
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128033	b0039	NP_414581.1	crotonobetaine reductase subunit II, FAD-binding	170532	Mycobacterium tuberculosis H37Rv	397672191	RVBD_0400c	WP_003401972.1	glutaryl-CoA dehydrogenase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111081	b0041	NP_414583.2	predicted electron transfer flavoprotein subunit, required for anaerobic carnitine reduction	170532	Mycobacterium tuberculosis H37Rv	397674953	RVBD_3029c	WP_003415921.1	electron transfer flavoprotein subunit beta	1	b1697[conserved protein]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128036	b0042	NP_414584.1	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	170532	Mycobacterium tuberculosis H37Rv	397674952	RVBD_3028c	WP_003899889.1	electron transfer flavoprotein subunit alpha	1	b1698[predicted electron transfer flavoprotein, FAD-binding subunit]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128042	b0048	NP_414590.1	dihydrofolate reductase	170532	Mycobacterium tuberculosis H37Rv	397674673	RVBD_2763c	WP_003900566.1	dihydrofolate reductase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128045	b0051	NP_414593.1	16S rRNA dimethyladenosine transferase, SAM-dependent	170532	Mycobacterium tuberculosis H37Rv	397672836	RVBD_1010	WP_003405191.1	ribosomal RNA small subunit methyltransferase A				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128065	b0071	NP_414613.1	3-isopropylmalate dehydratase small subunit	170532	Mycobacterium tuberculosis H37Rv	397674908	RVBD_2987c	WP_003415110.1	3-isopropylmalate dehydratase small subunit				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128066	b0072	NP_414614.1	3-isopropylmalate dehydratase large subunit	170532	Mycobacterium tuberculosis H37Rv	397674909	RVBD_2988c	WP_003899570.1	3-isopropylmalate dehydratase large subunit				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128068	b0074	NP_414616.1	2-isopropylmalate synthase	170532	Mycobacterium tuberculosis H37Rv	397675667	RVBD_3710	WP_003902547.1	2-isopropylmalate synthase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111084	b0077	YP_025294.2	acetolactate synthase III, large subunit	170532	Mycobacterium tuberculosis H37Rv	397674926	RVBD_3003c	WP_003415168.1	acetolactate synthase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128071	b0078	NP_414620.1	acetolactate synthase III, thiamin-dependent, small subunit	170532	Mycobacterium tuberculosis H37Rv	397674925	RVBD_3002c	WP_003415167.1	acetolactate synthase small subunit				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128074	b0081	NP_414623.1	conserved protein, MraZ family	170532	Mycobacterium tuberculosis H37Rv	397674050	RVBD_2166c	WP_003411225.1	protein MraZ				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128075	b0082	NP_414624.1	16S rRNA m(4)C1402 methyltranserfase, SAM-dependent	170532	Mycobacterium tuberculosis H37Rv	397674049	RVBD_2165c	WP_031647337.1	ribosomal RNA small subunit methyltransferase H				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128077	b0084	NP_414626.1	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	170532	Mycobacterium tuberculosis H37Rv	397674047	RVBD_2163c	WP_003411214.1	cell division protein FtsI (penicillin-binding protein 3)				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128078	b0085	NP_414627.1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase	170532	Mycobacterium tuberculosis H37Rv	397674042	RVBD_2158c	WP_003911778.1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-2, 6-diaminopimelate ligase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128079	b0086	NP_414628.1	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase	170532	Mycobacterium tuberculosis H37Rv	397674041	RVBD_2157c	WP_003411187.1	UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D- alanine ligase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128080	b0087	NP_414629.1	phospho-N-acetylmuramoyl-pentapeptide transferase	170532	Mycobacterium tuberculosis H37Rv	397674040	RVBD_2156c	WP_003411171.1	phospho-N-acetylmuramoyl-pentapeptide- transferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128081	b0088	NP_414630.1	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	170532	Mycobacterium tuberculosis H37Rv	397674039	RVBD_2155c	WP_009934975.1	UDP-N-acetylmuramoylalanine--D-glutamate ligase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128082	b0089	NP_414631.1	integral membrane protein involved in stabilizing FstZ ring during cell division	170532	Mycobacterium tuberculosis H37Rv	397674038	RVBD_2154c	WP_003411165.1	cell division protein FtsW	1	b0634[cell wall shape-determining protein]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128083	b0090	NP_414632.1	N-acetylglucosaminyl transferase	170532	Mycobacterium tuberculosis H37Rv	397674037	RVBD_2153c	WP_003899190.1	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128084	b0091	NP_414633.1	UDP-N-acetylmuramate:L-alanine ligase	170532	Mycobacterium tuberculosis H37Rv	397674036	RVBD_2152c	WP_003411159.1	UDP-N-acetylmuramate--L-alanine ligase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128088	b0095	NP_414637.1	GTP-binding tubulin-like cell division protein	170532	Mycobacterium tuberculosis H37Rv	397674034	RVBD_2150c	WP_003411144.1	cell division protein ftsZ				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128091	b0098	NP_414640.1	preprotein translocase subunit, ATPase	170532	Mycobacterium tuberculosis H37Rv	397675181	RVBD_3240c	WP_003901576.1	protein translocase subunit secA 1				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128096	b0103	NP_414645.1	dephospho-CoA kinase	170532	Mycobacterium tuberculosis H37Rv	397673485	RVBD_1631	WP_003408069.1	dephospho-CoA kinase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128102	b0109	NP_414651.1	quinolinate phosphoribosyltransferase	170532	Mycobacterium tuberculosis H37Rv	397673450	RVBD_1596	WP_003898939.1	nicotinate-nucleotide pyrophosphorylase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128106	b0113	NP_414655.1	DNA-binding transcriptional dual regulator	170532	Mycobacterium tuberculosis H37Rv	397672290	RVBD_0494	WP_003898483.1	GntR family transcriptional regulator	2	b2980[DNA-binding transcriptional dual regulator, glycolate-binding];b3604[dual role activator/repressor for lldPRD operon]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128107	b0114	NP_414656.1	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding	170532	Mycobacterium tuberculosis H37Rv	397674129	RVBD_2241	WP_003911788.1	pyruvate dehydrogenase E1 component				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128109	b0116	NP_414658.1	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	170532	Mycobacterium tuberculosis H37Rv	397672256	RVBD_0462	WP_003402301.1	dihydrolipoyl dehydrogenase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128114	b0121	NP_414663.1	spermidine synthase (putrescine aminopropyltransferase)	170532	Mycobacterium tuberculosis H37Rv	397674507	RVBD_2601	WP_003899392.1	spermidine synthase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128116	b0123	NP_414665.1	multicopper oxidase (laccase)	170532	Mycobacterium tuberculosis H37Rv	397672662	RVBD_0846c	WP_003404392.1	oxidoreductase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111088	b0125	NP_414667.4	hypoxanthine phosphoribosyltransferase	170532	Mycobacterium tuberculosis H37Rv	397675578	RVBD_3624c	WP_003912454.1	hypoxanthine-guanine phosphoribosyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128119	b0126	NP_414668.1	carbonic anhydrase	170532	Mycobacterium tuberculosis H37Rv	397675543	RVBD_3588c	WP_003419492.1	carbonic anhydrase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128124	b0131	NP_414673.1	aspartate 1-decarboxylase	170532	Mycobacterium tuberculosis H37Rv	397675555	RVBD_3601c	WP_003419523.1	aspartate 1-decarboxylase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128126	b0133	NP_414675.1	pantothenate synthetase	170532	Mycobacterium tuberculosis H37Rv	397675556	RVBD_3602c	WP_003419526.1	pantothenate synthetase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128127	b0134	NP_414676.1	3-methyl-2-oxobutanoate hydroxymethyltransferase	170532	Mycobacterium tuberculosis H37Rv	397674111	RVBD_2225	WP_003411489.1	3-methyl-2-oxobutanoate hydroxymethyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128135	b0142	NP_414684.1	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	170532	Mycobacterium tuberculosis H37Rv	397675560	RVBD_3606c	WP_003419536.1	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128142	b0149	NP_414691.1	fused glycosyl transferase and transpeptidase	170532	Mycobacterium tuberculosis H37Rv	397671830	RVBD_0050	WP_003400507.1	peptidoglycan glycosyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128147	b0154	NP_414696.1	glutamate-1-semialdehyde aminotransferase (aminomutase)	170532	Mycobacterium tuberculosis H37Rv	397672322	RVBD_0524	WP_003402844.1	glutamate-1-semialdehyde 2,1-aminomutase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128149	b0156	NP_414698.1	iron-sulfur cluster insertion protein	170532	Mycobacterium tuberculosis H37Rv	397674089	RVBD_2204c	WP_003411418.1	iron-sulfur cluster assembly accessory protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128152	b0159	NP_414701.1	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	170532	Mycobacterium tuberculosis H37Rv	397671875	RVBD_0091	WP_003913086.1	MTA/SAH nucleosidase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128153	b0160	NP_414702.1	deoxyguanosine triphosphate triphosphohydrolase	170532	Mycobacterium tuberculosis H37Rv	397674243	RVBD_2344c	WP_003899281.1	deoxyguanosinetriphosphate triphosphohydrolase-like protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128154	b0161	NP_414703.1	serine endoprotease (protease Do), membrane-associated	170532	Mycobacterium tuberculosis H37Rv	397673063	RVBD_1223	WP_003911452.1	serine protease htrA	2	b3234[serine endoprotease, periplasmic];b3235[serine endoprotease, periplasmic]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111093	b0162	NP_414704.4	DNA-binding transcriptional regulator for gar and gud operons; carbohydrate diacid regulator	170532	Mycobacterium tuberculosis H37Rv	397673274	RVBD_1429	WP_003407376.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111094	b0164	NP_414706.2	phosphodiesterase with model substrate bis-pNPP	170532	Mycobacterium tuberculosis H37Rv	397675637	RVBD_3683	WP_003899637.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128160	b0167	NP_414709.1	uridylyltransferase	170532	Mycobacterium tuberculosis H37Rv	397674836	RVBD_2918c	WP_003899539.1	[protein-PII] uridylyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128161	b0168	NP_414710.1	methionine aminopeptidase	170532	Mycobacterium tuberculosis H37Rv	397674778	RVBD_2861c	WP_003899513.1	methionine aminopeptidase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128162	b0169	NP_414711.1	30S ribosomal subunit protein S2	170532	Mycobacterium tuberculosis H37Rv	397674808	RVBD_2890c	WP_003899528.1	30S ribosomal protein S2				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128163	b0170	NP_414712.1	protein chain elongation factor EF-Ts	170532	Mycobacterium tuberculosis H37Rv	397674807	RVBD_2889c	WP_003899527.1	elongation factor Ts				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128164	b0171	NP_414713.1	uridylate kinase	170532	Mycobacterium tuberculosis H37Rv	397674801	RVBD_2883c	WP_003414665.1	uridylate kinase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128165	b0172	NP_414714.1	ribosome recycling factor	170532	Mycobacterium tuberculosis H37Rv	397674799	RVBD_2882c	WP_003414663.1	ribosome-recycling factor				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128166	b0173	NP_414715.1	1-deoxy-D-xylulose 5-phosphate reductoisomerase	170532	Mycobacterium tuberculosis H37Rv	397674788	RVBD_2870c	WP_003414613.1	1-deoxy-D-xylulose 5-phosphate reductoisomerase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128167	b0174	NP_414716.1	undecaprenyl pyrophosphate synthase	170532	Mycobacterium tuberculosis H37Rv	397674260	RVBD_2361c	WP_003412212.1	undecaprenyl pyrophosphate synthase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111095	b0175	NP_414717.2	CDP-diglyceride synthase	170532	Mycobacterium tuberculosis H37Rv	397674798	RVBD_2881c	WP_003414661.1	phosphatidate cytidylyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128169	b0176	NP_414718.1	inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA	170532	Mycobacterium tuberculosis H37Rv	397674787	RVBD_2869c	WP_003899518.1	RIP metalloprotease RseP				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128176	b0183	NP_414725.1	ribonuclease HII, degrades RNA of DNA-RNA hybrids	170532	Mycobacterium tuberculosis H37Rv	397674820	RVBD_2902c	WP_003414713.1	ribonuclease HII				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128177	b0184	NP_414726.1	DNA polymerase III alpha subunit	170532	Mycobacterium tuberculosis H37Rv	397673400	RVBD_1547	WP_003407751.1	DNA polymerase III subunit alpha				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128179	b0186	NP_414728.1	lysine decarboxylase 2, constitutive	170532	Mycobacterium tuberculosis H37Rv	397674437	RVBD_2531c	WP_003899363.1	arginine decarboxylase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128187	b0194	NP_414736.1	prolyl-tRNA synthetase	170532	Mycobacterium tuberculosis H37Rv	397674760	RVBD_2845c	WP_003899508.1	prolyl-tRNA synthetase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128193	b0200	NP_414742.1	D,D-heptose 1,7-bisphosphate phosphatase	170532	Mycobacterium tuberculosis H37Rv	397671898	RVBD_0114	WP_003400840.1	D,D-heptose 1,7-bisphosphate phosphatase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128197	b0210	NP_414746.1	predicted S-adenosyl-L-methionine-dependent methyltransferase	170532	Mycobacterium tuberculosis H37Rv	397674963	RVBD_3038c	WP_003415941.1	methyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128202	b0215	NP_414751.1	DNA polymerase III epsilon subunit	170532	Mycobacterium tuberculosis H37Rv	397675668	RVBD_3711c	WP_003912271.1	exonuclease, DNA polymerase III, epsilon subunit				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128208	b0222	NP_414757.1	D-sedoheptulose 7-phosphate isomerase	170532	Mycobacterium tuberculosis H37Rv	397671897	RVBD_0113	WP_003400839.1	phosphoheptose isomerase	1	b3149[DnaA initiator-associating factor for replication initiation]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128209	b0223	NP_414758.1	predicted amidotransfease	170532	Mycobacterium tuberculosis H37Rv	397672892	RVBD_1061	WP_003405636.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128213	b0227	NP_414762.1	predicted lipoprotein and C40 family peptidase	170532	Mycobacterium tuberculosis H37Rv	397673327	RVBD_1478	WP_003407525.1	invasion-associated protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128213	b0227	NP_414762.1	predicted lipoprotein and C40 family peptidase	170532	Mycobacterium tuberculosis H37Rv	397673326	RVBD_1477	WP_003407523.1	invasion-associated protein	1		RVBD_1478[invasion-associated protein]	
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128217	b0231	NP_414766.1	DNA polymerase IV	170532	Mycobacterium tuberculosis H37Rv	397674982	RVBD_3056	WP_003899898.1	DNA polymerase IV 2	1		RVBD_1537[DNA polymerase IV 1]	
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128217	b0231	NP_414766.1	DNA polymerase IV	170532	Mycobacterium tuberculosis H37Rv	397673390	RVBD_1537	WP_003407718.1	DNA polymerase IV 1				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128228	b0242	NP_414777.1	gamma-glutamate kinase	170532	Mycobacterium tuberculosis H37Rv	397674341	RVBD_2439c	WP_003906819.1	glutamate 5-kinase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128229	b0243	NP_414778.1	gamma-glutamylphosphate reductase	170532	Mycobacterium tuberculosis H37Rv	397674328	RVBD_2427c	WP_003412516.1	gamma-glutamyl phosphate reductase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128241	b0256	NP_414790.1	IS30 transposase	170532	Mycobacterium tuberculosis H37Rv	397675122	RVBD_3191c	WP_003416786.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128246	b0261	NP_414795.1	CP4-6 prophage; S-methylmethionine:homocysteine methyltransferase	170532	Mycobacterium tuberculosis H37Rv	397674360	RVBD_2458	WP_003911868.1	homocysteine S-methyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128252	b0267	NP_414801.1	CP4-6 prophage; predicted DNA-binding transcriptional regulator	170532	Mycobacterium tuberculosis H37Rv	397674724	RVBD_2812	WP_003917061.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128257	b0272	NP_414806.1	CP4-6 prophage; predicted DNA-binding transcriptional regulator	170532	Mycobacterium tuberculosis H37Rv	397673579	RVBD_1719	WP_003408460.1	transcriptional regulator				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128258	b0273	NP_414807.1	ornithine carbamoyltransferase 2, chain F; CP4-6 prophage	170532	Mycobacterium tuberculosis H37Rv	397673512	RVBD_1656	WP_003408165.1	ornithine carbamoyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128271	b0286	NP_414820.1	PaoABC aldehyde oxidoreductase, 2Fe-2S subunit	170532	Mycobacterium tuberculosis H37Rv	397672165	RVBD_0374c	WP_003401867.1	carbon-monoxide dehydrogenase small subunit				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397674169	RVBD_2279	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397674382	RVBD_2479c	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397675429	RVBD_3475	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397675271	RVBD_3326	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397673628	RVBD_1764	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397673619	RVBD_1756c	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397673987	RVBD_2106	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397675114	RVBD_3185	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397674726	RVBD_2814c	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397675329	RVBD_3380c	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397673214	RVBD_1369c	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397674254	RVBD_2355	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397675116	RVBD_3187	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397672610	RVBD_0796	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397674558	RVBD_2649	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128284	b0299	NP_414833.1	IS3 transposase B	170532	Mycobacterium tuberculosis H37Rv	397674051	RVBD_2167c	WP_003899492.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128296	b0311	NP_414845.1	choline dehydrogenase, a flavoprotein	170532	Mycobacterium tuberculosis H37Rv	397673119	RVBD_1279	WP_003406598.1	dehydrogenase FAD flavoprotein gmc oxidoreductase				
