Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Mycobacterium intracellulare ATCC 13950 - ortholog count (reference : comparison)	Mycobacterium intracellulare ATCC 13950 - ortholuge status	Mycobacterium intracellulare ATCC 13950 - ortholog NCBI RefSeq accession	Mycobacterium abscessus ATCC 19977 - ortholog count (reference : comparison)	Mycobacterium abscessus ATCC 19977 - ortholuge status	Mycobacterium abscessus ATCC 19977 - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus N315 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus N315 - ortholuge status	Staphylococcus aureus subsp. aureus N315 - ortholog NCBI RefSeq accession	Mycobacterium marinum M - ortholog count (reference : comparison)	Mycobacterium marinum M - ortholuge status	Mycobacterium marinum M - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Mycobacterium avium 104 - ortholog count (reference : comparison)	Mycobacterium avium 104 - ortholuge status	Mycobacterium avium 104 - ortholog NCBI RefSeq accession	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog count (reference : comparison)	Mycobacterium avium subsp. paratuberculosis K-10 - ortholuge status	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog NCBI RefSeq accession	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog count (reference : comparison)	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholuge status	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog NCBI RefSeq accession	Enterococcus faecium Aus0004 - ortholog count (reference : comparison)	Enterococcus faecium Aus0004 - ortholuge status	Enterococcus faecium Aus0004 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholuge status	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog NCBI RefSeq accession	Acinetobacter baumannii AYE - ortholog count (reference : comparison)	Acinetobacter baumannii AYE - ortholuge status	Acinetobacter baumannii AYE - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholuge status	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog NCBI RefSeq accession	Enterobacter cloacae subsp. cloacae ATCC 13047 - ortholog count (reference : comparison)	Enterobacter cloacae subsp. cloacae ATCC 13047 - ortholuge status	Enterobacter cloacae subsp. cloacae ATCC 13047 - ortholog NCBI RefSeq accession
16128481	b0497	NP_415030.1	rhsD element protein	0	N/A		1 to 4	RBB	YP_005235962	0	N/A		0	N/A		1 to 4	RBB	NP_459289.1	1 to 4	RBB	NP_251374.1	0	N/A		1 to 1	RBB	YP_002385976	0	N/A		0	N/A		1 to 4	RBB	WP_003138894.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 4	RBB	WP_001985483.1	0	N/A		4 to 1	RBB	YP_003613625
16128482	b0498	NP_415031.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002385977	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128487	b0503	NP_415036.1	"tRNA 2-selenouridine synthase, selenophosphate-dependent"	0	N/A		1 to 1	SSD	YP_005236216	0	N/A		0	N/A		1 to 1	SSD	NP_459508.1	1 to 1	RBB	NP_250334.1	0	N/A		1 to 1	RBB	YP_002385981	0	N/A		0	N/A		1 to 1	SSD	WP_003087548.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003611775
16128488	b0504	NP_415037.1	DNA-binding transcriptional activator of the allD operon	0	N/A		1 to 1	RBB	YP_005236217	0	N/A		0	N/A		1 to 1	RBB	NP_459509.1	1 to 4	RBB	NP_251915.1	0	N/A		1 to 1	RBB	YP_002385982	0	N/A		0	N/A		1 to 3	RBB	WP_003091534.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737527.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128489	b0505	NP_415038.1	ureidoglycolate hydrolase	0	N/A		1 to 1	RBB	YP_005236218	0	N/A		0	N/A		1 to 1	RBB	NP_459510.1	1 to 1	RBB	NP_250205.1	1 to 1	RBB	YP_001086349	1 to 1	RBB	YP_002385983	0	N/A		0	N/A		1 to 1	RBB	WP_003083329.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737528.1	0	N/A		1 to 1	RBB	WP_000605500.1	0	N/A		0	N/A	
16128490	b0506	NP_415039.1	DNA-binding transcriptional repressor for all (allantoin) and gcl (glyoxylate) operons; glyoxylate-induced	1 to 5	RBB	WP_003408460.1	1 to 1	RBB	YP_005236219	0	N/A		0	N/A		1 to 1	RBB	NP_459511.1	1 to 3	RBB	NP_252198.1	2 to 3	RBB	YP_001084385;YP_001084904	1 to 1	RBB	YP_002385984	0	N/A		1 to 7	RBB	WP_012395980.1	0	N/A		0	N/A		0	N/A		2 to 1	RBB	YP_889713.1	1 to 4	RBB	WP_002294170.1	1 to 1	RBB	WP_012737529.1	0	N/A		1 to 1	RBB	WP_000030961.1	0	N/A		0	N/A	
16128491	b0507	NP_415040.1	glyoxylate carboligase	0	N/A		1 to 1	RBB	YP_005236220	0	N/A		0	N/A		1 to 1	RBB	NP_459512.1	1 to 1	RBB	NP_250193.1	0	N/A		1 to 1	RBB	YP_002385985	0	N/A		0	N/A		1 to 1	RBB	WP_003087182.1	3 to 1	RBB	WP_009979643.1	0	N/A		1 to 1	RBB	YP_889714.1	0	N/A		1 to 1	RBB	WP_014907964.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128492	b0508	NP_415041.1	hydroxypyruvate isomerase	0	N/A		1 to 1	RBB	YP_005236221	0	N/A		0	N/A		1 to 1	RBB	NP_459513.1	1 to 1	RBB	NP_250192.1	1 to 2	RBB	YP_001083626	1 to 1	RBB	YP_002385986	0	N/A		0	N/A		1 to 1	RBB	WP_003087181.1	0	N/A		0	N/A		2 to 1	RBB	YP_889716.1	0	N/A		1 to 1	RBB	WP_012737531.1	0	N/A		1 to 2	RBB	WP_000532989.1	0	N/A		0	N/A	
16128493	b0509	NP_415042.1	"tartronate semialdehyde reductase, NADH-dependent"	1 to 4	RBB	WP_003403844.1	1 to 1	RBB	YP_005236222	0	N/A		0	N/A		1 to 1	RBB	NP_459514.1	1 to 1	RBB	NP_250191.1	1 to 2	SSD	YP_001084819	1 to 1	RBB	YP_002385987	0	N/A		1 to 3	RBB	WP_012392970.1	1 to 1	SSD	WP_003087180.1	0	N/A		0	N/A		2 to 1	RBB	YP_889715.1	1 to 2	RBB	WP_002287606.1	1 to 1	RBB	WP_012737532.1	0	N/A		1 to 2	SSD	WP_000090980.1	0	N/A		0	N/A	
90111144	b0511	NP_415044.4	predicted allantoin transporter	0	N/A		1 to 1	SSD	YP_005236225	0	N/A		2 to 1	RBB	YP_001703668;YP_001703548	1 to 1	SSD	NP_459517.1	1 to 1	RBB	NP_249167.1	1 to 1	Non-SSD	YP_001084477	1 to 1	RBB	YP_002385988	0	N/A		1 to 1	RBB	WP_012393091.1	1 to 1	RBB	WP_031632850.1	0	N/A		0	N/A		1 to 2	RBB	YP_887859.1;YP_889963.1	0	N/A		1 to 1	RBB	WP_012737534.1	0	N/A		1 to 1	Non-SSD	WP_001066271.1	0	N/A		1 to 1	Non-SSD	YP_003613154
16128496	b0512	NP_415045.1	allantoinase	1 to 2	RBB	WP_003407204.1	1 to 1	RBB	YP_005236226	1 to 2	SSD	WP_009951742.1	0	N/A		1 to 1	RBB	NP_459518.1	0	N/A		1 to 1	RBB	YP_001084223	1 to 1	RBB	YP_002385989	1 to 1	SSD	WP_000767028.1	1 to 2	RBB	WP_012393960.1	0	N/A		2 to 1	SSD	WP_009977676.1	2 to 1	Borderline-SSD	WP_003872563.1	0	N/A		1 to 1	Non-SSD	WP_002288875.1	1 to 1	RBB	WP_012737535.1	1 to 1	SSD	YP_001575033	1 to 2	RBB	WP_000029359.1	1 to 1	Non-SSD	YP_499707.1	1 to 1	RBB	YP_003611162
90111145	b0513	NP_415046.4	predicted uracil/xanthine transporter	0	N/A		1 to 1	RBB	YP_005236227	0	N/A		0	N/A		1 to 1	RBB	NP_459519.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385990	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737536.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128498	b0514	NP_415047.1	glycerate kinase II	1 to 2	RBB	WP_003899216.1	1 to 1	RBB	YP_005236228	1 to 2	RBB	WP_008256049.1	1 to 2	RBB	YP_001702692	1 to 1	RBB	NP_459520.1	1 to 2	RBB	NP_249743.1	1 to 2	RBB	YP_001085660	1 to 1	RBB	YP_002385991	1 to 2	RBB	WP_001176863.1	1 to 2	RBB	WP_012394907.1	1 to 2	RBB	WP_003140617.1	2 to 1	RBB	WP_003878146.1	2 to 1	RBB	WP_003878146.1	2 to 1	RBB	YP_886865.1	1 to 2	RBB	WP_002288122.1	1 to 1	RBB	WP_012737537.1	1 to 2	RBB	YP_001576287	1 to 2	RBB	WP_000869511.1	1 to 2	RBB	YP_501186.1	0	N/A	
16128499	b0515	NP_415048.1	conserved protein	0	N/A		1 to 1	RBB	YP_005236229	0	N/A		0	N/A		1 to 1	RBB	NP_459521.1	1 to 1	RBB	NP_249831.1	0	N/A		1 to 1	RBB	YP_002385992	0	N/A		0	N/A		1 to 1	RBB	WP_003086528.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737538.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128500	b0516	NP_415049.1	allantoate amidohydrolase	0	N/A		1 to 1	SSD	YP_005236230	0	N/A		0	N/A		1 to 1	SSD	NP_459522.1	1 to 1	RBB	NP_249135.1	0	N/A		1 to 1	RBB	YP_002385993	0	N/A		0	N/A		1 to 1	RBB	WP_003084676.1	0	N/A		0	N/A		1 to 2	RBB	YP_885572.1;YP_888281.1	0	N/A		1 to 1	RBB	WP_012737539.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003613141
16128501	b0517	NP_415050.1	ureidoglycolate dehydrogenase	0	N/A		1 to 1	RBB	YP_005236231	0	N/A		0	N/A		1 to 1	RBB	NP_459523.1	1 to 3	RBB	NP_249943.1	0	N/A		1 to 1	RBB	YP_002385994	0	N/A		0	N/A		1 to 3	RBB	WP_003082545.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737540.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128502	b0518	NP_415051.1	multicopy suppressor of dominant negative ftsH mutations; predicted acyl-CoA synthetase with NAD(P)-binding Rossmann-fold domain	0	N/A		1 to 1	RBB	YP_005236232	0	N/A		0	N/A		1 to 1	RBB	NP_459524.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385995	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737541.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128504	b0520	NP_415053.1	conserved protein	0	N/A		1 to 1	RBB	YP_005236234	0	N/A		0	N/A		1 to 1	RBB	NP_459526.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385997	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737543.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128505	b0521	NP_415054.1	predicted carbamate kinase	0	N/A		1 to 1	RBB	YP_005236235	0	N/A		0	N/A		1 to 1	RBB	NP_459527.1	1 to 1	RBB	NP_253860.1	0	N/A		1 to 1	RBB	YP_002385998	0	N/A		0	N/A		1 to 1	RBB	WP_003096199.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012737544.1	0	N/A		0	N/A		0	N/A		1 to 1	Non-SSD	YP_003611183
16128506	b0522	NP_415055.1	N5-carboxyaminoimidazole ribonucleotide synthase	1 to 1	RBB	WP_003417126.1	1 to 1	Borderline-SSD	YP_005236236	1 to 1	SSD	WP_041787221.1	1 to 1	RBB	YP_001704348	1 to 1	Borderline-SSD	NP_459528.1	1 to 1	Borderline-SSD	NP_254112.1	1 to 1	SSD	YP_001085968	1 to 1	RBB	YP_002385999	1 to 1	RBB	WP_001010413.1	1 to 1	RBB	WP_041324428.1	1 to 1	SSD	WP_003142082.1	1 to 1	SSD	WP_011725966.1	1 to 1	Borderline-SSD	WP_003878962.1	1 to 1	SSD	YP_886190.1	1 to 1	Borderline-SSD	WP_002302886.1	1 to 1	SSD	WP_012737545.1	1 to 1	RBB	YP_001574909	1 to 1	SSD	WP_000361794.1	1 to 1	Borderline-SSD	YP_499559.1	1 to 1	SSD	YP_003611776
16128507	b0523	NP_415056.1	N5-carboxyaminoimidazole ribonucleotide mutase	1 to 1	RBB	WP_003899997.1	1 to 1	SSD	YP_005236237	1 to 1	SSD	WP_041787219.1	1 to 1	SSD	YP_001704347	1 to 1	SSD	NP_459529.1	1 to 1	Borderline-SSD	NP_254113.1	1 to 1	SSD	YP_001085969	1 to 1	RBB	YP_002386000	1 to 1	SSD	WP_000861572.1	1 to 1	RBB	WP_011740570.1	1 to 1	SSD	WP_003106314.1	1 to 1	SSD	WP_011725965.1	1 to 1	RBB	WP_003874531.1	1 to 1	SSD	YP_886191.1	1 to 1	SSD	WP_002303771.1	1 to 1	SSD	WP_004151322.1	1 to 1	SSD	YP_001574908	1 to 1	SSD	WP_000994663.1	1 to 1	Borderline-SSD	YP_499558.1	1 to 1	SSD	YP_003611777
16128508	b0524	NP_415057.1	"UDP-2,3-diacylglucosamine pyrophosphatase"	0	N/A		1 to 1	Borderline-SSD	YP_005236238	0	N/A		0	N/A		1 to 1	Borderline-SSD	NP_459530.1	1 to 1	SSD	NP_250483.1	1 to 1	SSD	YP_001085139	1 to 1	RBB	YP_002386001	0	N/A		0	N/A		1 to 1	RBB	WP_003113585.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_004151320.1	0	N/A		1 to 1	SSD	WP_000221672.1	0	N/A		1 to 1	SSD	YP_003611780
16128509	b0525	NP_415058.1	peptidyl-prolyl cis-trans isomerase B (rotamase B)	1 to 1	RBB	WP_003400321.1	1 to 1	SSD	YP_005236239	1 to 1	SimNSSD	WP_008262529.1	1 to 1	RBB	YP_001700781	1 to 1	SSD	NP_459531.1	1 to 1	SSD	NP_250484.1	0	N/A		1 to 1	RBB	YP_002386002	1 to 2	RBB	WP_000035058.1	1 to 1	RBB	WP_012392019.1	1 to 1	SSD	WP_003087890.1	2 to 1	RBB	WP_009974159.1	2 to 1	Non-SSD	WP_003876785.1	2 to 1	SimNSSD	YP_884444.1	2 to 2	RBB	WP_002296283.1;WP_002287167.1	1 to 1	SSD	WP_004151319.1	1 to 2	RBB	YP_001574814	1 to 1	SSD	WP_000009660.1	1 to 2	RBB	YP_499444.1	1 to 1	SSD	YP_003611781
16128510	b0526	NP_415059.1	cysteinyl-tRNA synthetase	1 to 1	RBB	WP_003900108.1	1 to 1	Borderline-SSD	YP_005236240	1 to 1	SSD	WP_026071448.1	1 to 1	SSD	YP_001701323	1 to 1	Borderline-SSD	NP_459532.1	1 to 1	SSD	NP_250486.1	1 to 1	SSD	YP_001084265	1 to 1	RBB	YP_002386003	1 to 1	SSD	WP_000631969.1	1 to 1	RBB	WP_012396602.1	1 to 1	SSD	WP_003139944.1	1 to 1	SSD	WP_009974759.1	1 to 1	SSD	WP_010948871.1	1 to 1	SSD	YP_890296.1	1 to 1	SSD	WP_002287445.1	1 to 1	SSD	WP_012737546.1	1 to 1	SSD	YP_001574428	1 to 1	SSD	WP_001182272.1	1 to 1	SSD	YP_499084.1	1 to 1	SSD	YP_003611782
16128511	b0527	NP_415060.1	"inner membrane protein, DUF457 family"	0	N/A		1 to 1	RBB	YP_005236243	0	N/A		0	N/A		1 to 1	RBB	NP_459535.1	1 to 1	RBB	NP_253649.1	0	N/A		1 to 1	RBB	YP_002386004	0	N/A		0	N/A		1 to 1	RBB	WP_003095684.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737549.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003611783
90111146	b0528	NP_415061.2	Ribosome-associated protein; predicted RNA-binding protein	0	N/A		1 to 1	Borderline-SSD	YP_005236244	0	N/A		0	N/A		1 to 1	Borderline-SSD	NP_459536.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386005	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_887485.1	0	N/A		1 to 1	SSD	WP_012737550.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003611786
16128513	b0529	NP_415062.1	"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase"	1 to 1	RBB	WP_003417751.1	1 to 1	SSD	YP_005236245	1 to 1	SSD	WP_009954119.1	1 to 1	SSD	YP_001704420	1 to 1	SSD	NP_459537.1	1 to 1	SSD	NP_250487.1	1 to 1	SSD	YP_001085692	1 to 1	RBB	YP_002386006	1 to 1	RBB	WP_000225836.1	1 to 1	RBB	WP_012393057.1	1 to 1	SSD	WP_003087898.1	1 to 1	SSD	WP_011726002.1	1 to 1	SSD	WP_003874457.1	1 to 1	SSD	YP_886023.1	1 to 1	SSD	WP_002286660.1	1 to 1	SSD	WP_004143017.1	1 to 1	RBB	YP_001574907	1 to 1	Borderline-SSD	WP_001229850.1	1 to 1	SSD	YP_499557.1	1 to 1	SSD	YP_003611787
90111147	b0530	NP_415063.4	predicted fimbrial-like adhesin protein	0	N/A		1 to 1	RBB	YP_005236248	0	N/A		0	N/A		1 to 1	RBB	NP_459538.3	0	N/A		0	N/A		1 to 1	RBB	YP_002386007	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003611788
16128515	b0531	NP_415064.1	"pilin chaperone, periplasmic"	0	N/A		1 to 1	RBB	YP_005236250	0	N/A		0	N/A		1 to 1	RBB	NP_459540.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386008	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003611790
16128516	b0532	NP_415065.1	predicted outer membrane export usher protein	0	N/A		1 to 1	RBB	YP_005236251	0	N/A		0	N/A		1 to 1	RBB	NP_459541.1	1 to 4	RBB	NP_249685.1	0	N/A		1 to 1	RBB	YP_002386009	0	N/A		0	N/A		1 to 4	RBB	WP_003134047.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003611791
145698227	b0533	NP_415066.2	predicted fimbrial-like adhesin protein	0	N/A		1 to 1	RBB	YP_005236252	0	N/A		0	N/A		1 to 1	RBB	NP_459542.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386010	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003611792
16128518	b0534	NP_415067.1	predicted fimbrial-like adhesin protein	0	N/A		1 to 1	RBB	YP_005236253	0	N/A		0	N/A		1 to 1	RBB	NP_459543.1	1 to 1	RBB	NP_253971.1	0	N/A		1 to 1	RBB	YP_002386011	0	N/A		0	N/A		1 to 1	RBB	WP_003096438.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_004145710.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003611793
16128519	b0535	NP_415068.1	predicted DNA-binding transcriptional regulator	0	N/A		1 to 1	RBB	YP_005236254	0	N/A		0	N/A		1 to 1	RBB	NP_459544.1	2 to 1	RBB	NP_252637.1;NP_248724.1	0	N/A		1 to 1	RBB	YP_002386012	0	N/A		0	N/A		2 to 1	RBB	WP_003111192.1;WP_003093094.1	2 to 1	RBB	WP_011725884.1	2 to 1	RBB	WP_003874665.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003611794
16128520	b0537	NP_415069.1	DLP12 prophage; predicted integrase	0	N/A		1 to 1	SSD	YP_005236259	0	N/A		0	N/A		1 to 1	RBB	NP_459548.1	1 to 1	RBB	NP_249419.1	1 to 1	RBB	YP_001084609	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003611797
226524703	b0540	NP_415072.2	IS3 transposase A	0	N/A		1 to 5	RBB	YP_005238851	4 to 5	RBB	WP_014378897.1	0	N/A		1 to 5	RBB	NP_461695.1	0	N/A		0	N/A		1 to 5	RBB	YP_002387469	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		5 to 8	RBB	YP_003610905;YP_003612634;YP_003613202;YP_003613265;YP_003613422;YP_003613971;YP_003614073;YP_003614685
16128524	b0541	NP_415073.1	IS3 transposase B	16 to 6	RBB	WP_003899492.1	1 to 5	Non-SSD	YP_005238852	3 to 6	RBB	YP_005336907;WP_014379479.1;WP_036397524.1	1 to 6	SSD	YP_001702823	1 to 5	Non-SSD	NP_461696.1	2 to 6	RBB	NP_249669.1;NP_250628.1	1 to 6	RBB	YP_001083709	1 to 5	RBB	YP_002387468	1 to 6	RBB	WP_000323575.1	1 to 6	RBB	WP_041325384.1	2 to 6	RBB	WP_023443521.1;WP_003137178.1	5 to 14	RBB	WP_024637908.1;WP_011724296.1;YP_881108.1;WP_011725351.1	6 to 1	RBB	WP_003878328.1	5 to 4	RBB	YP_885640.1;YP_888371.1;YP_888387.1;YP_891089.1	0	N/A		1 to 5	RBB	YP_006635470	0	N/A		0	N/A		0	N/A		5 to 7	RBB	YP_003610904;YP_003613201;YP_003613264;YP_003613421;YP_003613970;YP_003614074;YP_003614686
16128526	b0543	NP_415075.1	DLP12 prophage; multidrug resistance protein	1 to 1	RBB	WP_003415995.1	1 to 1	RBB	YP_005237565	1 to 1	SSD	WP_041787211.1	0	N/A		1 to 1	RBB	NP_460612.1	1 to 1	RBB	NP_253677.1	1 to 1	RBB	YP_001085323	0	N/A		0	N/A		1 to 1	RBB	WP_012393445.1	1 to 1	Borderline-SSD	WP_003095735.1	1 to 1	RBB	WP_003874907.1	1 to 1	RBB	WP_003874907.1	1 to 2	RBB	YP_887973.1;YP_887974.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_000121131.1	0	N/A		0	N/A	
16128527	b0544	NP_415076.1	DLP12 prophage; predicted recombinase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003138396.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	Non-SSD	YP_003612776
16128528	b0545	NP_415077.1	"DLP12 prophage; secreted protein, UPF0098 family"	1 to 2	RBB	WP_003411119.1	1 to 1	Borderline-SSD	YP_005236815	1 to 2	RBB	WP_014380005.1	1 to 2	RBB	YP_001702838	1 to 1	Borderline-SSD	NP_460055.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_000700882.1	1 to 2	RBB	WP_011740352.1	0	N/A		2 to 1	RBB	WP_003872213.1	2 to 1	RBB	WP_003872213.1	2 to 1	SSD	YP_888478.1	0	N/A		1 to 1	RBB	WP_014907882.1	0	N/A		0	N/A		1 to 1	RBB	YP_499470.1	0	N/A	
16128529	b0546	NP_415078.1	DLP12 prophage; predicted DNA-binding transcriptional regulator	0	N/A		1 to 1	Non-SSD	YP_005236816	0	N/A		1 to 1	RBB	YP_001704351	1 to 1	Non-SSD	NP_460056.1	0	N/A		1 to 1	RBB	YP_001086246	0	N/A		0	N/A		1 to 1	RBB	WP_012396784.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	WP_004141625.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128530	b0547	NP_415079.1	DLP12 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002386233	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128531	b0548	NP_415080.1	DLP12 prophage; conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002386234	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003611825
16128532	b0549	NP_415081.1	DLP12 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002386235	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128533	b0550	NP_415082.1	DLP12 prophage; endonuclease RUS	0	N/A		1 to 1	RBB	YP_005238012	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002386236	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_001242985.1	0	N/A		0	N/A	
