Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Lactobacillus rhamnosus GG NC_013198 - ortholog count (reference : comparison)	Lactobacillus rhamnosus GG NC_013198 - ortholuge status	Lactobacillus rhamnosus GG NC_013198 - ortholog NCBI RefSeq accession	Eubacterium rectale ATCC 33656 - ortholog count (reference : comparison)	Eubacterium rectale ATCC 33656 - ortholuge status	Eubacterium rectale ATCC 33656 - ortholog NCBI RefSeq accession	Bacteroides vulgatus ATCC 8482 - ortholog count (reference : comparison)	Bacteroides vulgatus ATCC 8482 - ortholuge status	Bacteroides vulgatus ATCC 8482 - ortholog NCBI RefSeq accession	Eubacterium eligens ATCC 27750 - ortholog count (reference : comparison)	Eubacterium eligens ATCC 27750 - ortholuge status	Eubacterium eligens ATCC 27750 - ortholog NCBI RefSeq accession
16128069	b0075	NP_414617.1	leu operon leader peptide	0	N/A		0	N/A		0	N/A		0	N/A	
90111083	b0076	NP_414618.4	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A		0	N/A	
90111084	b0077	YP_025294.2	acetolactate synthase III, large subunit	1 to 2	RBB	WP_005686061.1	2 to 1	RBB	WP_012742109.1;WP_012742717.1	1 to 1	SSD	WP_011965645.1	1 to 1	RBB	WP_012739007.1
16128071	b0078	NP_414620.1	acetolactate synthase III, thiamin-dependent, small subunit	0	N/A		1 to 1	SSD	WP_012742839.1	1 to 1	SSD	WP_005847237.1	1 to 1	RBB	WP_012739604.1
16128073	b0080	NP_414622.1	DNA-binding transcriptional dual regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16128074	b0081	NP_414623.1	conserved protein, MraZ family	1 to 1	RBB	WP_005685573.1	1 to 1	RBB	WP_041254125.1	1 to 1	RBB	WP_005845333.1	1 to 1	RBB	WP_041688510.1
16128075	b0082	NP_414624.1	16S rRNA m(4)C1402 methyltranserfase, SAM-dependent	1 to 1	RBB	WP_014569582.1	1 to 1	RBB	WP_012743088.1	1 to 1	RBB	WP_005845329.1	1 to 1	RBB	WP_041688008.1
16128076	b0083	NP_414625.1	membrane bound cell division protein at septum containing leucine zipper motif	0	N/A		0	N/A		0	N/A		0	N/A	
16128077	b0084	NP_414626.1	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	1 to 1	RBB	WP_014569584.1	2 to 1	RBB	WP_041254623.1;WP_041254124.1	0	N/A		2 to 1	RBB	WP_041688514.1;WP_012738973.1
16128078	b0085	NP_414627.1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase	1 to 1	RBB	WP_005685323.1	1 to 1	RBB	WP_041253998.1	1 to 1	RBB	WP_005845321.1	1 to 1	RBB	WP_012738957.1
16128079	b0086	NP_414628.1	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase	1 to 1	RBB	WP_015765066.1	1 to 1	RBB	WP_041254671.1	1 to 1	RBB	WP_005840702.1	1 to 1	RBB	WP_012738855.1
16128080	b0087	NP_414629.1	phospho-N-acetylmuramoyl-pentapeptide transferase	1 to 1	RBB	WP_014569585.1	1 to 1	RBB	WP_012742178.1	1 to 1	RBB	WP_011965168.1	1 to 1	RBB	WP_012740259.1
16128081	b0088	NP_414630.1	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	1 to 1	RBB	WP_014569586.1	1 to 1	RBB	WP_041254122.1	1 to 1	RBB	WP_011965167.1	1 to 1	RBB	WP_012738974.1
16128082	b0089	NP_414631.1	integral membrane protein involved in stabilizing FstZ ring during cell division	1 to 1	RBB	WP_005715717.1	1 to 1	RBB	WP_012743083.1	0	N/A		0	N/A	
16128083	b0090	NP_414632.1	N-acetylglucosaminyl transferase	1 to 1	RBB	WP_014569587.1	1 to 1	RBB	WP_012740983.1	1 to 1	RBB	WP_005845311.1	1 to 1	RBB	WP_012738327.1
16128084	b0091	NP_414633.1	UDP-N-acetylmuramate:L-alanine ligase	1 to 1	RBB	WP_015764975.1	1 to 1	RBB	WP_012741358.1	1 to 1	RBB	WP_005845309.1	1 to 1	RBB	WP_012740140.1
16128085	b0092	NP_414634.1	D-alanine:D-alanine ligase	1 to 2	RBB	WP_014568966.1	1 to 2	RBB	WP_015516048.1	1 to 2	RBB	WP_005845987.1	1 to 1	RBB	WP_041687980.1
16128086	b0093	NP_414635.1	Divisome assembly protein, membrane anchored protein involved in growth of wall at septum	0	N/A		0	N/A		0	N/A		0	N/A	
16128087	b0094	NP_414636.1	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	1 to 1	RBB	WP_014569588.1	1 to 1	RBB	WP_041254008.1	1 to 1	RBB	WP_005845303.1	1 to 1	RBB	WP_012739306.1
16128088	b0095	NP_414637.1	GTP-binding tubulin-like cell division protein	1 to 1	RBB	WP_005685582.1	1 to 1	SSD	WP_012743081.1	1 to 1	SSD	WP_005845300.1	1 to 1	RBB	WP_041688009.1
16128089	b0096	NP_414638.1	UDP-3-O-acyl N-acetylglucosamine deacetylase	0	N/A		0	N/A		1 to 1	RBB	WP_005851058.1	0	N/A	
90111085	b0097	NP_414639.2	regulator of secA translation	0	N/A		0	N/A		0	N/A		0	N/A	
16128091	b0098	NP_414640.1	preprotein translocase subunit, ATPase	1 to 1	RBB	WP_005684487.1	1 to 1	RBB	WP_012743547.1	1 to 1	RBB	WP_005848202.1	1 to 1	RBB	WP_041687905.1
16128092	b0099	NP_414641.1	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP	1 to 1	RBB	WP_015765020.1	1 to 1	RBB	WP_012741097.1	0	N/A		0	N/A	
16128094	b0101	NP_414643.1	DNA gyrase inhibitor	0	N/A		0	N/A		0	N/A		0	N/A	
16128095	b0102	NP_414644.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128096	b0103	NP_414645.1	dephospho-CoA kinase	1 to 1	RBB	WP_014569729.1	1 to 1	RBB	WP_012742404.1	1 to 1	RBB	WP_012055912.1	1 to 1	RBB	WP_012739307.1
16128097	b0104	NP_414646.1	GMP reductase	1 to 1	RBB	WP_032953750.1	0	N/A		0	N/A		0	N/A	
16128099	b0106	NP_414648.1	assembly protein in type IV pilin biogenesis, transmembrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128100	b0107	NP_414649.1	conserved protein with nucleoside triphosphate hydrolase domain	1 to 2	RBB	WP_014569396.1	0	N/A		0	N/A		0	N/A	
16128101	b0108	NP_414650.1	predicted major pilin subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16128102	b0109	NP_414651.1	quinolinate phosphoribosyltransferase	0	N/A		1 to 1	SSD	WP_012741898.1	1 to 1	SSD	WP_005848499.1	1 to 1	RBB	WP_012739657.1
16128103	b0110	NP_414652.1	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	0	N/A		0	N/A		0	N/A		0	N/A	
16128104	b0111	NP_414653.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128105	b0112	NP_414654.1	aromatic amino acid transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16128106	b0113	NP_414655.1	DNA-binding transcriptional dual regulator	0	N/A		1 to 4	RBB	WP_012741421.1	0	N/A		1 to 5	RBB	WP_012738691.1
16128107	b0114	NP_414656.1	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding	0	N/A		0	N/A		0	N/A		0	N/A	
16128108	b0115	NP_414657.1	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	0	N/A		0	N/A		0	N/A		0	N/A	
16128109	b0116	NP_414658.1	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	1 to 1	RBB	WP_014569609.1	0	N/A		1 to 1	RBB	WP_005844130.1	0	N/A	
16128110	b0117	NP_414659.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128111	b0118	NP_414660.1	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	0	N/A		0	N/A		0	N/A		0	N/A	
90111086	b0119	NP_414661.2	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128113	b0120	NP_414662.1	S-adenosylmethionine decarboxylase	0	N/A		0	N/A		0	N/A		0	N/A	
16128114	b0121	NP_414663.1	spermidine synthase (putrescine aminopropyltransferase)	0	N/A		1 to 1	RBB	WP_012744095.1	0	N/A		1 to 1	RBB	WP_012739653.1
90111087	b0122	NP_414664.4	conserved protein, PulS_OutS family	0	N/A		0	N/A		0	N/A		0	N/A	
16128116	b0123	NP_414665.1	multicopper oxidase (laccase)	1 to 1	RBB	WP_015765053.1	0	N/A		0	N/A		0	N/A	
16128117	b0124	NP_414666.1	glucose dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A	
90111088	b0125	NP_414667.4	hypoxanthine phosphoribosyltransferase	1 to 1	RBB	WP_024129392.1	1 to 1	RBB	WP_012741442.1	1 to 1	RBB	WP_011965263.1	1 to 1	RBB	WP_012740090.1
16128119	b0126	NP_414668.1	carbonic anhydrase	0	N/A		0	N/A		0	N/A		0	N/A	
16128120	b0127	NP_414669.1	predicted transporter subunit: ATP-binding component of ABC superfamily	1 to 1	RBB	WP_005716755.1	1 to 1	RBB	WP_012741137.1	0	N/A		1 to 3	RBB	WP_012739743.1
16128121	b0128	NP_414670.1	predicted transporter subunit: membrane component of ABC superfamily	0	N/A		0	N/A		0	N/A		0	N/A	
16128122	b0129	NP_414671.1	predicted PTS Enzyme IIA	0	N/A		0	N/A		0	N/A		0	N/A	
16128123	b0130	NP_414672.1	predicted polysaccharide deacetylase lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A	
16128124	b0131	NP_414673.1	aspartate 1-decarboxylase	0	N/A		1 to 1	RBB	WP_012743323.1	1 to 1	RBB	WP_005843461.1	0	N/A	
16128125	b0132	NP_414674.1	predicted transposase	0	N/A		0	N/A		0	N/A		0	N/A	
16128126	b0133	NP_414675.1	pantothenate synthetase	0	N/A		1 to 1	RBB	WP_015517324.1	1 to 1	RBB	WP_005843459.1	0	N/A	
16128127	b0134	NP_414676.1	3-methyl-2-oxobutanoate hydroxymethyltransferase	0	N/A		1 to 1	SSD	WP_041254165.1	1 to 1	SSD	WP_005843276.1	0	N/A	
16128128	b0135	NP_414677.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128129	b0136	NP_414678.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128130	b0137	NP_414679.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111089	b0138	NP_414680.4	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128132	b0139	NP_414681.1	predicted outer membrane usher protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128133	b0140	NP_414682.1	predicted periplasmic pilin chaperone	0	N/A		0	N/A		0	N/A		0	N/A	
16128134	b0141	NP_414683.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128135	b0142	NP_414684.1	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	0	N/A		0	N/A		1 to 1	RBB	WP_005844011.1	0	N/A	
162135892	b0143	NP_414685.4	poly(A) polymerase I	1 to 1	RBB	WP_014569633.1	1 to 1	RBB	WP_012741432.1	0	N/A		1 to 1	RBB	WP_041688360.1
226524698	b0144	NP_414686.3	glutamyl-Q tRNA(Asp) synthetase	0	N/A		0	N/A		0	N/A		0	N/A	
16128138	b0145	NP_414687.1	DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128139	b0146	NP_414688.1	predicted DNA-binding transcriptional regulator	1 to 1	RBB	WP_014569934.1	1 to 1	RBB	WP_041254297.1	0	N/A		0	N/A	
90111091	b0147	NP_414689.4	2'-5' RNA ligase	0	N/A		0	N/A		0	N/A		0	N/A	
162135893	b0148	NP_414690.4	predicted ATP-dependent helicase	0	N/A		0	N/A		0	N/A		0	N/A	
16128142	b0149	NP_414691.1	fused glycosyl transferase and transpeptidase	2 to 1	RBB	WP_005685469.1;WP_015764954.1	0	N/A		0	N/A		1 to 1	RBB	WP_041688827.1
16128143	b0150	NP_414692.1	ferrichrome outer membrane transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16128144	b0151	NP_414693.1	iron-hydroxamate transporter subunit	1 to 3	RBB	WP_005711178.1	1 to 3	RBB	WP_012742768.1	1 to 3	RBB	WP_012055535.1	0	N/A	
16128145	b0152	NP_414694.1	iron-hydroxamate transporter subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16128146	b0153	NP_414695.1	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components	0	N/A		0	N/A		0	N/A		1 to 5	RBB	WP_041688695.1
16128147	b0154	NP_414696.1	glutamate-1-semialdehyde aminotransferase (aminomutase)	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012738990.1
16128148	b0155	NP_414697.1	chloride channel, voltage-gated	2 to 1	RBB	WP_029944056.1;WP_005713679.1	0	N/A		1 to 1	RBB	WP_011965599.1	0	N/A	
16128149	b0156	NP_414698.1	iron-sulfur cluster insertion protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128150	b0157	NP_414699.1	inner membrane protein, UPF0126 family	0	N/A		0	N/A		1 to 1	RBB	WP_005841975.1	0	N/A	
16128151	b0158	NP_414700.1	vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012739725.1
16128152	b0159	NP_414701.1	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	1 to 1	RBB	WP_032953768.1	1 to 1	RBB	WP_012743421.1	1 to 1	RBB	WP_005844442.1	1 to 1	RBB	WP_012738330.1
16128153	b0160	NP_414702.1	deoxyguanosine triphosphate triphosphohydrolase	0	N/A		1 to 1	RBB	WP_012743187.1	1 to 1	RBB	WP_011965169.1	1 to 1	RBB	WP_012738924.1
16128154	b0161	NP_414703.1	serine endoprotease (protease Do), membrane-associated	1 to 3	RBB	WP_005690646.1	1 to 3	RBB	WP_012743428.1	1 to 2	RBB	WP_005843252.1	1 to 3	RBB	WP_041688739.1
90111093	b0162	NP_414704.4	DNA-binding transcriptional regulator for gar and gud operons; carbohydrate diacid regulator	1 to 1	RBB	WP_014569273.1	2 to 1	RBB	WP_012743115.1;WP_012741615.1	0	N/A		1 to 1	RBB	WP_041688628.1
16128156	b0163	NP_414705.1	conserved protein, UPF0325 family	0	N/A		0	N/A		0	N/A		0	N/A	
90111094	b0164	NP_414706.2	phosphodiesterase with model substrate bis-pNPP	0	N/A		2 to 1	RBB	WP_012741662.1	1 to 1	RBB	WP_005839213.1	0	N/A	
16128159	b0166	NP_414708.1	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	1 to 1	RBB	WP_014568949.1	0	N/A		0	N/A		0	N/A	
16128160	b0167	NP_414709.1	uridylyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
16128161	b0168	NP_414710.1	methionine aminopeptidase	1 to 1	RBB	WP_005685788.1	1 to 1	SSD	WP_012741347.1	1 to 1	RBB	WP_005852479.1	2 to 1	RBB	WP_012739624.1;WP_012738761.1
16128162	b0169	NP_414711.1	30S ribosomal subunit protein S2	1 to 1	RBB	WP_005684326.1	1 to 1	SSD	WP_015516402.1	1 to 1	SSD	WP_005839199.1	1 to 1	RBB	WP_022097321.1
16128163	b0170	NP_414712.1	protein chain elongation factor EF-Ts	1 to 1	RBB	WP_005684325.1	1 to 1	RBB	WP_012742616.1	1 to 1	RBB	WP_005839201.1	1 to 1	RBB	WP_012739090.1
