Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog count (reference : comparison)	Mycobacterium avium subsp. paratuberculosis K-10 - ortholuge status	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus N315 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus N315 - ortholuge status	Staphylococcus aureus subsp. aureus N315 - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Mycobacterium abscessus ATCC 19977 - ortholog count (reference : comparison)	Mycobacterium abscessus ATCC 19977 - ortholuge status	Mycobacterium abscessus ATCC 19977 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Mycobacterium intracellulare ATCC 13950 - ortholog count (reference : comparison)	Mycobacterium intracellulare ATCC 13950 - ortholuge status	Mycobacterium intracellulare ATCC 13950 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Mycobacterium marinum M - ortholog count (reference : comparison)	Mycobacterium marinum M - ortholuge status	Mycobacterium marinum M - ortholog NCBI RefSeq accession	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog count (reference : comparison)	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholuge status	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Mycobacterium avium 104 - ortholog count (reference : comparison)	Mycobacterium avium 104 - ortholuge status	Mycobacterium avium 104 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholuge status	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholuge status	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog NCBI RefSeq accession	Acinetobacter baumannii AYE - ortholog count (reference : comparison)	Acinetobacter baumannii AYE - ortholuge status	Acinetobacter baumannii AYE - ortholog NCBI RefSeq accession	Enterococcus faecium Aus0004 - ortholog count (reference : comparison)	Enterococcus faecium Aus0004 - ortholuge status	Enterococcus faecium Aus0004 - ortholog NCBI RefSeq accession
397671800	RVBD_0020c	WP_003912368.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003876793.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001700795	0	N/A		0	N/A		1 to 1	SSD	WP_014378754.1	1 to 1	RBB	YP_001083349	1 to 1	SSD	WP_012392029.1	1 to 1	SSD	YP_884455.1	0	N/A		1 to 1	SSD	WP_011723289.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_000219967.1	0	N/A	
397671801	RVBD_0021c	WP_003899778.1	nitronate monooxygenase	0	N/A		1 to 1	Non-SSD	WP_010949705.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001700913	0	N/A		0	N/A		1 to 1	SSD	WP_009955985.1	0	N/A		1 to 1	SSD	WP_012393535.1	1 to 1	RBB	YP_886037.1	0	N/A		1 to 1	SSD	WP_033722688.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671802	RVBD_0022c	WP_003400388.1	transcriptional regulator whib-like whiB5	0	N/A		1 to 1	RBB	WP_003875499.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_008262579.1	0	N/A		1 to 1	RBB	WP_012392048.1	0	N/A		0	N/A		1 to 1	RBB	WP_009974199.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671803	RVBD_0023	WP_003400391.1	transcriptional regulator	1 to 1	RBB	YP_005237510	1 to 1	RBB	WP_010948703.1	0	N/A		1 to 1	RBB	NP_415951.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_460564.1	1 to 1	RBB	WP_009952746.1	0	N/A		1 to 1	RBB	WP_012392049.1	0	N/A		1 to 1	RBB	YP_002386873	1 to 1	RBB	WP_011723303.1	1 to 1	RBB	WP_002907473.1	0	N/A		0	N/A		0	N/A		0	N/A	
397671804	RVBD_0024	WP_003400393.1	secreted protein	0	N/A		1 to 1	RBB	WP_003874765.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_009952741.1	0	N/A		1 to 1	RBB	WP_012392050.1	0	N/A		0	N/A		1 to 1	RBB	WP_011723304.1	1 to 3	RBB	WP_004151204.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_002286297.1
397671805	RVBD_0025	WP_003400395.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_010948704.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_009952739.1	0	N/A		1 to 1	RBB	WP_012392051.1	0	N/A		0	N/A		1 to 1	RBB	WP_011723305.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671806	RVBD_0026	WP_003901770.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_003874763.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_009952737.1	0	N/A		1 to 1	RBB	WP_012392052.1	0	N/A		0	N/A		1 to 1	RBB	WP_011723306.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671807	RVBD_0027	WP_003400401.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_003874762.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_009952736.1	0	N/A		1 to 1	RBB	WP_012392053.1	0	N/A		0	N/A		1 to 1	RBB	WP_003874762.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671808	RVBD_0028	WP_003400405.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_003874761.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_008262605.1	0	N/A		1 to 1	RBB	WP_012392054.1	0	N/A		0	N/A		1 to 1	RBB	WP_009974204.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671809	RVBD_0029	WP_003400411.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_010948705.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_014378760.1	0	N/A		1 to 1	RBB	WP_012392055.1	0	N/A		0	N/A		1 to 1	RBB	WP_011723309.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671810	RVBD_0030	WP_003400413.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_009974208.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_009952730.1	0	N/A		1 to 1	RBB	WP_020727580.1	0	N/A		0	N/A		1 to 1	RBB	WP_009974208.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671811	RVBD_0031	WP_003900791.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671812	RVBD_0032	WP_003905217.1	8-amino-7-oxononanoate synthase	1 to 2	RBB	YP_005236514;YP_005239950	0	N/A		1 to 1	RBB	WP_000250823.1	1 to 2	RBB	NP_415297.1;NP_418074.1	1 to 1	RBB	NP_249192.1	0	N/A		1 to 1	RBB	WP_003084826.1	1 to 2	RBB	NP_459773.1;NP_462609.1	0	N/A		2 to 1	SSD	YP_001083847	1 to 1	RBB	WP_012396497.1	0	N/A		1 to 1	RBB	YP_002388465	0	N/A		2 to 1	RBB	WP_002922462.1;WP_014907917.1	1 to 1	RBB	YP_001574448	1 to 1	RBB	YP_499104.1	1 to 1	RBB	WP_000054321.1	1 to 1	RBB	WP_002289186.1
397671813	RVBD_0033	WP_003400418.1	acyl carrier protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388464	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_002287614.1
397671814	RVBD_0034	WP_003400421.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671815	RVBD_0035	WP_003400425.1	fatty-acid-CoA ligase FadD34	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671816	RVBD_0036c	WP_003400427.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003876808.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001705652	0	N/A		0	N/A		1 to 1	Borderline-SSD	WP_009952728.1	0	N/A		1 to 1	SSD	WP_012392058.1	1 to 1	SSD	YP_891118.1	0	N/A		1 to 1	SSD	WP_011723310.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671817	RVBD_0037c	WP_003912503.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003876809.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001705651	0	N/A		0	N/A		1 to 1	SSD	WP_009952725.1	0	N/A		1 to 1	SSD	WP_036456845.1	1 to 1	SSD	YP_891117.1	0	N/A		1 to 1	SSD	WP_033722231.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
