Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Streptococcus pneumoniae D39 - ortholog count (reference : comparison)	Streptococcus pneumoniae D39 - ortholuge status	Streptococcus pneumoniae D39 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus str. Newman - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus str. Newman - ortholuge status	Staphylococcus aureus subsp. aureus str. Newman - ortholog NCBI RefSeq accession	Bacillus subtilis subsp. subtilis str. 168 - ortholog count (reference : comparison)	Bacillus subtilis subsp. subtilis str. 168 - ortholuge status	Bacillus subtilis subsp. subtilis str. 168 - ortholog NCBI RefSeq accession
16128017	b0023	NP_414564.1	30S ribosomal subunit protein S20	1 to 1	SSD	YP_816224.1	1 to 1	RBB	WP_001274017.1	1 to 1	SSD	NP_390433.2
16128018	b0024	NP_414565.1	predicted protein	0	N/A		0	N/A		0	N/A	
16128019	b0025	NP_414566.1	bifunctional riboflavin kinase/FAD synthetase	1 to 1	SSD	YP_816469.1	1 to 1	RBB	WP_000864185.1	1 to 1	SSD	NP_389549.1
16128020	b0026	NP_414567.1	isoleucyl-tRNA synthetase	1 to 1	SSD	YP_816928.1	1 to 1	SSD	WP_000384691.1	1 to 1	SSD	NP_389426.2
16128021	b0027	NP_414568.1	prolipoprotein signal peptidase (signal peptidase II)	1 to 1	RBB	YP_816302.1	1 to 1	RBB	WP_000549207.1	1 to 1	RBB	NP_389428.1
16128022	b0028	NP_414569.1	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	0	N/A		0	N/A		0	N/A	
16128023	b0029	NP_414570.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein	0	N/A		0	N/A		1 to 1	Borderline-SSD	NP_390395.2
16128024	b0030	NP_414571.1	ribonucleoside hydrolase 3	0	N/A		0	N/A		0	N/A	
16128025	b0031	NP_414572.1	dihydrodipicolinate reductase	1 to 1	Non-SSD	YP_816847.1	1 to 1	SSD	WP_000698235.1	1 to 1	Borderline-SSD	NP_390130.1
16128026	b0032	NP_414573.1	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	1 to 1	SSD	YP_816601.1	1 to 1	SSD	WP_001190913.1	1 to 2	RBB	NP_389005.2;NP_389434.1
16128027	b0033	NP_414574.1	carbamoyl-phosphate synthase large subunit	1 to 1	SSD	YP_816600.1	1 to 1	SSD	WP_001126264.1	1 to 1	Borderline-SSD	NP_389435.1
90111079	b0034	NP_414576.4	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A	
90111080	b0035	NP_414577.2	stimulator of CaiD and CaiB enzyme activities	0	N/A		0	N/A		0	N/A	
221800779	b0036	NP_414578.2	carnitinyl-CoA dehydratase	0	N/A		0	N/A		0	N/A	
221800780	b0037	NP_414579.4	probable crotonobetaine/carnitine-CoA ligase	0	N/A		0	N/A		0	N/A	
16128032	b0038	NP_414580.1	crotonobetainyl CoA:carnitine CoA transferase	0	N/A		0	N/A		0	N/A	
16128033	b0039	NP_414581.1	crotonobetaine reductase subunit II, FAD-binding	0	N/A		1 to 2	RBB	WP_000142189.1	1 to 1	RBB	NP_390295.2
16128034	b0040	NP_414582.1	predicted transporter	0	N/A		0	N/A		0	N/A	
90111081	b0041	NP_414583.2	predicted electron transfer flavoprotein subunit, required for anaerobic carnitine reduction	0	N/A		0	N/A		2 to 1	RBB	NP_390731.1
16128036	b0042	NP_414584.1	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	0	N/A		0	N/A		2 to 1	RBB	NP_390730.1
16128037	b0043	NP_414585.1	predicted oxidoreductase with FAD/NAD(P)-binding domain	0	N/A		0	N/A		0	N/A	
16128038	b0044	NP_414586.1	predicted 4Fe-4S ferredoxin-type protein	0	N/A		0	N/A		0	N/A	
16128039	b0045	NP_414587.1	predicted transporter	0	N/A		0	N/A		0	N/A	
16128040	b0046	NP_414588.1	flavoprotein subunit for the KefC potassium efflux system	0	N/A		0	N/A		0	N/A	
16128041	b0047	NP_414589.1	potassium:proton antiporter	0	N/A		0	N/A		0	N/A	
16128042	b0048	NP_414590.1	dihydrofolate reductase	1 to 1	RBB	YP_816861.1	1 to 1	RBB	WP_000175746.1	1 to 1	SSD	NP_390064.1
16128043	b0049	NP_414591.1	diadenosine tetraphosphatase	0	N/A		0	N/A		1 to 1	SSD	NP_389045.1
16128044	b0050	NP_414592.1	protein associated with Co2+ and Mg2+ efflux	0	N/A		0	N/A		0	N/A	
16128045	b0051	NP_414593.1	16S rRNA dimethyladenosine transferase, SAM-dependent	1 to 1	SSD	YP_817204.1	1 to 1	SSD	WP_041174164.1	1 to 1	SSD	NP_387923.1
16128046	b0052	NP_414594.1	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	0	N/A		0	N/A		0	N/A	
16128047	b0053	NP_414595.1	peptidyl-prolyl cis-trans isomerase (PPIase)	0	N/A		1 to 1	RBB	WP_000782121.1	0	N/A	
16128048	b0054	NP_414596.1	LPS assembly OM complex LptDE, beta-barrel component	0	N/A		0	N/A		0	N/A	
16128049	b0055	NP_414597.1	DnaJ-like protein, membrane anchored	0	N/A		0	N/A		0	N/A	
16128052	b0058	NP_414600.1	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	0	N/A		0	N/A		0	N/A	
16128053	b0059	NP_414601.1	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	0	N/A		0	N/A		1 to 1	RBB	NP_390338.1
16128054	b0060	NP_414602.1	DNA polymerase II	0	N/A		0	N/A		0	N/A	
16128055	b0061	NP_414603.1	L-ribulose-5-phosphate 4-epimerase	1 to 3	RBB	YP_817249.1	0	N/A		3 to 1	RBB	NP_390756.1
16128056	b0062	NP_414604.1	L-arabinose isomerase	0	N/A		0	N/A		1 to 1	RBB	NP_390758.2
16128057	b0063	NP_414605.1	L-ribulokinase	0	N/A		1 to 1	RBB	WP_000122340.1	1 to 1	Borderline-SSD	NP_390757.1
16128058	b0064	NP_414606.1	DNA-binding transcriptional dual regulator	1 to 1	RBB	YP_816073.1	1 to 1	RBB	WP_001188494.1	0	N/A	
16128059	b0065	NP_414607.1	inner membrane protein, SNARE_assoc family	0	N/A		0	N/A		0	N/A	
16128060	b0066	NP_414608.1	thiamin transporter subunit	0	N/A		0	N/A		0	N/A	
16128061	b0067	NP_414609.1	fused thiamin transporter subunits of ABC superfamily: membrane components	0	N/A		0	N/A		0	N/A	
16128062	b0068	NP_414610.1	thiamin transporter subunit	0	N/A		0	N/A		0	N/A	
16128063	b0069	NP_414611.1	transcriptional DNA-binding transcriptional activator of sgrS sRNA	0	N/A		0	N/A		2 to 1	RBB	NP_388940.1
49175994	b0070	YP_025293.1	broad specificity sugar efflux system	0	N/A		1 to 3	RBB	WP_000367064.1	0	N/A	
16128065	b0071	NP_414613.1	3-isopropylmalate dehydratase small subunit	1 to 1	SSD	YP_816583.1	1 to 1	RBB	WP_000718955.1	1 to 1	SSD	NP_390703.1
16128066	b0072	NP_414614.1	3-isopropylmalate dehydratase large subunit	0	N/A		1 to 1	SSD	WP_000531823.1	1 to 1	SSD	NP_390704.1
90111082	b0073	NP_414615.4	3-isopropylmalate dehydrogenase, NAD(+)-dependent	1 to 1	RBB	YP_816585.1	1 to 1	RBB	WP_000221958.1	1 to 1	SSD	NP_390705.2
16128068	b0074	NP_414616.1	2-isopropylmalate synthase	0	N/A		1 to 1	SSD	WP_000094576.1	1 to 1	SSD	NP_390706.1
16128069	b0075	NP_414617.1	leu operon leader peptide	0	N/A		0	N/A		0	N/A	
90111083	b0076	NP_414618.4	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A	
90111084	b0077	YP_025294.2	acetolactate synthase III, large subunit	1 to 1	SSD	YP_815914.1	1 to 1	SSD	WP_000047820.1	1 to 1	RBB	NP_390709.1
16128071	b0078	NP_414620.1	acetolactate synthase III, thiamin-dependent, small subunit	1 to 1	SSD	YP_815915.1	0	N/A		1 to 1	SSD	NP_390708.2
16128073	b0080	NP_414622.1	DNA-binding transcriptional dual regulator	0	N/A		0	N/A		0	N/A	
16128074	b0081	NP_414623.1	conserved protein, MraZ family	0	N/A		1 to 1	RBB	WP_000480800.1	1 to 1	RBB	NP_389396.1
16128075	b0082	NP_414624.1	16S rRNA m(4)C1402 methyltranserfase, SAM-dependent	1 to 1	SSD	YP_815821.1	1 to 1	RBB	WP_000468389.1	1 to 1	SSD	NP_389397.1
16128076	b0083	NP_414625.1	membrane bound cell division protein at septum containing leucine zipper motif	0	N/A		0	N/A		0	N/A	
16128077	b0084	NP_414626.1	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	1 to 1	RBB	YP_815823.1	1 to 1	RBB	WP_001118663.1	1 to 2	RBB	NP_389399.2;NP_389400.2
16128078	b0085	NP_414627.1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase	1 to 1	Borderline-SSD	YP_816820.1	1 to 1	RBB	WP_000340118.1	1 to 1	RBB	NP_389401.1
16128079	b0086	NP_414628.1	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase	1 to 1	RBB	YP_816939.1	1 to 1	RBB	WP_000611465.1	1 to 1	RBB	NP_388338.1
16128080	b0087	NP_414629.1	phospho-N-acetylmuramoyl-pentapeptide transferase	1 to 1	SSD	YP_815824.1	1 to 1	RBB	WP_000578458.1	1 to 1	RBB	NP_389402.2
16128081	b0088	NP_414630.1	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	1 to 1	SSD	YP_816097.1	1 to 1	RBB	WP_000935991.1	1 to 1	RBB	NP_389403.1
16128082	b0089	NP_414631.1	integral membrane protein involved in stabilizing FstZ ring during cell division	1 to 1	RBB	YP_816429.1	1 to 1	RBB	WP_000787940.1	1 to 1	RBB	NP_389404.1
16128083	b0090	NP_414632.1	N-acetylglucosaminyl transferase	1 to 1	RBB	YP_816098.1	1 to 1	RBB	WP_000160904.1	1 to 1	RBB	NP_389405.2
16128084	b0091	NP_414633.1	UDP-N-acetylmuramate:L-alanine ligase	0	N/A		0	N/A		1 to 1	RBB	NP_390857.1
16128085	b0092	NP_414634.1	D-alanine:D-alanine ligase	0	N/A		0	N/A		0	N/A	
16128086	b0093	NP_414635.1	Divisome assembly protein, membrane anchored protein involved in growth of wall at septum	0	N/A		0	N/A		0	N/A	
16128087	b0094	NP_414636.1	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	1 to 1	RBB	YP_816936.1	1 to 1	RBB	WP_000391031.1	1 to 1	RBB	NP_389411.2
16128088	b0095	NP_414637.1	GTP-binding tubulin-like cell division protein	1 to 1	RBB	YP_816935.1	1 to 1	SSD	WP_000888997.1	1 to 1	RBB	NP_389412.2
16128089	b0096	NP_414638.1	UDP-3-O-acyl N-acetylglucosamine deacetylase	0	N/A		0	N/A		0	N/A	
90111085	b0097	NP_414639.2	regulator of secA translation	0	N/A		0	N/A		0	N/A	
16128091	b0098	NP_414640.1	preprotein translocase subunit, ATPase	1 to 1	SSD	YP_816968.1	1 to 1	RBB	WP_000506531.1	1 to 1	SSD	NP_391410.1
16128092	b0099	NP_414641.1	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP	1 to 1	RBB	YP_815645.1	0	N/A		0	N/A	
16128094	b0101	NP_414643.1	DNA gyrase inhibitor	0	N/A		0	N/A		0	N/A	
16128095	b0102	NP_414644.1	conserved protein	0	N/A		0	N/A		0	N/A	
16128096	b0103	NP_414645.1	dephospho-CoA kinase	1 to 1	RBB	YP_816341.1	1 to 1	RBB	WP_001127167.1	1 to 1	SSD	NP_390784.1
16128097	b0104	NP_414646.1	GMP reductase	1 to 1	RBB	YP_816577.1	1 to 1	RBB	WP_000688126.1	0	N/A	
16128099	b0106	NP_414648.1	assembly protein in type IV pilin biogenesis, transmembrane protein	0	N/A		0	N/A		2 to 1	RBB	NP_390352.1
16128100	b0107	NP_414649.1	conserved protein with nucleoside triphosphate hydrolase domain	1 to 2	RBB	YP_817270.1	1 to 2	RBB	WP_000697228.1	2 to 1	RBB	NP_390353.1
16128101	b0108	NP_414650.1	predicted major pilin subunit	0	N/A		0	N/A		0	N/A	
16128102	b0109	NP_414651.1	quinolinate phosphoribosyltransferase	1 to 1	SSD	YP_817233.1	0	N/A		1 to 1	SSD	NP_390664.1
16128103	b0110	NP_414652.1	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	0	N/A		0	N/A		0	N/A	
16128104	b0111	NP_414653.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A	
16128105	b0112	NP_414654.1	aromatic amino acid transporter	0	N/A		0	N/A		0	N/A	
16128106	b0113	NP_414655.1	DNA-binding transcriptional dual regulator	0	N/A		0	N/A		4 to 1	RBB	NP_391298.2
16128107	b0114	NP_414656.1	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding	0	N/A		0	N/A		0	N/A	
16128108	b0115	NP_414657.1	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	0	N/A		0	N/A		1 to 1	SSD	NP_389343.1
16128109	b0116	NP_414658.1	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	1 to 1	SSD	YP_816499.1	1 to 1	SSD	WP_000260117.1	1 to 1	RBB	NP_389344.1
16128110	b0117	NP_414659.1	predicted protein	0	N/A		0	N/A		0	N/A	
16128111	b0118	NP_414660.1	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	0	N/A		0	N/A		0	N/A	
90111086	b0119	NP_414661.2	conserved protein	0	N/A		0	N/A		0	N/A	
16128113	b0120	NP_414662.1	S-adenosylmethionine decarboxylase	0	N/A		0	N/A		0	N/A	
16128114	b0121	NP_414663.1	spermidine synthase (putrescine aminopropyltransferase)	1 to 1	SSD	YP_816294.1	0	N/A		1 to 1	SSD	NP_391630.1
90111087	b0122	NP_414664.4	conserved protein, PulS_OutS family	0	N/A		0	N/A		0	N/A	
16128116	b0123	NP_414665.1	multicopper oxidase (laccase)	0	N/A		0	N/A		2 to 1	RBB	NP_388511.1
16128117	b0124	NP_414666.1	glucose dehydrogenase	0	N/A		0	N/A		0	N/A	
90111088	b0125	NP_414667.4	hypoxanthine phosphoribosyltransferase	1 to 1	SSD	YP_815435.1	1 to 1	RBB	WP_000551283.1	1 to 1	SSD	NP_387949.1
16128119	b0126	NP_414668.1	carbonic anhydrase	0	N/A		0	N/A		0	N/A	
16128120	b0127	NP_414669.1	predicted transporter subunit: ATP-binding component of ABC superfamily	0	N/A		0	N/A		1 to 1	RBB	NP_388712.2
16128121	b0128	NP_414670.1	predicted transporter subunit: membrane component of ABC superfamily	0	N/A		0	N/A		0	N/A	
16128122	b0129	NP_414671.1	predicted PTS Enzyme IIA	0	N/A		0	N/A		0	N/A	
16128123	b0130	NP_414672.1	predicted polysaccharide deacetylase lipoprotein	0	N/A		1 to 1	RBB	WP_000877317.1	1 to 1	RBB	NP_391759.1
16128124	b0131	NP_414673.1	aspartate 1-decarboxylase	0	N/A		1 to 1	RBB	WP_000621532.1	1 to 1	SSD	NP_390122.1
16128125	b0132	NP_414674.1	predicted transposase	0	N/A		0	N/A		0	N/A	
16128126	b0133	NP_414675.1	pantothenate synthetase	0	N/A		1 to 1	RBB	WP_000163735.1	1 to 1	SSD	NP_390123.1
16128127	b0134	NP_414676.1	3-methyl-2-oxobutanoate hydroxymethyltransferase	0	N/A		1 to 1	RBB	WP_000860043.1	1 to 1	SSD	NP_390124.1
16128128	b0135	NP_414677.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A	
16128129	b0136	NP_414678.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A	
16128130	b0137	NP_414679.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A	
90111089	b0138	NP_414680.4	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A	
16128132	b0139	NP_414681.1	predicted outer membrane usher protein	0	N/A		0	N/A		0	N/A	
16128133	b0140	NP_414682.1	predicted periplasmic pilin chaperone	0	N/A		0	N/A		0	N/A	
16128134	b0141	NP_414683.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A	
16128135	b0142	NP_414684.1	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	1 to 1	SSD	YP_815790.1	1 to 1	RBB	WP_000613716.1	1 to 1	SSD	NP_387960.1
162135892	b0143	NP_414685.4	poly(A) polymerase I	1 to 1	RBB	YP_816846.1	1 to 1	RBB	WP_000361544.1	1 to 1	SSD	NP_390126.1
226524698	b0144	NP_414686.3	glutamyl-Q tRNA(Asp) synthetase	0	N/A		0	N/A		0	N/A	
16128138	b0145	NP_414687.1	DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein	0	N/A		0	N/A		0	N/A	
16128139	b0146	NP_414688.1	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
90111091	b0147	NP_414689.4	2'-5' RNA ligase	0	N/A		0	N/A		0	N/A	
162135893	b0148	NP_414690.4	predicted ATP-dependent helicase	0	N/A		0	N/A		0	N/A	
16128142	b0149	NP_414691.1	fused glycosyl transferase and transpeptidase	1 to 1	SSD	YP_817229.1	1 to 1	RBB	WP_000138351.1	1 to 3	RBB	NP_388892.2;NP_391027.2;NP_391631.2
16128143	b0150	NP_414692.1	ferrichrome outer membrane transporter	0	N/A		0	N/A		0	N/A	
16128144	b0151	NP_414693.1	iron-hydroxamate transporter subunit	0	N/A		0	N/A		0	N/A	
16128145	b0152	NP_414694.1	iron-hydroxamate transporter subunit	0	N/A		0	N/A		0	N/A	
16128146	b0153	NP_414695.1	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components	0	N/A		0	N/A		0	N/A	
16128147	b0154	NP_414696.1	glutamate-1-semialdehyde aminotransferase (aminomutase)	0	N/A		1 to 1	SSD	WP_001270868.1	1 to 1	SSD	NP_390690.1
16128148	b0155	NP_414697.1	chloride channel, voltage-gated	1 to 1	RBB	YP_816495.1	0	N/A		0	N/A	
16128149	b0156	NP_414698.1	iron-sulfur cluster insertion protein	0	N/A		0	N/A		1 to 1	SSD	NP_391096.1
16128150	b0157	NP_414699.1	inner membrane protein, UPF0126 family	0	N/A		0	N/A		0	N/A	
16128151	b0158	NP_414700.1	vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily	0	N/A		1 to 1	SSD	WP_000749059.1	1 to 1	RBB	NP_391198.1
16128152	b0159	NP_414701.1	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	1 to 1	RBB	YP_816359.1	1 to 1	RBB	WP_000579275.1	1 to 1	RBB	NP_390605.1
16128153	b0160	NP_414702.1	deoxyguanosine triphosphate triphosphohydrolase	0	N/A		0	N/A		0	N/A	
16128154	b0161	NP_414703.1	serine endoprotease (protease Do), membrane-associated	1 to 3	RBB	YP_817447.1	2 to 3	RBB	WP_001279338.1;WP_000351031.1	3 to 2	SSD	NP_389173.2;NP_391180.2
90111093	b0162	NP_414704.4	DNA-binding transcriptional regulator for gar and gud operons; carbohydrate diacid regulator	0	N/A		0	N/A		1 to 1	RBB	NP_390745.2
16128156	b0163	NP_414705.1	conserved protein, UPF0325 family	0	N/A		0	N/A		0	N/A	
90111094	b0164	NP_414706.2	phosphodiesterase with model substrate bis-pNPP	0	N/A		0	N/A		1 to 1	SSD	NP_389288.2
16128159	b0166	NP_414708.1	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	1 to 1	RBB	YP_817311.1	1 to 1	RBB	WP_000249840.1	1 to 1	RBB	NP_389301.2
16128160	b0167	NP_414709.1	uridylyltransferase	0	N/A		0	N/A		0	N/A	
16128161	b0168	NP_414710.1	methionine aminopeptidase	1 to 1	SSD	YP_816446.1	1 to 1	SSD	WP_000636142.1	1 to 1	SSD	NP_388019.1
16128162	b0169	NP_414711.1	30S ribosomal subunit protein S2	1 to 1	RBB	YP_817425.1	1 to 1	SSD	WP_000268484.1	1 to 1	SSD	NP_389531.1
16128163	b0170	NP_414712.1	protein chain elongation factor EF-Ts	1 to 1	SSD	YP_817424.1	1 to 1	RBB	WP_000201385.1	1 to 1	SSD	NP_389532.1
16128164	b0171	NP_414713.1	uridylate kinase	1 to 1	Borderline-SSD	YP_816317.1	1 to 1	SSD	WP_000057329.1	1 to 1	SSD	NP_389533.2
16128165	b0172	NP_414714.1	ribosome recycling factor	1 to 1	SSD	YP_816318.1	1 to 1	RBB	WP_001280006.1	1 to 1	SSD	NP_389534.1
16128166	b0173	NP_414715.1	1-deoxy-D-xylulose 5-phosphate reductoisomerase	0	N/A		0	N/A		1 to 1	SSD	NP_389537.2
16128167	b0174	NP_414716.1	undecaprenyl pyrophosphate synthase	1 to 1	SSD	YP_815761.1	1 to 1	SSD	WP_000473705.1	1 to 1	SSD	NP_389535.1
90111095	b0175	NP_414717.2	CDP-diglyceride synthase	1 to 1	SSD	YP_815762.1	1 to 1	RBB	WP_000868413.1	1 to 1	RBB	NP_389536.1
16128169	b0176	NP_414718.1	inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA	1 to 1	SSD	YP_815763.1	1 to 1	RBB	WP_000121116.1	1 to 1	SSD	NP_389538.1
16128170	b0177	NP_414719.1	outer membrane protein assembly factor, forms pores; required for OM biogenesis; in BamABCD OM protein complex	0	N/A		0	N/A		0	N/A	
16128171	b0178	NP_414720.1	periplasmic chaperone	0	N/A		0	N/A		0	N/A	
16128172	b0179	NP_414721.1	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	0	N/A		0	N/A		0	N/A	
16128173	b0180	NP_414722.1	(3R)-hydroxymyristol acyl carrier protein dehydratase	1 to 1	RBB	YP_815897.1	1 to 1	RBB	WP_000447678.1	1 to 1	SSD	NP_391518.2
16128174	b0181	NP_414723.1	UDP-N-acetylglucosamine acetyltransferase	0	N/A		0	N/A		0	N/A	
16128175	b0182	NP_414724.1	tetraacyldisaccharide-1-P synthase	0	N/A		0	N/A		0	N/A	
16128176	b0183	NP_414725.1	ribonuclease HII, degrades RNA of DNA-RNA hybrids	1 to 1	SSD	YP_816494.1	1 to 1	SSD	WP_000176394.1	1 to 1	RBB	NP_389488.1
16128177	b0184	NP_414726.1	DNA polymerase III alpha subunit	1 to 1	RBB	YP_816273.1	1 to 1	RBB	WP_000226911.1	1 to 1	SSD	NP_390801.1
16128178	b0185	NP_414727.1	acetyl-CoA carboxylase, carboxytransferase, alpha subunit	1 to 1	RBB	YP_815900.1	1 to 1	RBB	WP_000883645.1	1 to 1	SSD	NP_390798.1
16128179	b0186	NP_414728.1	lysine decarboxylase 2, constitutive	1 to 5	RBB	YP_816293.1	1 to 2	RBB	WP_000812832.1	5 to 2	RBB	NP_387908.1;NP_389346.1
90111096	b0187	NP_414729.4	predicted lyase	0	N/A		0	N/A		1 to 1	RBB	NP_391583.1
16128181	b0188	NP_414730.1	tRNA(Ile)-lysidine synthetase	1 to 1	RBB	YP_815434.1	1 to 1	RBB	WP_001176715.1	1 to 1	SSD	NP_387948.1
90111097	b0189	NP_414731.2	modulator of Rho-dependent transcription termination	0	N/A		0	N/A		0	N/A	
16128183	b0190	NP_414732.1	conserved protein	0	N/A		0	N/A		0	N/A	
16128184	b0191	NP_414733.1	conserved protein	0	N/A		0	N/A		0	N/A	
16128185	b0192	NP_414734.1	lipoprotein involved with copper homeostasis and adhesion	0	N/A		0	N/A		0	N/A	
90111098	b0193	NP_414735.4	predicted lipoprotein	0	N/A		0	N/A		0	N/A	
16128187	b0194	NP_414736.1	prolyl-tRNA synthetase	1 to 1	SSD	YP_815764.1	1 to 1	SSD	WP_000814103.1	1 to 1	SSD	NP_389539.1
16128188	b0195	NP_414737.1	conserved protein, UPF0066 family	0	N/A		0	N/A		0	N/A	
16128189	b0196	NP_414738.1	predicted outer membrane protein, signal	0	N/A		0	N/A		0	N/A	
16128190	b0197	NP_414739.1	DL-methionine transporter subunit	1 to 2	RBB	YP_815670.1	1 to 1	RBB	WP_000732326.1	2 to 1	RBB	NP_391152.1
16128191	b0198	NP_414740.1	DL-methionine transporter subunit	1 to 1	RBB	YP_815673.1	1 to 1	RBB	WP_000467994.1	1 to 1	RBB	NP_391153.1
