Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Propionibacterium propionicum F0230a - ortholog count (reference : comparison)	Propionibacterium propionicum F0230a - ortholuge status	Propionibacterium propionicum F0230a - ortholog NCBI RefSeq accession	Pseudomonas stutzeri DSM 10701 - ortholog count (reference : comparison)	Pseudomonas stutzeri DSM 10701 - ortholuge status	Pseudomonas stutzeri DSM 10701 - ortholog NCBI RefSeq accession	Pseudomonas putida KT2440 - ortholog count (reference : comparison)	Pseudomonas putida KT2440 - ortholuge status	Pseudomonas putida KT2440 - ortholog NCBI RefSeq accession	Pseudomonas putida S16 - ortholog count (reference : comparison)	Pseudomonas putida S16 - ortholuge status	Pseudomonas putida S16 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PA7 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PA7 - ortholuge status	Pseudomonas aeruginosa PA7 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa DK2 - ortholog count (reference : comparison)	Pseudomonas aeruginosa DK2 - ortholuge status	Pseudomonas aeruginosa DK2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Pseudomonas mendocina ymp - ortholog count (reference : comparison)	Pseudomonas mendocina ymp - ortholuge status	Pseudomonas mendocina ymp - ortholog NCBI RefSeq accession	Neisseria meningitidis MC58 - ortholog count (reference : comparison)	Neisseria meningitidis MC58 - ortholuge status	Neisseria meningitidis MC58 - ortholog NCBI RefSeq accession	Neisseria gonorrhoeae FA 1090 - ortholog count (reference : comparison)	Neisseria gonorrhoeae FA 1090 - ortholuge status	Neisseria gonorrhoeae FA 1090 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa NCGM2.S1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa NCGM2.S1 - ortholuge status	Pseudomonas aeruginosa NCGM2.S1 - ortholog NCBI RefSeq accession	Corynebacterium kroppenstedtii DSM 44385 - ortholog count (reference : comparison)	Corynebacterium kroppenstedtii DSM 44385 - ortholuge status	Corynebacterium kroppenstedtii DSM 44385 - ortholog NCBI RefSeq accession
397671789	RVBD_0009	WP_003400321.1	peptidyl-prolyl cis-trans isomerase A	0	N/A		1 to 1	Non-SSD	WP_014853051.1	1 to 2	RBB	NP_745047.1;NP_746650.1	1 to 2	RBB	WP_003259195.1;WP_013973708.1	1 to 2	RBB	WP_003156561.1;WP_012076179.1	1 to 2	RBB	WP_003114812.1;WP_003087890.1	1 to 2	RBB	WP_003109185.1;WP_003087890.1	1 to 1	SSD	WP_003240971.1	1 to 2	RBB	NP_273833.1;NP_274283.1	1 to 2	RBB	YP_207532.1;YP_207690.1	1 to 2	RBB	WP_003087890.1;WP_003091538.1	1 to 1	SSD	WP_012730722.1
397671790	RVBD_0010c	WP_003899772.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671791	RVBD_0011c	WP_003400344.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012730727.1
397671792	RVBD_0012	WP_003917864.1	hypothetical protein	1 to 1	RBB	WP_014847672.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671793	RVBD_0013	WP_003899773.1	anthranilate synthase component 2	1 to 1	SSD	WP_014847670.1	1 to 1	SSD	WP_014851565.1	1 to 1	RBB	NP_742586.1	1 to 1	RBB	WP_003259809.1	1 to 1	SSD	WP_003150133.1	1 to 1	SSD	WP_003117978.1	1 to 1	RBB	WP_003117978.1	1 to 1	SSD	WP_012019798.1	1 to 1	SSD	NP_274004.1	1 to 1	SSD	YP_208275.1	1 to 1	RBB	WP_003085194.1	1 to 1	SSD	WP_012730806.1
397671794	RVBD_0014c	WP_003400356.1	serine/threonine-protein kinase pknB	1 to 1	RBB	WP_041697870.1	1 to 8	RBB	WP_014851691.1	8 to 1	RBB	NP_744241.1	0	N/A		4 to 1	SSD	WP_011979125.1	5 to 1	RBB	WP_014833848.1	4 to 1	RBB	WP_003136961.1	6 to 1	RBB	WP_012018656.1	0	N/A		0	N/A		4 to 1	RBB	WP_014603460.1	1 to 1	SSD	WP_012730807.1
397671795	RVBD_0015c	WP_003400358.1	serine/threonine protein kinase	0	N/A		1 to 8	RBB	WP_014851691.1	8 to 1	RBB	NP_744241.1	0	N/A		4 to 1	RBB	WP_011979125.1	5 to 1	RBB	WP_014833848.1	4 to 1	RBB	WP_003136961.1	6 to 1	RBB	WP_012018656.1	0	N/A		0	N/A		4 to 1	RBB	WP_014603460.1	1 to 1	Borderline-SSD	WP_041629010.1
397671796	RVBD_0016c	WP_003899775.1	penicillin-binding protein A	1 to 1	SSD	WP_014847668.1	1 to 1	RBB	WP_014854280.1	1 to 2	RBB	NP_745872.1;NP_746912.1	1 to 2	RBB	WP_013973094.1;WP_013974357.1	1 to 1	SSD	WP_003153390.1	1 to 1	SSD	WP_003093191.1	1 to 1	SSD	WP_003093191.1	1 to 1	SSD	WP_003240197.1	0	N/A		0	N/A		1 to 1	SSD	WP_003093191.1	1 to 1	SSD	WP_012730809.1
397671797	RVBD_0017c	WP_003400364.1	cell division protein FtsW	1 to 1	SSD	WP_041697869.1	0	N/A		1 to 1	RBB	NP_746911.1	1 to 1	RBB	WP_013974356.1	1 to 1	SSD	WP_003153388.1	1 to 1	RBB	WP_003100307.1	1 to 1	RBB	WP_003100307.1	1 to 1	SSD	WP_012019718.1	0	N/A		0	N/A		1 to 1	RBB	WP_003093190.1	1 to 1	SSD	WP_041629011.1
397671798	RVBD_0018c	WP_003912367.1	PP2C-family Ser/Thr phosphatase	1 to 1	SSD	WP_041697867.1	1 to 1	SSD	WP_014851690.1	0	N/A		0	N/A		1 to 2	RBB	WP_003087627.1;WP_003157819.1	1 to 2	RBB	WP_003106965.1;WP_003087627.1	1 to 2	RBB	WP_003083639.1;WP_003110437.1	1 to 2	RBB	WP_011920436.1;WP_041772884.1	0	N/A		0	N/A		1 to 2	RBB	WP_003083639.1;WP_003087627.1	1 to 1	SSD	WP_012730811.1
397671799	RVBD_0019c	WP_003400373.1	hypothetical protein	1 to 1	RBB	WP_014847665.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_041628708.1
397671800	RVBD_0020c	WP_003912368.1	hypothetical protein	1 to 1	RBB	WP_014847664.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012730813.1
397671801	RVBD_0021c	WP_003899778.1	nitronate monooxygenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671802	RVBD_0022c	WP_003400388.1	transcriptional regulator whib-like whiB5	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671803	RVBD_0023	WP_003400391.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671804	RVBD_0024	WP_003400393.1	secreted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		2 to 1	RBB	NP_274993.1	2 to 1	RBB	YP_208262.1	0	N/A		0	N/A	
397671805	RVBD_0025	WP_003400395.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671806	RVBD_0026	WP_003901770.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671807	RVBD_0027	WP_003400401.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671808	RVBD_0028	WP_003400405.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671809	RVBD_0029	WP_003400411.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671810	RVBD_0030	WP_003400413.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671811	RVBD_0031	WP_003900791.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671812	RVBD_0032	WP_003905217.1	8-amino-7-oxononanoate synthase	1 to 1	RBB	WP_014846061.1	1 to 1	SSD	WP_014854261.1	2 to 1	RBB	NP_742530.1	2 to 1	RBB	WP_013970557.1	2 to 1	RBB	WP_012074070.1	1 to 1	RBB	WP_003084826.1	1 to 1	RBB	WP_003084826.1	1 to 1	RBB	WP_012019926.1	2 to 1	RBB	NP_273519.1	2 to 1	RBB	YP_208533.1	1 to 1	RBB	WP_003084826.1	2 to 1	RBB	WP_041629493.1
397671813	RVBD_0033	WP_003400418.1	acyl carrier protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671814	RVBD_0034	WP_003400421.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671815	RVBD_0035	WP_003400425.1	fatty-acid-CoA ligase FadD34	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671816	RVBD_0036c	WP_003400427.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671817	RVBD_0037c	WP_003912503.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671818	RVBD_0038	WP_003901777.1	transcriptional regulator	1 to 1	Borderline-SSD	WP_014846535.1	1 to 1	RBB	WP_014851225.1	1 to 1	RBB	NP_747097.1	1 to 1	RBB	WP_013974529.1	1 to 1	SSD	WP_012073998.1	1 to 1	RBB	WP_003084577.1	1 to 1	RBB	WP_003084577.1	1 to 1	SSD	WP_041772784.1	1 to 1	RBB	NP_274355.1	1 to 1	RBB	YP_207714.1	1 to 1	RBB	WP_003084577.1	1 to 1	RBB	WP_012732686.1
397671819	RVBD_0039c	WP_003907179.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671820	RVBD_0040c	WP_003900793.1	secreted proline rich protein mtc28	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671821	RVBD_0041	WP_003900794.1	leucyl-tRNA synthetase	1 to 1	SSD	WP_014847024.1	1 to 1	SSD	WP_014854267.1	1 to 1	RBB	NP_746899.1	1 to 1	RBB	WP_013974346.1	1 to 1	Borderline-SSD	WP_012074434.1	1 to 1	SSD	WP_003100324.1	1 to 1	SSD	WP_003137700.1	1 to 1	Borderline-SSD	WP_041772969.1	1 to 1	RBB	NP_274892.1	1 to 1	RBB	YP_207190.1	1 to 1	Borderline-SSD	WP_003093166.1	1 to 1	SSD	WP_041628956.1
397671822	RVBD_0042c	WP_003912416.1	MarR family transcriptional regulator	2 to 2	RBB	WP_014845737.1;WP_041697372.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012076284.1	1 to 1	RBB	WP_003109836.1	1 to 1	RBB	WP_003087460.1	2 to 1	RBB	WP_012018058.1	0	N/A		0	N/A		1 to 1	RBB	WP_003087460.1	0	N/A	
397671823	RVBD_0043c	WP_003899786.1	GntR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003246904.1	0	N/A		0	N/A		0	N/A		0	N/A	
397671824	RVBD_0044c	WP_003400486.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671825	RVBD_0045c	WP_003400489.1	hydrolase	1 to 2	RBB	WP_014846464.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		3 to 1	RBB	NP_273326.1	0	N/A		0	N/A		0	N/A	
397671826	RVBD_0046c	WP_003902822.1	inositol-3-phosphate synthase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012731780.1
397671827	RVBD_0047c	WP_003899787.1	hypothetical protein	1 to 1	RBB	WP_014848029.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671828	RVBD_0048c	WP_003907183.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671829	RVBD_0049	WP_003400504.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041629674.1
397671830	RVBD_0050	WP_003400507.1	peptidoglycan glycosyltransferase	1 to 1	RBB	WP_014848026.1	1 to 2	RBB	WP_014851748.1	2 to 1	RBB	NP_746792.1	2 to 1	RBB	WP_038410152.1	2 to 1	RBB	WP_041025530.1	2 to 1	SSD	WP_031628122.1	2 to 1	SSD	WP_031627593.1	1 to 1	RBB	WP_041773046.1	2 to 1	RBB	NP_274804.1	2 to 1	RBB	YP_207272.1	2 to 1	SSD	WP_031627593.1	1 to 1	RBB	WP_012732670.1
397671831	RVBD_0051	WP_003400514.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041629673.1
561108323	RVBD_0052	WP_003912418.1	hypothetical protein	1 to 1	Non-SSD	WP_041696593.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041628950.1
397671833	RVBD_0053	WP_003400520.1	30S ribosomal protein S6	1 to 1	SSD	WP_014847332.1	1 to 1	RBB	WP_014853985.1	1 to 1	RBB	NP_746982.1	1 to 1	RBB	WP_013974420.1	1 to 1	SSD	WP_003095636.1	1 to 1	RBB	WP_003095636.1	1 to 1	RBB	WP_003095636.1	1 to 1	SSD	WP_003246846.1	1 to 1	RBB	NP_274342.1	1 to 1	RBB	YP_207724.1	1 to 1	RBB	WP_003095636.1	1 to 1	SSD	WP_041628955.1
397671834	RVBD_0054	WP_003400534.1	single-stranded DNA-binding protein	1 to 1	SSD	WP_014847331.1	1 to 1	RBB	WP_014854200.1	1 to 1	RBB	NP_742651.1	1 to 1	RBB	WP_013970644.1	1 to 1	Non-SSD	WP_003114685.1	1 to 1	RBB	WP_003114685.1	1 to 1	Borderline-SSD	WP_003114685.1	1 to 1	Borderline-SSD	WP_003243957.1	1 to 1	RBB	NP_274471.1	1 to 1	RBB	YP_208119.1	1 to 1	Borderline-SSD	WP_003114685.1	1 to 1	SSD	WP_012732666.1
397671835	RVBD_0055	WP_003400540.1	30S ribosomal protein S18 1	1 to 1	SSD	WP_014847330.1	1 to 2	RBB	WP_014853984.1	2 to 1	RBB	NP_746981.1	2 to 1	RBB	WP_003249563.1	2 to 1	SSD	WP_003095634.1	2 to 1	SSD	WP_003095634.1	2 to 1	SSD	WP_003095634.1	2 to 1	SSD	WP_003246847.1	2 to 1	RBB	NP_274340.1	2 to 1	RBB	YP_207726.1	2 to 1	SSD	WP_003095634.1	1 to 1	SSD	WP_012731143.1
397671836	RVBD_0056	WP_003400543.1	50S ribosomal protein L9	1 to 1	SSD	WP_014847329.1	1 to 1	RBB	WP_014853982.1	1 to 1	RBB	NP_746979.1	1 to 1	RBB	WP_003249568.1	1 to 1	SSD	WP_003095627.1	1 to 1	SSD	WP_003095627.1	1 to 1	SSD	WP_003095627.1	1 to 1	SSD	WP_003246849.1	1 to 1	RBB	NP_274339.1	1 to 1	RBB	YP_207727.1	1 to 1	SSD	WP_003095627.1	1 to 1	SSD	WP_012732665.1
397671837	RVBD_0057	WP_003900797.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671838	RVBD_0058	WP_003916208.1	replicative DNA helicase	1 to 1	SSD	WP_014845398.1	1 to 1	RBB	WP_014853981.1	1 to 1	RBB	NP_746978.1	1 to 1	RBB	WP_015271992.1	1 to 2	RBB	WP_012076842.1;WP_003100012.1	1 to 2	SSD	WP_003117027.1;WP_003100012.1	1 to 2	SSD	WP_011666752.1;WP_003095622.1	1 to 1	SSD	WP_003246850.1	1 to 2	RBB	NP_273540.1;NP_273926.1	1 to 1	RBB	YP_207602.1	1 to 1	SSD	WP_003095622.1	1 to 1	SSD	WP_012732664.1
397671839	RVBD_0059	WP_003400548.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_011920781.1	0	N/A		0	N/A		0	N/A		0	N/A	
397671840	RVBD_0060	WP_003400551.1	hypothetical protein	0	N/A		0	N/A		1 to 1	RBB	NP_747230.1	0	N/A		1 to 1	RBB	WP_003152896.1	1 to 1	RBB	WP_003087757.1	1 to 1	Non-SSD	WP_003087757.1	1 to 1	RBB	WP_011920782.1	0	N/A		0	N/A		1 to 1	Non-SSD	WP_003087757.1	0	N/A	
397671841	RVBD_0061Ac	YP_006513375	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671842	RVBD_0062	WP_015456091.1	endoglucanase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671843	RVBD_0063	WP_003901784.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671844	RVBD_0064	WP_009937016.1	hypothetical protein	1 to 2	RBB	WP_014846937.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		2 to 1	SSD	WP_012732082.1
397671845	RVBD_0064A	WP_003400577.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671846	RVBD_0065	WP_003400580.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671847	RVBD_0066c	WP_003899797.1	isocitrate dehydrogenase	1 to 1	RBB	WP_014847502.1	1 to 1	RBB	WP_014853239.1	1 to 1	RBB	NP_746142.1	1 to 1	RBB	WP_013973293.1	1 to 1	RBB	WP_012075453.1	1 to 1	RBB	WP_003116719.1	1 to 1	RBB	WP_003090437.1	1 to 1	RBB	WP_012018716.1	1 to 1	RBB	NP_273960.1	1 to 1	RBB	YP_208161.1	1 to 1	RBB	WP_003090437.1	1 to 1	Non-SSD	WP_012732181.1
397671848	RVBD_0067c	WP_003400591.1	TetR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041629181.1
397671849	RVBD_0068	WP_003912371.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		3 to 1	RBB	WP_012077712.1	3 to 1	RBB	WP_003095820.1	3 to 1	RBB	WP_003095820.1	0	N/A		0	N/A		0	N/A		3 to 1	RBB	WP_003095820.1	0	N/A	
