Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Pseudomonas stutzeri DSM 10701 - ortholog count (reference : comparison)	Pseudomonas stutzeri DSM 10701 - ortholuge status	Pseudomonas stutzeri DSM 10701 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa DK2 - ortholog count (reference : comparison)	Pseudomonas aeruginosa DK2 - ortholuge status	Pseudomonas aeruginosa DK2 - ortholog NCBI RefSeq accession	Propionibacterium propionicum F0230a - ortholog count (reference : comparison)	Propionibacterium propionicum F0230a - ortholuge status	Propionibacterium propionicum F0230a - ortholog NCBI RefSeq accession	Pseudomonas putida S16 - ortholog count (reference : comparison)	Pseudomonas putida S16 - ortholuge status	Pseudomonas putida S16 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa NCGM2.S1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa NCGM2.S1 - ortholuge status	Pseudomonas aeruginosa NCGM2.S1 - ortholog NCBI RefSeq accession	Corynebacterium kroppenstedtii DSM 44385 - ortholog count (reference : comparison)	Corynebacterium kroppenstedtii DSM 44385 - ortholuge status	Corynebacterium kroppenstedtii DSM 44385 - ortholog NCBI RefSeq accession	Pseudomonas mendocina ymp - ortholog count (reference : comparison)	Pseudomonas mendocina ymp - ortholuge status	Pseudomonas mendocina ymp - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PA7 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PA7 - ortholuge status	Pseudomonas aeruginosa PA7 - ortholog NCBI RefSeq accession	Neisseria meningitidis MC58 - ortholog count (reference : comparison)	Neisseria meningitidis MC58 - ortholuge status	Neisseria meningitidis MC58 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Pseudomonas putida KT2440 - ortholog count (reference : comparison)	Pseudomonas putida KT2440 - ortholuge status	Pseudomonas putida KT2440 - ortholog NCBI RefSeq accession	Neisseria gonorrhoeae FA 1090 - ortholog count (reference : comparison)	Neisseria gonorrhoeae FA 1090 - ortholuge status	Neisseria gonorrhoeae FA 1090 - ortholog NCBI RefSeq accession
16128027	b0033	NP_414574.1	carbamoyl-phosphate synthase large subunit	1 to 1	SSD	WP_014853926.1	1 to 1	SSD	WP_003095207.1	1 to 1	RBB	WP_014846645.1	1 to 1	SSD	WP_013974293.1	1 to 1	SSD	WP_003095207.1	1 to 1	RBB	WP_041629315.1	1 to 1	SSD	WP_012019583.1	1 to 1	SSD	WP_003148721.1	1 to 1	SSD	NP_274851.1	1 to 1	SSD	WP_003095207.1	1 to 1	SSD	NP_746831.2	1 to 1	SSD	YP_207227.1
90111079	b0034	NP_414576.4	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111080	b0035	NP_414577.2	stimulator of CaiD and CaiB enzyme activities	0	N/A		0	N/A		0	N/A		1 to 2	RBB	WP_024087124.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 2	RBB	NP_745428.1	0	N/A	
221800779	b0036	NP_414578.2	carnitinyl-CoA dehydratase	0	N/A		0	N/A		1 to 2	RBB	WP_014848072.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
221800780	b0037	NP_414579.4	probable crotonobetaine/carnitine-CoA ligase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128032	b0038	NP_414580.1	crotonobetainyl CoA:carnitine CoA transferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128033	b0039	NP_414581.1	crotonobetaine reductase subunit II, FAD-binding	2 to 2	RBB	WP_014852858.1;WP_014852859.1	5 to 1	RBB	WP_003095742.1;WP_003097850.1;WP_003100385.1;WP_003090001.1;WP_003116511.1	0	N/A		2 to 2	RBB	WP_003258582.1;WP_013971833.1	5 to 1	RBB	WP_003089153.1;WP_003087520.1;WP_003088600.1;WP_003085499.1;WP_003090001.1	1 to 2	RBB	WP_012731265.1	5 to 1	RBB	WP_012018469.1;WP_012017971.1;WP_012018473.1;WP_012020182.1;WP_012018236.1	5 to 1	RBB	WP_012075520.1;WP_012077682.1;WP_003152948.1;WP_012076263.1;WP_012077047.1	0	N/A		6 to 1	RBB	WP_003140948.1;WP_003139055.1;WP_003095742.1;WP_011666661.1;WP_003088600.1;WP_003109952.1	7 to 2	RBB	NP_745857.1;NP_744365.1;NP_744937.1;NP_742327.1;NP_745629.1;NP_746190.1;NP_744189.1	0	N/A	
16128034	b0040	NP_414582.1	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111081	b0041	NP_414583.2	predicted electron transfer flavoprotein subunit, required for anaerobic carnitine reduction	1 to 2	RBB	WP_014852034.1	1 to 2	RBB	WP_003091107.1	0	N/A		1 to 2	RBB	WP_023661847.1	1 to 2	RBB	WP_003091107.1	1 to 2	RBB	WP_012731894.1	1 to 2	RBB	WP_012018936.1	1 to 2	RBB	WP_003155813.1	1 to 2	Non-SSD	NP_275140.1	1 to 2	RBB	WP_003091107.1	1 to 2	RBB	NP_746319.1	2 to 1	Non-SSD	YP_208960.1
16128036	b0042	NP_414584.1	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	1 to 2	RBB	WP_014852035.1	1 to 2	RBB	WP_003091099.1	0	N/A		1 to 2	RBB	WP_013973453.1	1 to 2	RBB	WP_003091099.1	1 to 2	RBB	WP_012731893.1	1 to 2	RBB	WP_003243653.1	1 to 2	RBB	WP_003155815.1	1 to 2	RBB	NP_275139.1	1 to 2	RBB	WP_003091099.1	1 to 2	RBB	NP_746318.1	2 to 1	RBB	YP_208961.1
16128037	b0043	NP_414585.1	predicted oxidoreductase with FAD/NAD(P)-binding domain	1 to 3	RBB	WP_014852033.1	1 to 3	RBB	WP_003102932.1	1 to 1	RBB	WP_014847376.1	1 to 3	RBB	WP_013973455.1	1 to 3	RBB	WP_003091109.1	0	N/A		1 to 3	RBB	WP_003243649.1	1 to 3	RBB	WP_003155812.1	1 to 3	RBB	NP_273625.1	1 to 3	RBB	WP_003138616.1	1 to 3	RBB	NP_746320.1	3 to 1	RBB	YP_208456.1
16128038	b0044	NP_414586.1	predicted 4Fe-4S ferredoxin-type protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128039	b0045	NP_414587.1	predicted transporter	0	N/A		0	N/A		1 to 2	RBB	WP_014846387.1	2 to 1	RBB	WP_044046976.1;WP_044046979.1	1 to 1	RBB	WP_003093585.1	1 to 2	RBB	WP_012730941.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003129340.1	0	N/A		0	N/A	
16128040	b0046	NP_414588.1	flavoprotein subunit for the KefC potassium efflux system	0	N/A		3 to 2	RBB	WP_003112444.1;WP_003116364.1;WP_003102071.1	0	N/A		1 to 2	RBB	WP_024087323.1	2 to 2	RBB	WP_003095701.1;WP_003086697.1	0	N/A		0	N/A		3 to 2	RBB	WP_003153812.1;WP_012077662.1;WP_012076639.1	0	N/A		2 to 2	RBB	WP_003140470.1;WP_003102071.1	1 to 2	RBB	NP_745853.1	0	N/A	
16128041	b0047	NP_414589.1	potassium:proton antiporter	0	N/A		1 to 2	RBB	WP_003086638.1	0	N/A		1 to 2	RBB	WP_024087900.1	1 to 2	RBB	WP_003086638.1	0	N/A		1 to 2	SSD	WP_041773084.1	1 to 2	RBB	WP_003152168.1	1 to 2	SSD	NP_273267.1	1 to 2	RBB	WP_003086638.1	1 to 1	RBB	NP_745454.1	2 to 1	RBB	YP_208805.1
16128042	b0048	NP_414590.1	dihydrofolate reductase	1 to 1	SSD	WP_014854493.1	1 to 1	SSD	WP_003117886.1	1 to 1	RBB	WP_014846058.1	1 to 1	SSD	WP_013974654.1	1 to 1	SSD	WP_003084430.1	1 to 1	RBB	WP_041628750.1	1 to 1	SSD	WP_012020009.1	1 to 1	SSD	WP_012073963.1	1 to 1	Borderline-SSD	NP_273358.1	1 to 1	SSD	WP_003084430.1	1 to 1	SSD	NP_747233.1	1 to 1	RBB	YP_208730.1
16128043	b0049	NP_414591.1	diadenosine tetraphosphatase	1 to 1	SSD	WP_014853976.1	1 to 1	SSD	WP_003113213.1	0	N/A		1 to 1	SSD	WP_013970589.1	1 to 1	SSD	WP_003085083.1	0	N/A		1 to 1	SSD	WP_004373506.1	1 to 1	SSD	WP_012074174.1	0	N/A		1 to 1	SSD	WP_003113213.1	1 to 1	SSD	NP_742566.1	1 to 1	RBB	YP_207396.1
16128044	b0050	NP_414592.1	protein associated with Co2+ and Mg2+ efflux	1 to 1	RBB	WP_014853975.1	1 to 1	Borderline-SSD	WP_003085085.1	0	N/A		1 to 1	SSD	WP_013970590.1	1 to 1	SSD	WP_003085085.1	0	N/A		1 to 1	RBB	WP_004373504.1	1 to 1	Borderline-SSD	WP_012074175.1	0	N/A		1 to 1	Borderline-SSD	WP_003085085.1	1 to 1	Borderline-SSD	NP_742567.1	0	N/A	
16128045	b0051	NP_414593.1	16S rRNA dimethyladenosine transferase, SAM-dependent	1 to 1	SSD	WP_014853974.1	1 to 1	SSD	WP_003099569.1	1 to 1	RBB	WP_014845669.1	1 to 1	SSD	WP_013970591.1	1 to 1	SSD	WP_003085087.1	1 to 1	RBB	WP_041629153.1	1 to 1	SSD	WP_012019864.1	1 to 1	SSD	WP_012074176.1	1 to 1	SSD	NP_273739.1	1 to 1	SSD	WP_003099569.1	1 to 1	SSD	NP_742568.1	1 to 1	SSD	YP_207435.1
16128046	b0052	NP_414594.1	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	1 to 1	SSD	WP_043942503.1	1 to 1	SSD	WP_003117956.1	0	N/A		1 to 1	SSD	WP_013970592.1	1 to 1	SSD	WP_003085089.1	0	N/A		1 to 1	SSD	WP_012019863.1	1 to 1	SSD	WP_012074177.1	1 to 1	SSD	NP_273253.1	1 to 1	SSD	WP_003137368.1	1 to 1	SSD	NP_742569.1	1 to 1	SSD	YP_208817.1
16128047	b0053	NP_414595.1	peptidyl-prolyl cis-trans isomerase (PPIase)	1 to 1	SSD	WP_014851555.1	1 to 1	SSD	WP_003109024.1	0	N/A		1 to 1	SSD	WP_013970593.1	1 to 1	SSD	WP_003109024.1	0	N/A		1 to 1	SSD	WP_041772980.1	1 to 1	SSD	WP_012074178.1	1 to 1	RBB	NP_273337.1	1 to 1	SSD	WP_003109024.1	1 to 1	SSD	NP_742570.1	1 to 1	RBB	YP_208747.1
16128048	b0054	NP_414596.1	LPS assembly OM complex LptDE, beta-barrel component	1 to 1	SSD	WP_014851556.1	1 to 1	SSD	WP_003117958.1	0	N/A		1 to 1	SSD	WP_013970594.1	1 to 1	SSD	WP_003085092.1	0	N/A		1 to 1	Borderline-SSD	WP_012019861.1	1 to 1	SSD	WP_003152145.1	1 to 1	SSD	NP_273336.1	1 to 1	SSD	WP_003137369.1	0	N/A		1 to 1	RBB	YP_208748.1
16128049	b0055	NP_414597.1	DnaJ-like protein, membrane anchored	1 to 1	SSD	WP_014851559.1	1 to 1	SSD	WP_003117960.1	0	N/A		1 to 1	SSD	WP_013970597.1	1 to 1	SSD	WP_003085097.1	0	N/A		1 to 1	SSD	WP_012019858.1	1 to 1	SSD	WP_012074182.1	0	N/A		1 to 1	SSD	WP_003099547.1	1 to 1	SSD	NP_742573.1	0	N/A	
16128052	b0058	NP_414600.1	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	1 to 1	RBB	WP_014852172.1	1 to 1	RBB	WP_003114801.1	0	N/A		1 to 1	RBB	WP_013971421.1	1 to 1	RBB	WP_003091582.1	0	N/A		1 to 1	RBB	WP_012017873.1	1 to 1	RBB	WP_012074969.1	0	N/A		1 to 1	RBB	WP_003091582.1	0	N/A		0	N/A	
16128053	b0059	NP_414601.1	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	1 to 1	SSD	WP_014851894.1	1 to 1	SSD	WP_003117588.1	1 to 1	RBB	WP_041697557.1	1 to 1	SSD	YP_004703537	1 to 1	SSD	WP_003091667.1	1 to 1	RBB	WP_041629425.1	1 to 1	SSD	WP_012018048.1	1 to 1	SSD	WP_012074923.1	0	N/A		1 to 1	SSD	WP_016254262.1	1 to 1	SSD	NP_743306.1	0	N/A	
16128054	b0060	NP_414602.1	DNA polymerase II	1 to 1	RBB	WP_014852897.1	1 to 1	RBB	WP_003117662.1	0	N/A		1 to 1	RBB	WP_013971963.1	1 to 1	RBB	WP_003102720.1	0	N/A		1 to 1	RBB	WP_012019554.1	1 to 1	RBB	WP_012076109.1	0	N/A		1 to 1	RBB	WP_016254161.1	1 to 1	RBB	NP_744541.1	0	N/A	
16128055	b0061	NP_414603.1	L-ribulose-5-phosphate 4-epimerase	0	N/A		1 to 3	RBB	WP_003087655.1	1 to 3	RBB	WP_041697331.1	0	N/A		1 to 3	RBB	WP_003087655.1	0	N/A		0	N/A		1 to 3	RBB	WP_003151901.1	0	N/A		1 to 3	RBB	WP_003110430.1	0	N/A		0	N/A	
16128056	b0062	NP_414604.1	L-arabinose isomerase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
