Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession
397671789	RVBD_0009	WP_003400321.1	peptidyl-prolyl cis-trans isomerase A	1 to 2	RBB	YP_005236239;YP_005239665	1 to 1	RBB	NP_415058.1	1 to 2	RBB	NP_250484.1;NP_251917.1	1 to 2	RBB	WP_003109185.1;WP_003087890.1	1 to 2	RBB	NP_459531.1;NP_462375.1	1 to 1	Non-SSD	YP_001085960	1 to 1	RBB	YP_002386002
397671790	RVBD_0010c	WP_003899772.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671791	RVBD_0011c	WP_003400344.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671792	RVBD_0012	WP_003917864.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671793	RVBD_0013	WP_003899773.1	anthranilate synthase component 2	1 to 1	SSD	YP_005239662	1 to 1	RBB	NP_417819.1	1 to 1	RBB	NP_249340.1	1 to 1	RBB	WP_003117978.1	1 to 1	SSD	NP_462372.1	1 to 1	RBB	YP_001085376	1 to 1	RBB	YP_002388819
397671794	RVBD_0014c	WP_003400356.1	serine/threonine-protein kinase pknB	0	N/A		0	N/A		4 to 1	RBB	NP_248764.1	4 to 1	RBB	WP_003136961.1	0	N/A		0	N/A		0	N/A	
397671795	RVBD_0015c	WP_003400358.1	serine/threonine protein kinase	0	N/A		0	N/A		4 to 1	RBB	NP_248764.1	4 to 1	RBB	WP_003136961.1	0	N/A		0	N/A		0	N/A	
397671796	RVBD_0016c	WP_003899775.1	penicillin-binding protein A	1 to 2	RBB	YP_005236356;YP_005237877	1 to 1	RBB	NP_415168.1	1 to 1	SSD	NP_252692.1	1 to 1	SSD	WP_003093191.1	1 to 2	RBB	NP_459632.1;NP_460867.1	0	N/A		1 to 1	RBB	YP_002386090
397671797	RVBD_0017c	WP_003400364.1	cell division protein FtsW	0	N/A		0	N/A		1 to 1	RBB	NP_252691.1	1 to 1	RBB	WP_003100307.1	0	N/A		1 to 1	RBB	YP_001085339	0	N/A	
397671798	RVBD_0018c	WP_003912367.1	PP2C-family Ser/Thr phosphatase	0	N/A		0	N/A		1 to 2	RBB	NP_248765.1;NP_250361.1	1 to 2	RBB	WP_003083639.1;WP_003110437.1	0	N/A		0	N/A		0	N/A	
397671799	RVBD_0019c	WP_003400373.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671800	RVBD_0020c	WP_003912368.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001083349	0	N/A	
397671801	RVBD_0021c	WP_003899778.1	nitronate monooxygenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671802	RVBD_0022c	WP_003400388.1	transcriptional regulator whib-like whiB5	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671803	RVBD_0023	WP_003400391.1	transcriptional regulator	1 to 1	RBB	YP_005237510	1 to 1	RBB	NP_415951.1	0	N/A		0	N/A		1 to 1	RBB	NP_460564.1	0	N/A		1 to 1	RBB	YP_002386873
397671804	RVBD_0024	WP_003400393.1	secreted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671805	RVBD_0025	WP_003400395.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671806	RVBD_0026	WP_003901770.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671807	RVBD_0027	WP_003400401.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671808	RVBD_0028	WP_003400405.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671809	RVBD_0029	WP_003400411.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671810	RVBD_0030	WP_003400413.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671811	RVBD_0031	WP_003900791.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671812	RVBD_0032	WP_003905217.1	8-amino-7-oxononanoate synthase	1 to 2	RBB	YP_005236514;YP_005239950	1 to 2	RBB	NP_415297.1;NP_418074.1	1 to 1	RBB	NP_249192.1	1 to 1	RBB	WP_003084826.1	1 to 2	RBB	NP_459773.1;NP_462609.1	2 to 1	SSD	YP_001083847	1 to 1	RBB	YP_002388465
397671813	RVBD_0033	WP_003400418.1	acyl carrier protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388464
397671814	RVBD_0034	WP_003400421.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671815	RVBD_0035	WP_003400425.1	fatty-acid-CoA ligase FadD34	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671816	RVBD_0036c	WP_003400427.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671817	RVBD_0037c	WP_003912503.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671818	RVBD_0038	WP_003901777.1	transcriptional regulator	1 to 1	RBB	YP_005239242	1 to 1	RBB	NP_417423.4	1 to 1	RBB	NP_249096.1	1 to 1	RBB	WP_003084577.1	1 to 1	RBB	NP_462012.1	1 to 1	RBB	YP_001083386	1 to 1	RBB	YP_002388420
397671819	RVBD_0039c	WP_003907179.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671820	RVBD_0040c	WP_003900793.1	secreted proline rich protein mtc28	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671821	RVBD_0041	WP_003900794.1	leucyl-tRNA synthetase	1 to 1	RBB	YP_005236364	1 to 1	RBB	NP_415175.1	1 to 1	SSD	NP_252676.1	1 to 1	SSD	WP_003137700.1	1 to 1	SSD	NP_459640.1	1 to 1	SSD	YP_001083597	1 to 1	RBB	YP_002386097
397671822	RVBD_0042c	WP_003912416.1	MarR family transcriptional regulator	1 to 1	RBB	YP_005237434	0	N/A		1 to 1	RBB	NP_250294.1	1 to 1	RBB	WP_003087460.1	1 to 1	RBB	NP_460507.1	0	N/A		0	N/A	
397671823	RVBD_0043c	WP_003899786.1	GntR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671824	RVBD_0044c	WP_003400486.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671825	RVBD_0045c	WP_003400489.1	hydrolase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671826	RVBD_0046c	WP_003902822.1	inositol-3-phosphate synthase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671827	RVBD_0047c	WP_003899787.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001083219	0	N/A	
397671828	RVBD_0048c	WP_003907183.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671829	RVBD_0049	WP_003400504.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671830	RVBD_0050	WP_003400507.1	peptidoglycan glycosyltransferase	1 to 1	RBB	YP_005235857	1 to 1	RBB	NP_414691.1	2 to 1	SSD	NP_253388.1	2 to 1	SSD	WP_031627593.1	1 to 1	RBB	NP_459195.1	1 to 1	RBB	YP_001085309	1 to 1	RBB	YP_002385643
397671831	RVBD_0051	WP_003400514.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
561108323	RVBD_0052	WP_003912418.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671833	RVBD_0053	WP_003400520.1	30S ribosomal protein S6	1 to 1	RBB	YP_005240706	1 to 1	RBB	NP_418621.5	1 to 1	RBB	NP_253622.1	1 to 1	RBB	WP_003095636.1	1 to 1	RBB	NP_463252.1	1 to 1	RBB	YP_001085200	1 to 1	RBB	YP_002389666
397671834	RVBD_0054	WP_003400534.1	single-stranded DNA-binding protein	1 to 1	RBB	YP_005240549	1 to 1	RBB	NP_418483.1	1 to 1	SSD	NP_252922.1	1 to 1	Borderline-SSD	WP_003114685.1	1 to 1	RBB	NP_463121.1	0	N/A		1 to 1	RBB	YP_002389531
397671835	RVBD_0055	WP_003400540.1	30S ribosomal protein S18 1	2 to 1	RBB	YP_005240708	2 to 1	RBB	NP_418623.1	2 to 1	SSD	NP_253621.1	2 to 1	SSD	WP_003095634.1	2 to 1	RBB	NP_463254.1	2 to 1	RBB	YP_001085201	2 to 1	RBB	YP_002389668
397671836	RVBD_0056	WP_003400543.1	50S ribosomal protein L9	1 to 1	RBB	YP_005240709	1 to 1	RBB	NP_418624.1	1 to 1	SSD	NP_253619.1	1 to 1	SSD	WP_003095627.1	1 to 1	RBB	NP_463255.1	1 to 1	RBB	YP_001085202	1 to 1	RBB	YP_002389669
397671837	RVBD_0057	WP_003900797.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671838	RVBD_0058	WP_003916208.1	replicative DNA helicase	1 to 1	RBB	YP_005240539	1 to 1	RBB	NP_418476.1	1 to 1	SSD	NP_253618.1	1 to 2	SSD	WP_011666752.1;WP_003095622.1	1 to 1	RBB	NP_463111.1	1 to 1	RBB	YP_001085204	1 to 1	RBB	YP_002389523
397671839	RVBD_0059	WP_003400548.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671840	RVBD_0060	WP_003400551.1	hypothetical protein	0	N/A		0	N/A		1 to 1	RBB	NP_250437.1	1 to 1	Non-SSD	WP_003087757.1	0	N/A		0	N/A		0	N/A	
397671841	RVBD_0061Ac	YP_006513375	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671842	RVBD_0062	WP_015456091.1	endoglucanase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671843	RVBD_0063	WP_003901784.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671844	RVBD_0064	WP_009937016.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671845	RVBD_0064A	WP_003400577.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671846	RVBD_0065	WP_003400580.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671847	RVBD_0066c	WP_003899797.1	isocitrate dehydrogenase	0	N/A		0	N/A		1 to 1	RBB	NP_251314.1	1 to 1	RBB	WP_003090437.1	0	N/A		1 to 1	RBB	YP_001085497	0	N/A	
397671848	RVBD_0067c	WP_003400591.1	TetR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671849	RVBD_0068	WP_003912371.1	oxidoreductase	0	N/A		0	N/A		3 to 1	RBB	NP_253718.1	3 to 1	RBB	WP_003095820.1	0	N/A		3 to 1	Non-SSD	YP_001083624	0	N/A	
397671850	RVBD_0069c	WP_003400600.1	L-serine dehydratase	1 to 4	RBB	YP_005237767;YP_005238248;YP_005239090;YP_005239420	1 to 3	RBB	NP_416328.1;NP_417277.1;YP_026204.1	1 to 2	RBB	NP_251133.1;NP_254066.1	1 to 2	RBB	WP_003139205.1;WP_003136285.1	1 to 4	RBB	NP_460782.1;NP_461141.1;NP_461891.1;NP_462154.1	1 to 1	RBB	YP_001084364	1 to 3	RBB	YP_002387299;YP_002388261;YP_002388596
397671851	RVBD_0070c	WP_003899799.1	serine hydroxymethyltransferase 2	2 to 1	SSD	YP_005238660	2 to 1	RBB	NP_417046.1	1 to 3	RBB	NP_251134.1;NP_253292.1;NP_254102.1	1 to 3	RBB	WP_003162506.1;WP_003141578.1;WP_003117183.1	2 to 1	SSD	NP_461490.1	2 to 1	RBB	YP_001085332	2 to 1	RBB	YP_002387988
397671852	RVBD_0071	WP_003913073.1	RNA-directed DNA polymerase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003099598.1	0	N/A		0	N/A		0	N/A	
397671853	RVBD_0072	WP_003400616.1	ABC transporter permease	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671854	RVBD_0073	WP_003899801.1	ABC transporter ATP-binding protein	0	N/A		0	N/A		2 to 1	RBB	NP_253284.1	2 to 1	RBB	WP_003141570.1	0	N/A		0	N/A		0	N/A	
397671855	RVBD_0074	WP_003400620.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671856	RVBD_0075	WP_003400622.1	cystathionine beta-lyase	2 to 1	RBB	YP_005237447	2 to 1	RBB	NP_416139.1	0	N/A		0	N/A		2 to 1	RBB	NP_460516.1	1 to 1	RBB	YP_001086428	2 to 1	RBB	YP_002387102
397671857	RVBD_0076c	WP_003400629.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671858	RVBD_0077c	WP_003900801.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671859	RVBD_0078	WP_003899803.1	transcriptional regulator	0	N/A		0	N/A		1 to 1	RBB	NP_250960.1	1 to 1	RBB	WP_003089292.1	0	N/A		1 to 1	RBB	YP_001085704	0	N/A	
397671860	RVBD_0078A	WP_003400645.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671861	RVBD_0078Bc	YP_006513395	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671862	RVBD_0079	WP_003400655.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671863	RVBD_0080	WP_003899804.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671864	RVBD_0081	WP_003400657.1	ArsR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671865	RVBD_0082	WP_003400658.1	oxidoreductase	1 to 1	RBB	YP_005238951	1 to 2	RBB	NP_416984.1;NP_417199.1	0	N/A		0	N/A		1 to 1	RBB	NP_461768.1	0	N/A		1 to 2	RBB	YP_002387928;YP_002388176
397671866	RVBD_0083	WP_003907280.1	oxidoreductase	1 to 1	SSD	YP_005238955	1 to 2	RBB	NP_416977.1;NP_417203.1	0	N/A		0	N/A		1 to 1	RBB	NP_461772.1	0	N/A		1 to 2	RBB	YP_002387921;YP_002388180
397671867	RVBD_0084	WP_003900802.1	formate hydrogenlyase hycD	1 to 1	SSD	YP_005238954	1 to 2	RBB	NP_416978.4;NP_417202.1	0	N/A		0	N/A		1 to 1	RBB	NP_461771.1	0	N/A		1 to 2	RBB	YP_002387922;YP_002388179
397671868	RVBD_0085	WP_003400661.1	hydrogenase-4 component E	0	N/A		1 to 1	RBB	NP_416980.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387924
397671869	RVBD_0086	WP_003400662.1	hydrogenase-4 component F	0	N/A		1 to 1	RBB	NP_416981.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387925
397671870	RVBD_0087	WP_003400663.1	oxidoreductase	1 to 1	SSD	YP_005238953	1 to 2	RBB	NP_416982.1;NP_417201.1	0	N/A		0	N/A		1 to 1	RBB	NP_461770.1	0	N/A		1 to 2	RBB	YP_002387926;YP_002388178
397671871	RVBD_0088	WP_003899806.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671872	RVBD_0089	WP_003400665.1	methyltransferase	1 to 1	RBB	YP_005236515	1 to 1	RBB	NP_415298.1	0	N/A		0	N/A		1 to 1	SSD	NP_459774.1	0	N/A		1 to 1	RBB	YP_002386273
397671873	RVBD_0090	WP_003899807.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671874	RVBD_0090A	YP_006513408	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671875	RVBD_0091	WP_003913086.1	MTA/SAH nucleosidase	1 to 1	RBB	YP_005235878	1 to 1	RBB	NP_414701.1	0	N/A		0	N/A		1 to 1	RBB	NP_459212.1	0	N/A		1 to 1	RBB	YP_002385653
397671876	RVBD_0092	WP_003899808.1	cation-transporting P-type ATPase A	0	N/A		3 to 1	RBB	NP_415017.1	0	N/A		0	N/A		0	N/A		0	N/A		3 to 1	RBB	YP_002385963
397671877	RVBD_0093c	WP_003912510.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671878	RVBD_0094c	WP_023641254.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671879	RVBD_0095c	YP_006513413	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671880	RVBD_0096	WP_003400781.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671881	RVBD_0097	WP_003400786.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671882	RVBD_0098	WP_003899810.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671883	RVBD_0099	WP_003916215.1	long chain fatty acid CoA ligase FadD10	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671884	RVBD_0100	WP_003899811.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671885	RVBD_0101	WP_003400794.1	amino acid adenylation domain-containing protein	2 to 1	RBB	YP_005236294	2 to 1	RBB	NP_415118.1	1 to 2	RBB	NP_251089.1;NP_251092.1	1 to 2	RBB	WP_031656476.1;WP_011666646.1	2 to 1	RBB	NP_459580.1	1 to 1	RBB	YP_001083204	2 to 1	RBB	YP_002386042
397671886	RVBD_0102	WP_003900808.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671887	RVBD_0103c	WP_009935939.1	cation-transporting P-type ATPase B	0	N/A		3 to 1	RBB	NP_415017.1	0	N/A		0	N/A		0	N/A		0	N/A		3 to 1	RBB	YP_002385963
397671888	RVBD_0104	WP_003899813.1	hypothetical protein	0	N/A		0	N/A		1 to 1	RBB	NP_253392.1	1 to 1	RBB	WP_003141662.1	0	N/A		0	N/A		0	N/A	
397671889	RVBD_0105c	WP_003400802.1	50S ribosomal protein L28	2 to 1	RBB	YP_005239970	2 to 1	RBB	NP_418094.1	2 to 1	RBB	NP_254003.1	2 to 1	RBB	WP_003096556.1	2 to 1	RBB	NP_462628.1	0	N/A		2 to 1	RBB	YP_002389112
397671890	RVBD_0106	WP_003400804.1	hypothetical protein	0	N/A		0	N/A		1 to 1	RBB	NP_254222.1	1 to 1	RBB	WP_003097084.1	0	N/A		1 to 1	Borderline-SSD	YP_001086402	0	N/A	
397671891	RVBD_0107c	WP_010886065.1	HAD ATPase, P-type, family IC	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671892	RVBD_0108c	WP_003899816.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671893	RVBD_0109	WP_003909149.1	triacylglycerol lipase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671894	RVBD_0110	WP_003899818.1	hypothetical protein	1 to 1	SSD	YP_005239730	0	N/A		0	N/A		0	N/A		1 to 1	SSD	NP_462426.1	1 to 1	RBB	YP_001084022	0	N/A	
397671895	RVBD_0111	WP_003918015.1	transmembrane acyltransferase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003141952.1	0	N/A		0	N/A		0	N/A	
397671896	RVBD_0112	WP_003400829.1	GDP-mannose 4,6-dehydratase	0	N/A		0	N/A		1 to 1	RBB	NP_254141.1	1 to 1	RBB	WP_003096892.1	0	N/A		0	N/A		0	N/A	
397671897	RVBD_0113	WP_003400839.1	phosphoheptose isomerase	1 to 2	RBB	YP_005235985;YP_005239443	1 to 2	RBB	NP_414757.1;NP_417618.1	1 to 1	SSD	NP_253115.1	1 to 1	SSD	WP_003094149.1	1 to 2	RBB	NP_459308.1;NP_462179.1	0	N/A		1 to 2	RBB	YP_002385740;YP_002388634
397671898	RVBD_0114	WP_003400840.1	D,D-heptose 1,7-bisphosphate phosphatase	1 to 1	RBB	YP_005235919	1 to 1	RBB	NP_414742.1	1 to 1	SSD	NP_064726.1	1 to 1	SSD	WP_003142196.1	1 to 1	RBB	NP_459252.1	0	N/A		1 to 1	RBB	YP_002385694
397671899	RVBD_0115	WP_003899819.1	D-alpha-D-heptose-7-phosphate kinase hddA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671900	RVBD_0115A	YP_006513434	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
