Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession
16128014	b0020	NP_414561.1	DNA-binding transcriptional activator	0	N/A		1 to 1	Borderline-SSD	YP_005235682	1 to 1	Borderline-SSD	NP_459045.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385515	0	N/A	
16128015	b0021	NP_414562.1	IS1 transposase B	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128016	b0022	NP_414563.1	IS1 repressor TnpA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128017	b0023	NP_414564.1	30S ribosomal subunit protein S20	1 to 1	RBB	WP_003899314.1	1 to 1	Borderline-SSD	YP_005235685	1 to 1	Borderline-SSD	NP_459048.1	1 to 1	SSD	NP_253253.1	1 to 1	SSD	YP_001084646	1 to 1	RBB	YP_002385520	1 to 1	SSD	WP_003094744.1
16128018	b0024	NP_414565.1	predicted protein	0	N/A		1 to 1	RBB	YP_005235686	1 to 1	RBB	NP_459049.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385521	0	N/A	
16128019	b0025	NP_414566.1	bifunctional riboflavin kinase/FAD synthetase	1 to 1	RBB	WP_003911989.1	1 to 1	Borderline-SSD	YP_005235687	1 to 1	Borderline-SSD	NP_459050.1	1 to 1	SSD	NP_253251.1	0	N/A		1 to 1	RBB	YP_002385522	1 to 1	SSD	WP_003110419.1
16128020	b0026	NP_414567.1	isoleucyl-tRNA synthetase	1 to 1	RBB	WP_003407714.1	1 to 1	Non-SSD	YP_005235688	1 to 1	Non-SSD	NP_459051.1	1 to 1	SSD	NP_253250.1	1 to 1	SSD	YP_001083119	1 to 1	RBB	YP_002385523	1 to 1	SSD	WP_003141556.1
16128021	b0027	NP_414568.1	prolipoprotein signal peptidase (signal peptidase II)	0	N/A		1 to 1	Borderline-SSD	YP_005235689	1 to 1	Borderline-SSD	NP_459052.1	1 to 1	SSD	NP_253249.1	1 to 1	SSD	YP_001083118	1 to 1	RBB	YP_002385524	1 to 1	SSD	WP_003094728.1
16128022	b0028	NP_414569.1	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	0	N/A		1 to 1	Borderline-SSD	YP_005235691	1 to 1	Borderline-SSD	NP_459053.1	1 to 1	RBB	NP_253248.1	1 to 1	SSD	YP_001083117	1 to 1	RBB	YP_002385525	1 to 1	RBB	WP_003102613.1
16128023	b0029	NP_414570.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein	1 to 1	RBB	WP_003405853.1	1 to 1	Borderline-SSD	YP_005235692	1 to 1	Borderline-SSD	NP_459054.1	1 to 1	RBB	NP_253247.1	1 to 1	SSD	YP_001086168	1 to 1	RBB	YP_002385526	1 to 1	SSD	WP_003094724.1
16128024	b0030	NP_414571.1	ribonucleoside hydrolase 3	1 to 3	RBB	WP_003417946.1	1 to 1	Borderline-SSD	YP_005235694	1 to 1	Borderline-SSD	NP_459056.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385527	0	N/A	
16128025	b0031	NP_414572.1	dihydrodipicolinate reductase	1 to 1	RBB	WP_003414099.1	1 to 1	Borderline-SSD	YP_005235708	1 to 1	Borderline-SSD	NP_459069.1	1 to 1	SSD	NP_253447.1	1 to 1	SSD	YP_001086433	1 to 1	RBB	YP_002385528	1 to 1	SSD	WP_003095210.1
16128026	b0032	NP_414573.1	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	1 to 1	RBB	WP_003407208.1	1 to 1	Borderline-SSD	YP_005235710	1 to 1	Borderline-SSD	NP_459071.1	1 to 1	SSD	NP_253446.1	1 to 1	SSD	YP_001085701	1 to 1	RBB	YP_002385529	1 to 1	SSD	WP_011666772.1
16128027	b0033	NP_414574.1	carbamoyl-phosphate synthase large subunit	1 to 1	RBB	WP_003898855.1	1 to 1	SSD	YP_005235711	1 to 1	SSD	NP_459072.1	1 to 1	SSD	NP_253444.1	1 to 1	SSD	YP_001085702	1 to 1	RBB	YP_002385530	1 to 1	SSD	WP_003095207.1
90111079	b0034	NP_414576.4	DNA-binding transcriptional activator	0	N/A		1 to 1	RBB	YP_005235714	1 to 1	RBB	NP_459073.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385532	0	N/A	
90111080	b0035	NP_414577.2	stimulator of CaiD and CaiB enzyme activities	1 to 2	RBB	WP_003419208.1	1 to 1	RBB	YP_005235715	1 to 1	RBB	NP_459074.1	0	N/A		1 to 2	RBB	YP_001084378	1 to 1	RBB	YP_002385533	0	N/A	
221800779	b0036	NP_414578.2	carnitinyl-CoA dehydratase	0	N/A		1 to 1	RBB	YP_005235716	1 to 1	RBB	NP_459075.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385534	0	N/A	
221800780	b0037	NP_414579.4	probable crotonobetaine/carnitine-CoA ligase	1 to 1	RBB	WP_003416081.1	1 to 1	RBB	YP_005235717	1 to 1	RBB	NP_459076.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385535	0	N/A	
16128032	b0038	NP_414580.1	crotonobetainyl CoA:carnitine CoA transferase	0	N/A		1 to 1	RBB	YP_005235718	1 to 1	RBB	NP_459077.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385536	0	N/A	
16128033	b0039	NP_414581.1	crotonobetaine reductase subunit II, FAD-binding	2 to 1	RBB	WP_003417122.1;WP_003401972.1	1 to 1	RBB	YP_005235720	1 to 1	RBB	NP_459078.1	5 to 1	RBB	NP_250705.1;NP_249437.1;NP_251242.1;NP_253681.1;NP_250322.1	3 to 1	RBB	YP_001084671;YP_001083763;YP_001083194	1 to 1	RBB	YP_002385537	6 to 1	RBB	WP_003140948.1;WP_003139055.1;WP_003095742.1;WP_011666661.1;WP_003088600.1;WP_003109952.1
16128034	b0040	NP_414582.1	predicted transporter	0	N/A		1 to 1	RBB	YP_005235721	1 to 1	RBB	NP_459079.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385538	0	N/A	
90111081	b0041	NP_414583.2	predicted electron transfer flavoprotein subunit, required for anaerobic carnitine reduction	1 to 2	RBB	WP_003415921.1	1 to 1	RBB	YP_005235723	1 to 1	RBB	NP_459080.1	1 to 2	RBB	NP_251642.1	1 to 2	Non-SSD	YP_001085647	1 to 1	RBB	YP_002385539	1 to 2	RBB	WP_003091107.1
16128036	b0042	NP_414584.1	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	1 to 2	RBB	WP_003899889.1	1 to 1	RBB	YP_005235724	1 to 1	RBB	NP_459081.1	1 to 2	RBB	NP_251641.1	1 to 2	RBB	YP_001085646	1 to 1	RBB	YP_002385540	1 to 2	RBB	WP_003091099.1
16128037	b0043	NP_414585.1	predicted oxidoreductase with FAD/NAD(P)-binding domain	0	N/A		1 to 1	RBB	YP_005235725	1 to 1	RBB	NP_459082.1	1 to 3	RBB	NP_251643.1	1 to 3	RBB	YP_001083439	1 to 1	RBB	YP_002385541	1 to 3	RBB	WP_003138616.1
16128038	b0044	NP_414586.1	predicted 4Fe-4S ferredoxin-type protein	0	N/A		1 to 1	RBB	YP_005235726	1 to 1	RBB	NP_459083.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385542	0	N/A	
16128039	b0045	NP_414587.1	predicted transporter	0	N/A		1 to 1	RBB	YP_005235727	1 to 1	RBB	NP_459084.1	1 to 1	RBB	NP_252876.1	1 to 2	RBB	YP_001083949	1 to 1	RBB	YP_002385543	1 to 1	RBB	WP_003129340.1
16128040	b0046	NP_414588.1	flavoprotein subunit for the KefC potassium efflux system	0	N/A		1 to 1	SSD	YP_005235736	1 to 1	SSD	NP_459090.1	3 to 2	RBB	NP_249916.1;NP_253662.1;NP_249915.1	1 to 1	RBB	YP_001084309	1 to 1	RBB	YP_002385544	2 to 2	RBB	WP_003140470.1;WP_003102071.1
16128041	b0047	NP_414589.1	potassium:proton antiporter	0	N/A		1 to 1	SSD	YP_005235737	1 to 1	SSD	NP_459091.1	1 to 2	RBB	NP_249898.1	1 to 2	RBB	YP_001083429	1 to 1	RBB	YP_002385545	1 to 2	RBB	WP_003086638.1
16128042	b0048	NP_414590.1	dihydrofolate reductase	1 to 1	RBB	WP_003900566.1	1 to 1	SSD	YP_005235739	1 to 1	SSD	NP_459092.1	1 to 1	SSD	NP_249041.1	1 to 1	Borderline-SSD	YP_001083514	1 to 1	RBB	YP_002385546	1 to 1	SSD	WP_003084430.1
16128043	b0049	NP_414591.1	diadenosine tetraphosphatase	0	N/A		1 to 1	SSD	YP_005235740	1 to 1	SSD	NP_459093.1	1 to 1	SSD	NP_249281.1	1 to 1	SSD	YP_001086000	1 to 1	RBB	YP_002385547	1 to 1	SSD	WP_003113213.1
16128044	b0050	NP_414592.1	protein associated with Co2+ and Mg2+ efflux	0	N/A		1 to 1	SSD	YP_005235741	1 to 1	SSD	NP_459094.1	1 to 1	RBB	NP_249282.1	0	N/A		1 to 1	RBB	YP_002385548	1 to 1	Borderline-SSD	WP_003085085.1
16128045	b0051	NP_414593.1	16S rRNA dimethyladenosine transferase, SAM-dependent	1 to 1	RBB	WP_003405191.1	1 to 1	SSD	YP_005235742	1 to 1	SSD	NP_459095.1	1 to 1	SSD	NP_249283.1	1 to 1	SSD	YP_001086001	1 to 1	RBB	YP_002385549	1 to 1	SSD	WP_003099569.1
16128046	b0052	NP_414594.1	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	0	N/A		1 to 1	SSD	YP_005235743	1 to 1	SSD	NP_459096.1	1 to 1	SSD	NP_249284.1	1 to 1	SSD	YP_001086002	1 to 1	RBB	YP_002385550	1 to 1	SSD	WP_003137368.1
16128047	b0053	NP_414595.1	peptidyl-prolyl cis-trans isomerase (PPIase)	0	N/A		1 to 1	Borderline-SSD	YP_005235744	1 to 1	Borderline-SSD	NP_459097.1	1 to 1	SSD	NP_249285.1	1 to 1	SSD	YP_001084574	1 to 1	RBB	YP_002385551	1 to 1	SSD	WP_003109024.1
16128048	b0054	NP_414596.1	LPS assembly OM complex LptDE, beta-barrel component	0	N/A		1 to 1	SSD	YP_005235745	1 to 1	SSD	NP_459098.1	1 to 1	SSD	NP_249286.1	1 to 1	SSD	YP_001084575	1 to 1	RBB	YP_002385552	1 to 1	SSD	WP_003137369.1
16128049	b0055	NP_414597.1	DnaJ-like protein, membrane anchored	0	N/A		1 to 1	SSD	YP_005235747	1 to 1	SSD	NP_459099.1	1 to 1	Borderline-SSD	NP_249289.1	0	N/A		1 to 1	RBB	YP_002385553	1 to 1	SSD	WP_003099547.1
16128052	b0058	NP_414600.1	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	0	N/A		1 to 1	SSD	YP_005235748	1 to 1	SSD	NP_459100.1	1 to 1	RBB	NP_251936.1	1 to 1	RBB	YP_001085483	1 to 1	RBB	YP_002385554	1 to 1	RBB	WP_003091582.1
16128053	b0059	NP_414601.1	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	0	N/A		1 to 1	SSD	YP_005235749	1 to 1	SSD	NP_459101.1	1 to 1	SSD	NP_251998.1	1 to 1	SSD	YP_001085482	1 to 1	RBB	YP_002385555	1 to 1	SSD	WP_016254262.1
16128054	b0060	NP_414602.1	DNA polymerase II	0	N/A		1 to 1	RBB	YP_005235750	1 to 1	RBB	NP_459102.1	1 to 1	RBB	NP_250577.1	0	N/A		1 to 1	RBB	YP_002385556	1 to 1	RBB	WP_016254161.1
16128055	b0061	NP_414603.1	L-ribulose-5-phosphate 4-epimerase	0	N/A		1 to 1	SSD	YP_005235753	1 to 1	SSD	NP_459106.1	1 to 3	RBB	NP_250374.1	0	N/A		1 to 1	RBB	YP_002385557	1 to 3	RBB	WP_003110430.1
16128056	b0062	NP_414604.1	L-arabinose isomerase	0	N/A		1 to 1	SSD	YP_005235754	1 to 1	SSD	NP_459107.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385558	0	N/A	
16128057	b0063	NP_414605.1	L-ribulokinase	0	N/A		1 to 1	SSD	YP_005235755	1 to 1	SSD	NP_459108.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385559	0	N/A	
16128058	b0064	NP_414606.1	DNA-binding transcriptional dual regulator	0	N/A		1 to 1	SSD	YP_005235756	1 to 1	SSD	NP_459109.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385560	0	N/A	
16128059	b0065	NP_414607.1	inner membrane protein, SNARE_assoc family	0	N/A		1 to 1	SSD	YP_005235757	1 to 1	SSD	NP_459110.1	1 to 1	SSD	NP_252700.1	0	N/A		1 to 1	RBB	YP_002385561	1 to 1	RBB	WP_003110372.1
16128060	b0066	NP_414608.1	thiamin transporter subunit	0	N/A		1 to 1	SSD	YP_005235758	1 to 1	SSD	NP_459111.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385562	0	N/A	
16128061	b0067	NP_414609.1	fused thiamin transporter subunits of ABC superfamily: membrane components	0	N/A		1 to 1	SSD	YP_005235759	1 to 1	SSD	NP_459112.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385563	0	N/A	
16128062	b0068	NP_414610.1	thiamin transporter subunit	0	N/A		1 to 1	SSD	YP_005235760	1 to 1	SSD	NP_459113.1	1 to 1	RBB	NP_253376.1	0	N/A		1 to 1	RBB	YP_002385564	1 to 1	RBB	WP_031627775.1
16128063	b0069	NP_414611.1	transcriptional DNA-binding transcriptional activator of sgrS sRNA	0	N/A		1 to 1	SSD	YP_005235762	1 to 1	SSD	NP_459114.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385565	0	N/A	
49175994	b0070	YP_025293.1	broad specificity sugar efflux system	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002385567	0	N/A	
16128065	b0071	NP_414613.1	3-isopropylmalate dehydratase small subunit	1 to 1	RBB	WP_003415110.1	1 to 1	Borderline-SSD	YP_005235764	1 to 1	Borderline-SSD	NP_459115.1	1 to 1	RBB	NP_251810.1	1 to 1	Borderline-SSD	YP_001083475	1 to 1	RBB	YP_002385568	1 to 1	SSD	WP_003138498.1
16128066	b0072	NP_414614.1	3-isopropylmalate dehydratase large subunit	1 to 1	RBB	WP_003899570.1	1 to 1	Borderline-SSD	YP_005235765	1 to 1	Borderline-SSD	NP_459116.1	1 to 1	RBB	NP_251811.1	1 to 1	Borderline-SSD	YP_001083474	1 to 1	RBB	YP_002385569	1 to 1	SimNSSD	WP_003091399.1
90111082	b0073	NP_414615.4	3-isopropylmalate dehydrogenase, NAD(+)-dependent	0	N/A		1 to 1	SSD	YP_005235766	1 to 1	SSD	NP_459117.1	1 to 1	RBB	NP_251808.1	1 to 1	Non-SSD	YP_001083477	1 to 1	RBB	YP_002385570	1 to 1	Borderline-SSD	WP_003091395.1
16128068	b0074	NP_414616.1	2-isopropylmalate synthase	1 to 1	RBB	WP_003902547.1	1 to 1	SimNSSD	YP_005235767	1 to 1	SimNSSD	NP_459118.1	1 to 1	RBB	NP_249908.1	1 to 1	Non-SSD	YP_001083529	1 to 1	RBB	YP_002385571	1 to 1	RBB	WP_003086676.1
16128069	b0075	NP_414617.1	leu operon leader peptide	0	N/A		1 to 1	RBB	YP_005235768	1 to 1	RBB	NP_459119.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385572	0	N/A	
90111083	b0076	NP_414618.4	DNA-binding transcriptional activator	0	N/A		1 to 1	SSD	YP_005235771	1 to 1	SSD	NP_459120.1	5 to 1	RBB	NP_253589.1;NP_250811.1;NP_252011.1;NP_250090.1;NP_251241.1	1 to 2	RBB	YP_001084757	1 to 1	RBB	YP_002385573	4 to 1	RBB	WP_003122789.1;WP_003138279.1;WP_003139057.1;WP_003140315.1
90111084	b0077	YP_025294.2	acetolactate synthase III, large subunit	1 to 1	RBB	WP_003415168.1	1 to 1	SSD	YP_005235772	1 to 1	SSD	NP_459121.1	1 to 1	RBB	NP_253384.1	1 to 1	SSD	YP_001083598	1 to 1	RBB	YP_002385574	1 to 1	SSD	WP_003095071.1
16128071	b0078	NP_414620.1	acetolactate synthase III, thiamin-dependent, small subunit	1 to 1	RBB	WP_003415167.1	1 to 1	SSD	YP_005235773	1 to 1	SSD	NP_459122.1	1 to 1	RBB	NP_253383.1	1 to 1	SSD	YP_001083599	1 to 1	RBB	YP_002385575	1 to 1	SSD	WP_003095069.1
16128073	b0080	NP_414622.1	DNA-binding transcriptional dual regulator	0	N/A		1 to 1	SSD	YP_005235775	1 to 1	SSD	NP_459123.1	1 to 1	RBB	NP_252253.1	0	N/A		1 to 1	RBB	YP_002385576	1 to 1	RBB	WP_003104372.1
16128074	b0081	NP_414623.1	conserved protein, MraZ family	1 to 1	RBB	WP_003411225.1	1 to 1	SSD	YP_005235778	1 to 1	SSD	NP_459124.1	1 to 1	SSD	NP_253111.1	0	N/A		1 to 1	RBB	YP_002385577	1 to 1	SSD	WP_003103101.1
16128075	b0082	NP_414624.1	16S rRNA m(4)C1402 methyltranserfase, SAM-dependent	1 to 1	RBB	WP_031647337.1	1 to 1	SSD	YP_005235779	1 to 1	SSD	NP_459125.1	1 to 1	SSD	NP_253110.1	1 to 1	SSD	YP_001086201	1 to 1	RBB	YP_002385578	1 to 1	SSD	WP_031632714.1
16128076	b0083	NP_414625.1	membrane bound cell division protein at septum containing leucine zipper motif	0	N/A		1 to 1	SSD	YP_005235780	1 to 1	SSD	NP_459126.1	1 to 1	RBB	NP_253109.1	0	N/A		1 to 1	RBB	YP_002385579	1 to 1	RBB	WP_003094142.1
16128077	b0084	NP_414626.1	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	1 to 1	RBB	WP_003411214.1	1 to 1	SSD	YP_005235781	1 to 1	SSD	NP_459127.1	2 to 1	RBB	NP_253108.1;NP_250962.1	1 to 1	SSD	YP_001086199	1 to 1	RBB	YP_002385580	2 to 1	RBB	WP_003094139.1;WP_003110751.1
16128078	b0085	NP_414627.1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase	1 to 1	RBB	WP_003911778.1	1 to 1	Borderline-SSD	YP_005235782	1 to 1	Borderline-SSD	NP_459128.1	1 to 1	SSD	NP_253107.1	1 to 1	SSD	YP_001086198	1 to 1	RBB	YP_002385581	1 to 1	SSD	WP_003094133.1
16128079	b0086	NP_414628.1	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase	1 to 1	RBB	WP_003411187.1	1 to 1	SSD	YP_005235783	1 to 1	SSD	NP_459129.1	1 to 1	SSD	NP_253106.1	1 to 1	SSD	YP_001086197	1 to 1	RBB	YP_002385582	1 to 1	SSD	WP_003094130.1
16128080	b0087	NP_414629.1	phospho-N-acetylmuramoyl-pentapeptide transferase	1 to 1	RBB	WP_003411171.1	1 to 1	Borderline-SSD	YP_005235784	1 to 1	Borderline-SSD	NP_459130.1	1 to 1	SSD	NP_253105.1	1 to 1	SimNSSD	YP_001086195	1 to 1	RBB	YP_002385583	1 to 1	SSD	WP_003094129.1
16128081	b0088	NP_414630.1	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	1 to 1	RBB	WP_009934975.1	1 to 1	SSD	YP_005235785	1 to 1	SSD	NP_459131.1	1 to 1	SSD	NP_253104.1	1 to 1	SSD	YP_001083322	1 to 1	RBB	YP_002385584	1 to 1	SSD	WP_003141276.1
16128082	b0089	NP_414631.1	integral membrane protein involved in stabilizing FstZ ring during cell division	1 to 2	RBB	WP_003411165.1	1 to 1	Borderline-SSD	YP_005235786	1 to 1	Borderline-SSD	NP_459132.1	1 to 1	SSD	NP_253103.1	1 to 1	SSD	YP_001083323	1 to 1	RBB	YP_002385585	1 to 1	SSD	WP_003094125.1
16128083	b0090	NP_414632.1	N-acetylglucosaminyl transferase	1 to 1	RBB	WP_003899190.1	1 to 1	SSD	YP_005235787	1 to 1	SSD	NP_459133.1	1 to 1	SSD	NP_253102.1	1 to 1	SSD	YP_001086327	1 to 1	RBB	YP_002385586	1 to 1	SSD	WP_003103107.1
16128084	b0091	NP_414633.1	UDP-N-acetylmuramate:L-alanine ligase	1 to 1	RBB	WP_003411159.1	1 to 1	SSD	YP_005235788	1 to 1	SSD	NP_459134.1	1 to 1	SSD	NP_253101.1	1 to 1	SSD	YP_001086326	1 to 1	RBB	YP_002385587	1 to 1	SSD	WP_003094121.1
